ASX code,Company name,Security type,ISIN code
,,,
,,,
 This report last updated: 05/02/16,,,
,,,
TNT,TESSERENT LIMITED,ORDINARY FULLY PAID,AU000000TNT6
TNTZZ,TESSERENT LIMITED,INITIAL PUBLIC OFFER,AU0000TNTZZ8
VBS,VECTUS BIOSYSTEMS,ORDINARY FULLY PAID,AU000000VBS9
1PG,1-PAGE LTD,ORDINARY FULLY PAID,AU0000001PG3
1PGDA,1-PAGE LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU00001PGDA5
1PGAB,1-PAGE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001PGAB9
1PGAE,1-PAGE LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU00001PGAE3
1PGAC,1-PAGE LTD,PERFORMANCE RIGHTS RESTRICTED,AU00001PGAC7
1PGAD,1-PAGE LTD,OPTION EXPIRING 01-AUG-2019 RESTRICTED EX 20C,AU00001PGAD5
ONT,1300 SMILES LIMITED,ORDINARY FULLY PAID,AU000000ONT7
1ST,1ST AVAILABLE LTD,ORDINARY FULLY PAID,AU0000001ST0
1STAF,1ST AVAILABLE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001STAF7
1STAG,1ST AVAILABLE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001STAG5
1STAH,1ST AVAILABLE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001STAH3
1STAJ,1ST AVAILABLE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001STAJ9
1STAL,1ST AVAILABLE LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU00001STAL5
1STAI,1ST AVAILABLE LTD,OPTION EXPIRING 29-MAY-2020 RESTRICTED,AU00001STAI1
1STAK,1ST AVAILABLE LTD,OPTION EXPIRING VARIOUS DATES RESTRICTED,AU00001STAK7
TIX,360 CAP INDUST FUND,ORDINARY UNITS FULLY PAID,AU000000TIX8
TIXAI,360 CAP INDUST FUND,UNITS FULLY PAID DEFERRED,AU0000TIXAI9
TGP,360 CAPITAL GRP,STAPLED SECURITIES FULLY PAID,AU000000TGP8
TOF,360 CAPITAL OFFICE F,ORDINARY UNITS FULLY PAID,AU000000TOF3
TOT,360 CAPITAL TOTAL RE,STAPLED SECURITIES,AU000000TOT4
3DM,3D MEDICAL LTD,ORDINARY FULLY PAID,AU0000003DM3
3DMDA,3D MEDICAL LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU00003DMDA5
3DMAE,3D MEDICAL LTD,ORDINARY FULLY PAID RESTRICTED,AU00003DMAE3
3DMAH,3D MEDICAL LTD,OPTION EXPIRING 06-AUG-2016 EX 5C,AU00003DMAH6
3DMAI,3D MEDICAL LTD,OPTION EXPIRING 06-FEB-2017 EX 5C,AU00003DMAI4
3DMAF,3D MEDICAL LTD,OPTION EXPIRING 06-AUG-2016 RESTRICTED,AU00003DMAF0
3DMAG,3D MEDICAL LTD,OPTION EXPIRING 06-FEB-2017 RESTRICTED,AU00003DMAG8
TDO,3D OIL LIMITED,ORDINARY FULLY PAID,AU000000TDO8
