Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
A2M,31 Mar 2015,.555,.595,.53,.565,4816294
A2M,01 Apr 2015,.575,.58,.555,.565,4376660
A2M,02 Apr 2015,.56,.565,.535,.555,2779640
A2M,07 Apr 2015,.545,.55,.54,.545,392179
A2M,08 Apr 2015,.545,.545,.53,.54,668446
A2M,09 Apr 2015,.54,.54,.532,.535,706846
A2M,10 Apr 2015,.53,.535,.53,.535,175104
A2M,13 Apr 2015,.535,.54,.53,.54,565808
A2M,14 Apr 2015,.54,.54,.535,.54,371393
A2M,15 Apr 2015,.54,.55,.54,.54,925749
A2M,16 Apr 2015,.545,.545,.525,.53,592613
A2M,17 Apr 2015,.525,.54,.52,.54,547790
A2M,20 Apr 2015,.535,.535,.52,.52,374120
A2M,21 Apr 2015,.525,.53,.52,.52,651198
A2M,22 Apr 2015,.52,.53,.52,.52,392390
A2M,23 Apr 2015,.52,.52,.51,.51,1425194
A2M,24 Apr 2015,.51,.51,.49,.505,1066155
A2M,27 Apr 2015,.505,.51,.5,.505,220868
A2M,28 Apr 2015,.5,.5,.475,.48,486072
A2M,29 Apr 2015,.485,.485,.475,.475,216411
A2M,30 Apr 2015,.475,.5,.475,.5,531816
A2M,01 May 2015,.5,.5,.495,.5,797093
A2M,04 May 2015,.505,.51,.5,.51,130986
A2M,05 May 2015,.51,.51,.5,.505,1682400
A2M,06 May 2015,.5,.505,.5,.505,2235391
A2M,07 May 2015,.505,.505,.49,.5,804209
A2M,08 May 2015,.5,.505,.495,.495,146993
A2M,11 May 2015,.5,.5,.49,.5,164626
A2M,12 May 2015,.495,.51,.48,.485,197408
A2M,13 May 2015,.48,.5,.465,.465,420992
A2M,14 May 2015,.475,.49,.47,.475,828299
A2M,15 May 2015,.48,.49,.465,.465,313746
A2M,18 May 2015,.48,.48,.47,.47,200098
A2M,19 May 2015,.48,.49,.475,.49,357477
A2M,20 May 2015,.485,.485,.48,.48,340551
A2M,21 May 2015,.48,.48,.47,.475,305175
A2M,22 May 2015,.48,.485,.47,.47,124190
A2M,25 May 2015,.48,.485,.47,.47,555332
A2M,26 May 2015,.485,.495,.48,.48,967695
A2M,27 May 2015,.48,.485,.475,.475,3361058
A2M,28 May 2015,.47,.485,.47,.47,357783
A2M,29 May 2015,.475,.475,.455,.465,5665854
A2M,01 Jun 2015,.47,.475,.46,.475,206190
A2M,02 Jun 2015,.475,.475,.467,.47,2718234
A2M,03 Jun 2015,.47,.51,.47,.505,3168563
A2M,04 Jun 2015,.52,.53,.515,.525,3896511
A2M,05 Jun 2015,.535,.535,.52,.52,913648
A2M,09 Jun 2015,.52,.53,.52,.52,749933
A2M,10 Jun 2015,.53,.53,.525,.525,827837
A2M,11 Jun 2015,.535,.535,.525,.53,799466
A2M,12 Jun 2015,.52,.535,.515,.525,1096602
A2M,15 Jun 2015,.53,.54,.525,.525,916435
A2M,16 Jun 2015,.525,.53,.52,.52,297945
A2M,17 Jun 2015,.525,.525,.52,.52,789115
A2M,18 Jun 2015,.515,.515,.5,.5,886911
A2M,19 Jun 2015,.505,.51,.505,.51,175718
A2M,22 Jun 2015,.615,.625,.555,.61,5399363
A2M,23 Jun 2015,.62,.72,.615,.685,6889072
A2M,24 Jun 2015,.68,.68,.65,.665,3592761
A2M,25 Jun 2015,.66,.66,.62,.635,1464128
A2M,26 Jun 2015,.65,.66,.645,.65,840001
A2M,29 Jun 2015,.635,.66,.625,.645,645800
A2M,30 Jun 2015,.64,.65,.63,.64,1691918
A2M,01 Jul 2015,.645,.67,.645,.665,1340058
A2M,02 Jul 2015,.67,.69,.67,.675,1038156
A2M,03 Jul 2015,.665,.675,.65,.66,771513
A2M,06 Jul 2015,.67,.67,.64,.655,7348055
A2M,07 Jul 2015,.645,.665,.645,.655,770015
A2M,08 Jul 2015,.66,.665,.64,.65,645690
A2M,09 Jul 2015,.655,.665,.65,.66,469683
A2M,10 Jul 2015,.665,.68,.66,.68,1490850
A2M,13 Jul 2015,.665,.675,.66,.67,244794
A2M,14 Jul 2015,.67,.67,.655,.665,402554
A2M,15 Jul 2015,.67,.685,.66,.685,1935945
A2M,16 Jul 2015,.68,.685,.66,.675,233598
A2M,17 Jul 2015,.66,.675,.655,.665,566655
A2M,20 Jul 2015,.65,.675,.635,.665,2534778
A2M,21 Jul 2015,.69,.725,.68,.725,3496755
A2M,22 Jul 2015,.73,.75,.71,.71,2455317
A2M,23 Jul 2015,.71,.73,.71,.72,638594
A2M,24 Jul 2015,.73,.74,.73,.73,725547
A2M,27 Jul 2015,.735,.785,.735,.765,1865260
A2M,28 Jul 2015,.765,.765,.755,.755,1104774
A2M,29 Jul 2015,.755,.755,.75,.755,839125
A2M,30 Jul 2015,.755,.755,.745,.745,464844
A2M,31 Jul 2015,.75,.76,.73,.735,714927
A2M,03 Aug 2015,.732,.732,.71,.73,392898
A2M,04 Aug 2015,.72,.73,.715,.725,252277
A2M,05 Aug 2015,.715,.73,.71,.73,434506
A2M,06 Aug 2015,.72,.74,.72,.735,190843
A2M,07 Aug 2015,.735,.75,.72,.735,178365
A2M,10 Aug 2015,.735,.735,.71,.71,380677
A2M,11 Aug 2015,.705,.725,.705,.72,262495
A2M,12 Aug 2015,.72,.74,.71,.72,1451210
A2M,13 Aug 2015,.72,.73,.72,.72,187046
A2M,14 Aug 2015,.72,.72,.71,.71,343558
A2M,17 Aug 2015,.71,.715,.7,.7,197582
A2M,18 Aug 2015,.705,.71,.705,.71,211016
A2M,19 Aug 2015,.7,.705,.685,.685,715900
A2M,20 Aug 2015,.66,.66,.6,.64,1856050
A2M,21 Aug 2015,.64,.69,.62,.68,965230
A2M,24 Aug 2015,.645,.66,.625,.63,598495
A2M,25 Aug 2015,.62,.64,.6,.635,828725
A2M,26 Aug 2015,.64,.65,.64,.645,142777
A2M,27 Aug 2015,.66,.685,.66,.67,510739
A2M,28 Aug 2015,.675,.675,.655,.66,405710
A2M,31 Aug 2015,.66,.66,.635,.635,713275
A2M,01 Sep 2015,.605,.635,.605,.625,4963009
A2M,02 Sep 2015,.615,.63,.615,.63,884435
A2M,03 Sep 2015,.63,.63,.615,.62,262097
A2M,04 Sep 2015,.62,.63,.615,.63,422557
A2M,07 Sep 2015,.63,.67,.62,.66,4509782
A2M,08 Sep 2015,.665,.665,.64,.645,4075837
A2M,09 Sep 2015,.655,.66,.645,.655,1038204
A2M,10 Sep 2015,.655,.675,.645,.65,1937993
A2M,11 Sep 2015,.65,.665,.64,.64,806472
A2M,14 Sep 2015,.655,.655,.64,.645,508243
A2M,15 Sep 2015,.65,.65,.63,.63,493071
A2M,16 Sep 2015,.635,.65,.63,.64,257684
A2M,17 Sep 2015,.645,.65,.64,.645,1443758
A2M,18 Sep 2015,.65,.65,.635,.635,629924
A2M,21 Sep 2015,.64,.64,.63,.63,955795
A2M,22 Sep 2015,.64,.645,.635,.635,1612302
A2M,23 Sep 2015,.63,.645,.63,.645,493138
A2M,24 Sep 2015,.645,.655,.645,.655,404667
A2M,25 Sep 2015,.645,.655,.64,.65,1623472
A2M,28 Sep 2015,.65,.65,.645,.65,606424
A2M,29 Sep 2015,.645,.645,.637,.64,621472
A2M,30 Sep 2015,.635,.64,.635,.64,353375
A2M,01 Oct 2015,.645,.645,.635,.64,401530
A2M,02 Oct 2015,.64,.655,.635,.65,2233489
A2M,05 Oct 2015,.655,.66,.647,.65,641433
A2M,06 Oct 2015,.66,.66,.65,.66,740995
A2M,07 Oct 2015,.655,.662,.65,.65,568756
A2M,08 Oct 2015,.65,.65,.65,.65,0
A2M,09 Oct 2015,.7,.74,.7,.715,8826910
A2M,12 Oct 2015,.725,.765,.72,.745,4404001
A2M,13 Oct 2015,.745,.755,.74,.74,2634340
