Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ANN,07 Mar 2006,11,11.17,10.93,11.13,557207
ANN,08 Mar 2006,11.15,11.15,10.85,10.92,464314
ANN,09 Mar 2006,11.09,11.09,10.9,10.95,244198
ANN,06 Jul 2007,12.2,12.35,12.07,12.24,526800
ANN,18 Jun 2007,12.3,12.43,12.22,12.32,324968
ANN,22 May 2007,12,12.1,11.88,11.98,848993
ANN,21 May 2007,12.07,12.07,11.93,12.01,872923
ANN,14 May 2007,11.83,12.13,11.74,12.01,815280
ANN,11 May 2007,11.36,11.78,11.3,11.66,443607
ANN,10 May 2007,11.47,11.47,11.36,11.47,617760
ANN,08 May 2007,11.65,11.69,11.4,11.4,502542
ANN,04 May 2007,11.63,11.63,11.36,11.49,231599
ANN,27 Apr 2007,11.29,11.47,11.19,11.47,731407
ANN,26 Apr 2007,11.42,11.42,11.17,11.24,794469
ANN,23 Apr 2007,11.61,11.64,11.31,11.58,797156
ANN,20 Apr 2007,11.4,11.4,11.25,11.38,524857
ANN,19 Apr 2007,11.31,11.4,11.24,11.3,595057
ANN,18 Apr 2007,11.17,11.35,11.05,11.25,324232
ANN,17 Apr 2007,11.38,11.43,11.14,11.16,958505
ANN,16 Apr 2007,11.36,11.4,11.32,11.39,347081
ANN,13 Apr 2007,11.4,11.42,11.28,11.38,658787
ANN,12 Apr 2007,11.55,11.55,11.35,11.36,773078
ANN,11 Apr 2007,11.64,11.64,11.41,11.46,623133
ANN,10 Apr 2007,11.55,11.64,11.5,11.64,468449
ANN,05 Apr 2007,11.5,11.57,11.46,11.48,303038
ANN,04 Apr 2007,11.7,11.7,11.48,11.57,545826
ANN,03 Apr 2007,11.52,11.69,11.52,11.68,639707
ANN,02 Apr 2007,11.65,11.65,11.4,11.4,323188
ANN,30 Mar 2007,11.54,11.64,11.46,11.6,453854
ANN,29 Mar 2007,11.5,11.57,11.41,11.47,414648
ANN,28 Mar 2007,11.6,11.68,11.5,11.5,205701
ANN,27 Mar 2007,11.52,11.67,11.48,11.57,380693
ANN,26 Mar 2007,11.9,11.9,11.5,11.5,377114
ANN,23 Mar 2007,11.51,11.6,11.5,11.55,179688
ANN,22 Mar 2007,11.74,11.88,11.44,11.51,668709
ANN,21 Mar 2007,11.78,11.88,11.7,11.75,693223
ANN,20 Mar 2007,11.84,11.9,11.76,11.88,143111
ANN,19 Mar 2007,11.8,11.97,11.6,11.69,308680
ANN,16 Mar 2007,11.6,11.68,11.5,11.63,323336
ANN,15 Mar 2007,11.61,11.68,11.49,11.68,1131042
ANN,14 Mar 2007,11.5,11.53,11.3,11.4,514569
ANN,13 Mar 2007,11.95,11.97,11.54,11.59,663323
ANN,12 Mar 2007,11.5,11.87,11.5,11.86,271669
ANN,09 Mar 2007,11.7,11.81,11.49,11.59,377204
ANN,08 Mar 2007,11.84,12,11.56,11.7,652597
ANN,07 Mar 2007,11.75,12,11.64,11.95,427268
ANN,05 Mar 2007,11.54,11.68,11.5,11.5,446927
ANN,02 Mar 2007,11.7,11.85,11.44,11.68,1088348
ANN,28 Feb 2007,11.2,11.7,11.17,11.65,1313414
ANN,27 Feb 2007,11.94,12.04,11.85,11.9,355179
ANN,23 Feb 2007,11.9,12.07,11.88,11.95,422837
ANN,22 Feb 2007,12,12.4,11.9,11.96,787922
ANN,21 Feb 2007,11.84,12.09,11.84,12.05,656813
ANN,20 Feb 2007,11.79,11.95,11.69,11.91,961376
ANN,19 Feb 2007,11.8,11.94,11.53,11.84,384688
ANN,16 Feb 2007,11.22,11.91,11.22,11.81,2565342
ANN,15 Feb 2007,11.1,11.24,11.05,11.14,1042667
ANN,14 Feb 2007,11.2,11.36,11.13,11.13,350950
ANN,13 Feb 2007,11.13,11.18,11.04,11.15,383021
ANN,12 Feb 2007,11,11.07,10.92,11.06,562624
ANN,09 Feb 2007,11.17,11.2,11.04,11.1,847476
ANN,08 Feb 2007,11.01,11.13,10.86,11.1,925940
ANN,07 Feb 2007,11.11,11.11,11.02,11.07,387420
ANN,06 Feb 2007,11.01,11.17,11.01,11.14,175934
ANN,05 Feb 2007,11.07,11.09,11.02,11.06,316139
ANN,02 Feb 2007,11.11,11.15,11.02,11.07,556036
ANN,01 Feb 2007,11.2,11.23,11.09,11.13,714390
ANN,31 Jan 2007,11.33,11.43,11.19,11.19,407889
ANN,30 Jan 2007,11.31,11.6,11.29,11.33,849534
ANN,29 Jan 2007,11.45,11.48,11.15,11.2,627487
ANN,25 Jan 2007,11.22,11.57,11.22,11.35,749587
ANN,24 Jan 2007,11.46,11.48,11.06,11.22,1653436
ANN,23 Jan 2007,11.33,11.51,11.33,11.45,805747
ANN,22 Jan 2007,11.55,11.6,11.25,11.26,491397
ANN,19 Jan 2007,11.65,11.68,11.41,11.55,236251
ANN,18 Jan 2007,11.72,11.77,11.64,11.68,416471
ANN,17 Jan 2007,11.65,11.7,11.59,11.65,450273
ANN,16 Jan 2007,11.56,11.68,11.55,11.65,311047
ANN,15 Jan 2007,11.68,11.68,11.53,11.62,267822
ANN,12 Jan 2007,11.31,11.67,11.28,11.67,905666
ANN,11 Jan 2007,11.35,11.35,11.25,11.3,370955
ANN,10 Jan 2007,11.4,11.46,11.31,11.35,775855
ANN,09 Jan 2007,11.53,11.64,11.3,11.35,364354
ANN,08 Jan 2007,11.26,11.43,11.21,11.36,362682
ANN,05 Jan 2007,11.48,11.61,11.3,11.39,182432
ANN,04 Jan 2007,11.25,11.67,11.25,11.55,546310
ANN,03 Jan 2007,11.3,11.3,11.23,11.3,148536
ANN,02 Jan 2007,11.29,11.3,11.22,11.22,59239
ANN,29 Dec 2006,11.3,11.3,11.2,11.25,336041
ANN,28 Dec 2006,11.15,11.25,11.14,11.19,280521
ANN,27 Dec 2006,11.19,11.3,11.17,11.23,117917
ANN,22 Dec 2006,11.35,11.35,11.03,11.09,798553
ANN,21 Dec 2006,11.3,11.32,11.25,11.3,1320077
ANN,20 Dec 2006,11.55,11.55,11.37,11.39,888111
ANN,19 Dec 2006,11.5,11.58,11.35,11.37,593110
ANN,18 Dec 2006,11.5,11.5,11.39,11.45,787703
ANN,15 Dec 2006,11.5,11.5,11.39,11.45,295290
ANN,14 Dec 2006,11.5,11.5,11.3,11.42,477036
ANN,13 Dec 2006,11.35,11.57,11.35,11.37,430072
ANN,12 Dec 2006,11.65,11.71,11.3,11.38,329564
ANN,11 Dec 2006,11.55,11.73,11.55,11.56,401506
ANN,08 Dec 2006,11.6,11.67,11.43,11.52,172981
ANN,07 Dec 2006,11.66,11.73,11.6,11.64,203394
ANN,06 Dec 2006,11.56,11.78,11.52,11.71,235137
ANN,05 Dec 2006,11.41,11.77,11.41,11.77,1250420
ANN,04 Dec 2006,11.3,11.47,11.25,11.37,373879
ANN,01 Dec 2006,11.61,11.63,11.25,11.3,380299
ANN,30 Nov 2006,11.33,11.78,11.31,11.69,975373
ANN,29 Nov 2006,10.96,11.31,10.9,11.31,727114
ANN,28 Nov 2006,11.18,11.18,10.9,11.01,511278
ANN,27 Nov 2006,10.99,11.34,10.91,11.34,386575
ANN,24 Nov 2006,10.9,11.05,10.84,10.96,599618
ANN,23 Nov 2006,10.96,11.03,10.87,10.89,994234
ANN,22 Nov 2006,10.93,11,10.8,10.91,1305784
ANN,21 Nov 2006,10.64,10.83,10.64,10.8,735772
ANN,20 Nov 2006,10.89,10.99,10.55,10.61,307131
ANN,17 Nov 2006,10.93,11.06,10.89,11.06,387710
ANN,16 Nov 2006,10.84,10.85,10.52,10.81,1441249
ANN,15 Nov 2006,11.1,11.2,10.91,10.95,736127
ANN,14 Nov 2006,11.19,11.19,11.02,11.03,490527
ANN,13 Nov 2006,11.4,11.4,11.09,11.2,467791
ANN,10 Nov 2006,11.24,11.59,11.21,11.41,819844
ANN,09 Nov 2006,11.05,11.2,11.01,11.2,651899
ANN,08 Nov 2006,11.3,11.32,11.15,11.2,359177
ANN,07 Nov 2006,11.2,11.32,11,11.3,254468
ANN,12 Feb 2008,11.99,12.38,11.87,12.25,1649137
ANN,06 Nov 2006,11.19,11.19,11.01,11.09,418708
ANN,03 Nov 2006,11.1,11.3,11,11.21,412589
ANN,02 Nov 2006,10.9,11.24,10.9,11.19,476271
ANN,01 Nov 2006,10.98,11.13,10.92,11.05,871484
ANN,31 Oct 2006,11.15,11.15,10.95,11.09,683391
ANN,30 Oct 2006,11.05,11.12,10.91,11.06,587954
