Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
BAL,05 Aug 2014,1.31,1.34,1.21,1.305,8891741
BAL,06 Aug 2014,1.325,1.41,1.325,1.37,2806800
BAL,07 Aug 2014,1.37,1.46,1.365,1.43,3058100
BAL,08 Aug 2014,1.44,1.465,1.405,1.41,754474
BAL,11 Aug 2014,1.44,1.465,1.405,1.405,560451
BAL,12 Aug 2014,1.415,1.415,1.355,1.37,533552
BAL,13 Aug 2014,1.38,1.38,1.33,1.35,345065
BAL,14 Aug 2014,1.35,1.39,1.34,1.39,395582
BAL,15 Aug 2014,1.39,1.4,1.387,1.39,335437
BAL,18 Aug 2014,1.4,1.425,1.4,1.41,431416
BAL,19 Aug 2014,1.43,1.435,1.415,1.42,679681
BAL,20 Aug 2014,1.42,1.42,1.41,1.42,331457
BAL,21 Aug 2014,1.42,1.42,1.39,1.4,496494
BAL,22 Aug 2014,1.4,1.4,1.37,1.38,322798
BAL,25 Aug 2014,1.39,1.395,1.38,1.395,231358
BAL,26 Aug 2014,1.4,1.41,1.39,1.4,663711
BAL,27 Aug 2014,1.4,1.41,1.39,1.39,300494
BAL,28 Aug 2014,1.39,1.4,1.35,1.35,428381
BAL,29 Aug 2014,1.39,1.4,1.35,1.37,241364
BAL,01 Sep 2014,1.39,1.39,1.37,1.38,98440
BAL,02 Sep 2014,1.38,1.38,1.34,1.35,289514
BAL,03 Sep 2014,1.35,1.36,1.35,1.35,221828
BAL,04 Sep 2014,1.35,1.35,1.31,1.31,232601
BAL,05 Sep 2014,1.33,1.35,1.33,1.34,187751
BAL,07 Sep 2014,1.33,1.35,1.33,1.34,187751
BAL,08 Sep 2014,1.33,1.34,1.31,1.31,392416
BAL,09 Sep 2014,1.33,1.35,1.33,1.33,175373
BAL,10 Sep 2014,1.32,1.33,1.31,1.32,552125
BAL,11 Sep 2014,1.315,1.325,1.305,1.315,1257288
BAL,12 Sep 2014,1.31,1.33,1.305,1.33,213644
BAL,15 Sep 2014,1.34,1.35,1.315,1.315,266065
BAL,16 Sep 2014,1.33,1.33,1.31,1.32,272679
BAL,17 Sep 2014,1.33,1.34,1.315,1.325,130405
BAL,18 Sep 2014,1.33,1.35,1.32,1.345,491750
BAL,19 Sep 2014,1.36,1.39,1.34,1.345,146890
BAL,22 Sep 2014,1.36,1.38,1.35,1.36,390963
BAL,23 Sep 2014,1.365,1.405,1.33,1.4,522546
BAL,24 Sep 2014,1.48,1.49,1.42,1.43,914923
BAL,25 Sep 2014,1.44,1.48,1.4,1.41,596323
BAL,26 Sep 2014,1.42,1.42,1.395,1.4,138032
BAL,29 Sep 2014,1.4,1.4,1.385,1.4,144312
BAL,30 Sep 2014,1.4,1.415,1.385,1.39,217681
BAL,01 Oct 2014,1.42,1.44,1.4,1.425,254938
BAL,02 Oct 2014,1.435,1.45,1.41,1.41,470940
BAL,03 Oct 2014,1.42,1.42,1.395,1.4,251434
BAL,04 Oct 2014,1.42,1.42,1.395,1.4,251434
BAL,06 Oct 2014,1.415,1.415,1.395,1.395,164193
BAL,07 Oct 2014,1.4,1.4,1.385,1.39,184525
BAL,08 Oct 2014,1.39,1.39,1.36,1.38,148093
BAL,09 Oct 2014,1.385,1.4,1.385,1.4,220275
BAL,10 Oct 2014,1.39,1.4,1.39,1.39,352556
BAL,13 Oct 2014,1.39,1.4,1.385,1.385,122445
BAL,14 Oct 2014,1.385,1.39,1.37,1.37,128330
BAL,15 Oct 2014,1.37,1.39,1.365,1.39,90105
BAL,16 Oct 2014,1.37,1.39,1.36,1.39,96083
BAL,17 Oct 2014,1.38,1.39,1.37,1.37,134849
BAL,20 Oct 2014,1.37,1.43,1.37,1.41,433273
BAL,21 Oct 2014,1.415,1.43,1.41,1.415,122839
BAL,22 Oct 2014,1.425,1.45,1.415,1.43,111549
BAL,23 Oct 2014,1.44,1.45,1.435,1.435,90645
