Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
BGA,19 Aug 2011,1.9,1.9,1.78,1.84,1117535
BGA,22 Aug 2011,1.84,1.84,1.75,1.76,848467
BGA,23 Aug 2011,1.78,1.8,1.76,1.76,356405
BGA,24 Aug 2011,1.79,1.8,1.77,1.77,178028
BGA,25 Aug 2011,1.77,1.77,1.74,1.74,1237925
BGA,26 Aug 2011,1.75,1.77,1.75,1.77,78340
BGA,29 Aug 2011,1.77,1.77,1.75,1.76,60485
BGA,30 Aug 2011,1.76,1.8,1.74,1.8,108245
BGA,31 Aug 2011,1.8,1.8,1.78,1.8,110018
BGA,01 Sep 2011,1.84,1.84,1.8,1.8,143493
BGA,02 Sep 2011,1.8,1.83,1.8,1.82,97467
BGA,05 Sep 2011,1.8,1.82,1.8,1.81,151317
BGA,06 Sep 2011,1.81,1.81,1.8,1.8,138020
BGA,07 Sep 2011,1.85,1.9,1.82,1.88,306303
BGA,08 Sep 2011,1.9,1.91,1.88,1.89,358096
BGA,09 Sep 2011,1.88,1.89,1.87,1.89,96356
BGA,12 Sep 2011,1.89,1.89,1.86,1.86,86155
BGA,13 Sep 2011,1.87,1.88,1.85,1.88,166000
BGA,14 Sep 2011,1.88,1.88,1.83,1.83,150710
BGA,15 Sep 2011,1.85,1.85,1.83,1.83,40790
BGA,16 Sep 2011,1.85,1.85,1.83,1.83,27524
BGA,19 Sep 2011,1.83,1.85,1.83,1.84,18350
BGA,20 Sep 2011,1.83,1.85,1.83,1.83,12420
BGA,21 Sep 2011,1.83,1.83,1.82,1.82,73440
BGA,22 Sep 2011,1.82,1.83,1.8,1.83,57080
BGA,23 Sep 2011,1.805,1.82,1.8,1.8,206933
BGA,26 Sep 2011,1.8,1.82,1.8,1.82,67517
BGA,27 Sep 2011,1.795,1.815,1.795,1.815,7254
BGA,28 Sep 2011,1.815,1.815,1.795,1.795,56528
BGA,29 Sep 2011,1.79,1.795,1.77,1.77,109364
BGA,30 Sep 2011,1.79,1.805,1.77,1.77,64913
BGA,03 Oct 2011,1.77,1.77,1.77,1.77,0
BGA,04 Oct 2011,1.77,1.77,1.75,1.77,9639
BGA,05 Oct 2011,1.76,1.76,1.7,1.7,46510
BGA,06 Oct 2011,1.7,1.73,1.7,1.71,22179
BGA,07 Oct 2011,1.73,1.73,1.695,1.72,74930
BGA,10 Oct 2011,1.72,1.73,1.67,1.68,77350
BGA,11 Oct 2011,1.7,1.7,1.68,1.68,65507
BGA,12 Oct 2011,1.69,1.7,1.67,1.69,21325
BGA,13 Oct 2011,1.67,1.69,1.67,1.69,64722
BGA,14 Oct 2011,1.69,1.71,1.69,1.71,84973
BGA,17 Oct 2011,1.72,1.73,1.7,1.7,61120
BGA,18 Oct 2011,1.7,1.7,1.69,1.69,88750
BGA,19 Oct 2011,1.7,1.72,1.68,1.7,494809
BGA,20 Oct 2011,1.71,1.73,1.7,1.7,30500
BGA,21 Oct 2011,1.7,1.7,1.68,1.68,77700
BGA,24 Oct 2011,1.7,1.7,1.68,1.68,7500
BGA,25 Oct 2011,1.68,1.68,1.68,1.68,31604
BGA,26 Oct 2011,1.68,1.69,1.68,1.68,40550
BGA,27 Oct 2011,1.68,1.69,1.68,1.69,2890
BGA,28 Oct 2011,1.7,1.7,1.69,1.69,8874
BGA,31 Oct 2011,1.7,1.71,1.7,1.71,75000
BGA,01 Nov 2011,1.69,1.7,1.69,1.69,9066
BGA,02 Nov 2011,1.7,1.7,1.7,1.7,13587
BGA,03 Nov 2011,1.7,1.7,1.69,1.7,71350
BGA,04 Nov 2011,1.69,1.69,1.68,1.68,17250
BGA,07 Nov 2011,1.7,1.7,1.6,1.7,86987
BGA,08 Nov 2011,1.695,1.7,1.695,1.7,5000
BGA,09 Nov 2011,1.695,1.695,1.68,1.68,80000
BGA,10 Nov 2011,1.675,1.7,1.67,1.69,82819
BGA,11 Nov 2011,1.69,1.71,1.68,1.71,141268
BGA,14 Nov 2011,1.71,1.71,1.7,1.71,71295
BGA,15 Nov 2011,1.7,1.73,1.7,1.71,207015
BGA,16 Nov 2011,1.73,1.73,1.72,1.72,14170
BGA,17 Nov 2011,1.71,1.71,1.71,1.71,3450
BGA,18 Nov 2011,1.72,1.72,1.7,1.72,8142
BGA,21 Nov 2011,1.7,1.71,1.7,1.71,50344
BGA,22 Nov 2011,1.68,1.68,1.68,1.68,9500
BGA,23 Nov 2011,1.7,1.7,1.68,1.68,12360
BGA,24 Nov 2011,1.69,1.69,1.67,1.68,58213
BGA,25 Nov 2011,1.68,1.68,1.67,1.67,32820
BGA,28 Nov 2011,1.68,1.69,1.68,1.69,8546
