Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
BKL,07 Mar 2006,14.36,14.45,14.36,14.45,3476
BKL,08 Mar 2006,14.41,14.43,14.41,14.43,857
BKL,09 Mar 2006,14.45,14.57,14.42,14.42,4397
BKL,10 Mar 2006,14.58,14.58,14.58,14.58,500
BKL,13 Mar 2006,14.58,14.74,14.58,14.74,1675
BKL,14 Mar 2006,14.61,14.65,14.6,14.65,1349
BKL,15 Mar 2006,14.7,14.7,14.7,14.7,960
BKL,16 Mar 2006,14.74,14.88,14.72,14.75,4318
BKL,17 Mar 2006,14.8,14.8,14.6,14.6,920
BKL,20 Mar 2006,14.6,14.62,14.6,14.61,4038
BKL,21 Mar 2006,14.65,14.65,14.6,14.6,7690
BKL,22 Mar 2006,14.6,14.6,14.6,14.6,3000
BKL,23 Mar 2006,14.63,14.65,14.62,14.62,4240
BKL,24 Mar 2006,14.6,14.7,14.6,14.7,2538
BKL,27 Mar 2006,14.63,14.7,14.63,14.7,1684
BKL,21 Aug 2006,14.2,14.6,14.18,14.2,21861
BKL,06 Nov 2006,17.12,17.14,17.12,17.14,8186
BKL,10 Jan 2007,18.9,20,18.9,19.98,11930
BKL,15 Dec 2006,17.2,17.2,17.2,17.2,0
BKL,08 Dec 2006,16.84,16.85,16.81,16.81,1523
BKL,06 Dec 2006,16.96,16.96,16.96,16.96,2100
BKL,28 Nov 2006,16.93,16.93,16.93,16.93,0
BKL,27 Nov 2006,16.8,16.93,16.8,16.93,7813
BKL,23 Nov 2006,17.02,17.02,17,17,7379
BKL,21 Nov 2006,17,17,16.9,16.9,4897
BKL,20 Nov 2006,17,17.02,17,17.02,6240
BKL,17 Nov 2006,16.98,17.02,16.9,17.02,4535
BKL,16 Nov 2006,17.02,17.02,17,17.02,3665
BKL,15 Nov 2006,17.05,17.05,17.05,17.05,400
BKL,14 Nov 2006,17.05,17.05,17.05,17.05,6060
BKL,13 Nov 2006,17.05,17.05,17,17.01,6485
BKL,10 Nov 2006,17.15,17.19,17.08,17.08,4119
BKL,09 Nov 2006,17.13,17.15,17.1,17.1,3043
BKL,01 Nov 2006,17,17,16.8,16.8,2337
BKL,31 Oct 2006,17,17.14,17,17,3380
BKL,30 Oct 2006,17,17,16.99,17,1057
BKL,25 Oct 2006,17,17.48,16.99,17.05,10376
BKL,16 Oct 2006,16.27,16.3,16.22,16.25,11384
BKL,13 Oct 2006,16.25,16.3,16.25,16.3,2430
BKL,12 Oct 2006,16.2,16.3,16.1,16.28,6940
BKL,11 Oct 2006,16.25,16.3,16.1,16.3,4787
BKL,06 Oct 2006,15.1,16.15,15.1,16.15,5579
BKL,04 Oct 2006,15.09,15.15,14.8,14.8,11306
BKL,02 Oct 2006,14.68,14.92,14.61,14.92,15321
BKL,29 Sep 2006,14.7,14.7,14.61,14.68,8412
BKL,28 Sep 2006,14.61,14.7,14.6,14.7,805
BKL,27 Sep 2006,14.75,14.77,14.75,14.75,2394
BKL,26 Sep 2006,14.59,14.78,14.59,14.75,2500
BKL,25 Sep 2006,14.58,14.6,14.57,14.6,5932
BKL,22 Sep 2006,14.42,14.58,14.4,14.58,11836
BKL,21 Sep 2006,14.45,14.47,14.41,14.45,5406
BKL,20 Sep 2006,14.3,14.45,14.29,14.45,11747
BKL,19 Sep 2006,14.25,14.25,14.2,14.25,13411
BKL,18 Sep 2006,14.25,14.3,14.2,14.3,4082
BKL,13 Sep 2006,14.37,14.37,14.3,14.35,15117
