Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
BPT,08 Mar 2006,1.23,1.23,1.205,1.215,1909126
BPT,09 Mar 2006,1.205,1.24,1.17,1.24,2671679
BPT,10 Mar 2006,1.24,1.26,1.235,1.235,1246711
BPT,06 Nov 2006,1.41,1.43,1.39,1.41,2941815
BPT,07 Aug 2007,1.22,1.22,1.18,1.18,3081363
BPT,24 Jul 2007,1.41,1.445,1.41,1.445,7727976
BPT,19 Jul 2007,1.315,1.355,1.315,1.345,6977241
BPT,16 Jul 2007,1.31,1.315,1.29,1.29,3812062
BPT,09 Jul 2007,1.295,1.315,1.29,1.295,6306932
BPT,05 Jul 2007,1.37,1.395,1.31,1.335,10031650
BPT,02 Jul 2007,1.43,1.44,1.425,1.43,4514421
BPT,29 Jun 2007,1.425,1.44,1.42,1.43,4490073
BPT,18 Jun 2007,1.49,1.495,1.465,1.475,2361888
BPT,30 May 2007,1.395,1.4,1.375,1.375,3974971
BPT,29 May 2007,1.375,1.4,1.37,1.4,3152514
BPT,21 May 2007,1.375,1.375,1.36,1.375,2859914
BPT,18 May 2007,1.375,1.38,1.35,1.355,6605385
BPT,17 May 2007,1.355,1.37,1.35,1.37,2337492
BPT,16 May 2007,1.355,1.365,1.35,1.35,7355041
BPT,15 May 2007,1.375,1.375,1.345,1.345,11544371
BPT,14 May 2007,1.4,1.41,1.365,1.37,9232100
BPT,03 May 2007,1.255,1.26,1.25,1.255,1983483
BPT,30 Apr 2007,1.245,1.275,1.245,1.27,3371568
BPT,27 Apr 2007,1.28,1.28,1.24,1.24,4686734
BPT,26 Apr 2007,1.315,1.32,1.265,1.28,4218692
BPT,24 Apr 2007,1.315,1.33,1.29,1.305,3421511
BPT,23 Apr 2007,1.295,1.32,1.285,1.305,2694592
BPT,20 Apr 2007,1.305,1.31,1.27,1.285,2129563
BPT,19 Apr 2007,1.36,1.365,1.3,1.32,5272325
BPT,18 Apr 2007,1.305,1.36,1.3,1.355,6599922
BPT,17 Apr 2007,1.315,1.315,1.28,1.3,7287589
BPT,16 Apr 2007,1.25,1.31,1.25,1.295,10377283
BPT,13 Apr 2007,1.26,1.275,1.235,1.24,5114203
BPT,11 Apr 2007,1.21,1.235,1.205,1.205,5876034
BPT,10 Apr 2007,1.195,1.2,1.18,1.2,2885126
BPT,05 Apr 2007,1.18,1.21,1.18,1.21,3028622
BPT,04 Apr 2007,1.2,1.21,1.155,1.185,3934749
BPT,03 Apr 2007,1.215,1.22,1.2,1.2,2569069
BPT,02 Apr 2007,1.25,1.255,1.21,1.21,2943548
BPT,29 Mar 2007,1.235,1.24,1.215,1.235,6871490
BPT,28 Mar 2007,1.195,1.23,1.19,1.21,13764455
BPT,27 Mar 2007,1.2,1.205,1.17,1.17,5861133
BPT,26 Mar 2007,1.18,1.22,1.18,1.185,6022950
BPT,23 Mar 2007,1.135,1.18,1.13,1.16,9153691
BPT,22 Mar 2007,1.13,1.145,1.11,1.115,9518335
BPT,21 Mar 2007,1.13,1.14,1.105,1.105,2779434
BPT,20 Mar 2007,1.125,1.125,1.105,1.12,6075858
BPT,19 Mar 2007,1.12,1.125,1.095,1.105,5153957
BPT,16 Mar 2007,1.08,1.105,1.08,1.085,19069405
BPT,15 Mar 2007,1.08,1.08,1.065,1.08,19879089
BPT,14 Mar 2007,1.07,1.07,1.04,1.05,3251470
BPT,13 Mar 2007,1.11,1.11,1.08,1.09,7175775
BPT,12 Mar 2007,1.105,1.12,1.1,1.115,2694102
BPT,09 Mar 2007,1.125,1.13,1.1,1.11,6117049
BPT,08 Mar 2007,1.145,1.15,1.115,1.115,4269630
BPT,07 Mar 2007,1.165,1.175,1.135,1.135,2681830
BPT,06 Mar 2007,1.1,1.15,1.085,1.15,4469684
BPT,05 Mar 2007,1.145,1.15,1.105,1.11,6154249
BPT,02 Mar 2007,1.165,1.17,1.15,1.15,4937919
