Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
CCL,07 Mar 2006,7.11,7.17,7.1,7.13,2556906
CCL,08 Mar 2006,7.1,7.16,7.09,7.12,1858794
CCL,09 Mar 2006,7.1,7.28,7.1,7.25,7882235
CCL,10 Mar 2006,7.24,7.32,7.22,7.3,1213238
CCL,13 Mar 2006,7.39,7.4,7.26,7.35,1586017
CCL,14 Mar 2006,7.38,7.38,7.29,7.29,4937132
CCL,15 Mar 2006,7.39,7.39,7.3,7.38,3475578
CCL,16 Mar 2006,7.44,7.44,7.34,7.39,3755203
CCL,17 Mar 2006,7.35,7.38,7.34,7.37,1963408
CCL,20 Mar 2006,7.38,7.41,7.34,7.41,3572636
CCL,21 Mar 2006,7.38,7.44,7.38,7.39,1473108
CCL,22 Mar 2006,7.4,7.43,7.33,7.34,3656338
CCL,23 Mar 2006,7.34,7.39,7.32,7.32,5136699
CCL,16 Jan 2007,7.74,7.74,7.67,7.7,1020430
CCL,04 Dec 2006,7.26,7.32,7.22,7.28,1883102
CCL,13 Nov 2006,7.4,7.45,7.21,7.26,1939051
CCL,25 Oct 2006,6.71,6.75,6.71,6.75,1379377
CCL,24 Oct 2006,6.8,6.86,6.74,6.77,1990762
CCL,09 Oct 2006,6.8,6.8,6.69,6.74,971792
CCL,28 Sep 2006,6.69,6.69,6.64,6.65,2490503
CCL,21 Sep 2006,6.55,6.65,6.53,6.59,5888483
CCL,20 Sep 2006,6.59,6.59,6.49,6.52,2579089
CCL,18 Sep 2006,6.58,6.68,6.58,6.65,2515015
CCL,15 Sep 2006,6.45,6.57,6.45,6.56,5019516
CCL,12 Sep 2006,6.39,6.5,6.39,6.45,1920484
CCL,30 Aug 2006,6.45,6.55,6.45,6.53,2113027
CCL,14 Aug 2006,6.1,6.18,6.06,6.15,4468819
CCL,11 Aug 2006,6,6.1,5.89,6.04,8010545
CCL,10 Aug 2006,6.1,6.27,6.01,6.01,13233142
CCL,09 Aug 2006,6.78,6.78,6.58,6.58,5374015
CCL,03 Aug 2006,6.78,6.78,6.67,6.77,5558529
CCL,26 Jul 2006,6.83,6.83,6.73,6.81,2396045
CCL,25 Jul 2006,6.96,6.96,6.79,6.81,2633677
CCL,14 Jul 2006,7,7.05,6.9,6.96,1501343
CCL,13 Jul 2006,7.1,7.12,7.02,7.03,2499949
CCL,12 Jul 2006,7.15,7.2,7.07,7.15,1801930
CCL,11 Jul 2006,7.17,7.17,7.02,7.06,1879561
CCL,05 Jul 2006,7.24,7.26,7.15,7.15,2628730
CCL,04 Jul 2006,7.2,7.23,7.14,7.16,2110370
CCL,03 Jul 2006,7.15,7.18,7.06,7.15,1773739
CCL,29 Jun 2006,7.05,7.07,7,7.03,1681476
CCL,26 Jun 2006,7.01,7.06,6.98,7,2317317
CCL,23 Jun 2006,7,7.13,6.99,7.01,1516096
CCL,21 Jun 2006,7.02,7.16,7.01,7.08,1938429
CCL,20 Jun 2006,6.99,7.1,6.98,7.07,2413663
CCL,16 Jun 2006,7.04,7.08,6.96,7.08,1351616
CCL,15 Jun 2006,7.1,7.1,6.92,6.94,3843950
CCL,13 Jun 2006,7.08,7.1,7,7.05,1614085
CCL,08 Jun 2006,7.2,7.22,7.02,7.07,3695657
CCL,07 Jun 2006,7.17,7.21,7.16,7.16,2650426
CCL,06 Jun 2006,7.14,7.24,7.14,7.17,6509608
CCL,05 Jun 2006,7.15,7.2,7.1,7.2,1340510
CCL,02 Jun 2006,7.14,7.2,7.11,7.2,4525701
CCL,31 May 2006,6.97,7.02,6.95,7,3192724
CCL,30 May 2006,7.04,7.09,7.02,7.07,2534588
CCL,29 May 2006,7.06,7.07,7,7.04,1304552
CCL,26 May 2006,7.07,7.07,7,7.05,2117047
CCL,23 May 2006,6.89,7,6.85,6.96,2127707
CCL,22 May 2006,6.96,6.96,6.85,6.9,2530607
CCL,19 May 2006,6.87,6.95,6.87,6.92,2663089
CCL,18 May 2006,6.92,6.92,6.8,6.85,1659447
CCL,17 May 2006,6.86,6.96,6.82,6.96,2658325
CCL,16 May 2006,6.82,6.88,6.81,6.81,2038702
CCL,15 May 2006,6.85,6.85,6.72,6.76,2765287
CCL,12 May 2006,6.85,6.87,6.82,6.83,4974901
CCL,11 May 2006,6.9,6.93,6.83,6.83,7545239
CCL,10 May 2006,6.87,6.88,6.85,6.85,3704814
CCL,09 May 2006,6.86,6.91,6.84,6.87,7237344
CCL,08 May 2006,6.86,6.91,6.82,6.84,12060433
CCL,05 May 2006,6.85,6.88,6.79,6.82,8499452
CCL,04 May 2006,6.83,6.93,6.77,6.77,18302303
CCL,03 May 2006,7.36,7.43,7.02,7.05,7766299
CCL,02 May 2006,7.32,7.34,7.23,7.3,2357748
CCL,01 May 2006,7.31,7.37,7.28,7.35,1784020
CCL,28 Apr 2006,7.28,7.31,7.23,7.28,3470618
CCL,27 Apr 2006,7.24,7.28,7.19,7.26,5140649
CCL,26 Apr 2006,7.2,7.22,7.16,7.16,5638223
CCL,24 Apr 2006,7.24,7.25,7.16,7.18,3899187
CCL,21 Apr 2006,7.33,7.33,7.23,7.29,4360839
CCL,20 Apr 2006,7.29,7.38,7.28,7.36,9333164
CCL,19 Apr 2006,7.13,7.21,7.12,7.2,6001810
CCL,18 Apr 2006,7.25,7.28,7.16,7.18,3637302
CCL,13 Apr 2006,7.29,7.32,7.25,7.26,2205917
CCL,12 Apr 2006,7.39,7.39,7.25,7.28,3971987
CCL,11 Apr 2006,7.58,7.61,7.4,7.42,3979660
CCL,10 Apr 2006,7.7,7.71,7.57,7.58,1719912
CCL,07 Apr 2006,7.65,7.73,7.55,7.73,4026496
CCL,06 Apr 2006,7.56,7.64,7.51,7.64,3567201
CCL,03 Apr 2006,7.28,7.44,7.25,7.39,1696399
CCL,31 Mar 2006,7.31,7.34,7.23,7.23,2141010
CCL,29 Mar 2006,7.21,7.3,7.21,7.25,1510903
CCL,28 Mar 2006,7.26,7.3,7.23,7.25,3550863
CCL,27 Mar 2006,7.21,7.3,7.21,7.29,3808708
CCL,24 Mar 2006,7.32,7.32,7.21,7.21,2920565
CCL,18 Jul 2007,9.48,9.48,9.34,9.38,3249707
CCL,17 Jul 2007,9.45,9.49,9.38,9.38,1050809
CCL,27 Jun 2007,9.25,9.27,8.99,8.99,4823385
CCL,26 Jun 2007,9.44,9.45,9.17,9.27,2471293
CCL,01 Jun 2007,9.45,9.45,9.3,9.35,1194280
CCL,20 Apr 2007,9.3,9.3,9.11,9.15,1526581
CCL,10 Apr 2007,8.92,9.2,8.83,9.19,3315826
CCL,28 Mar 2007,8.73,8.83,8.62,8.66,2602079
CCL,26 Mar 2007,8.94,8.95,8.78,8.82,2154144
CCL,23 Mar 2007,8.88,8.97,8.83,8.87,1511010
CCL,22 Mar 2007,8.7,8.85,8.64,8.84,1372057
CCL,21 Mar 2007,8.8,8.84,8.52,8.55,1001481
CCL,20 Mar 2007,8.69,8.79,8.67,8.76,2177785
CCL,19 Mar 2007,8.76,8.76,8.56,8.57,1916608
CCL,14 Mar 2007,8.42,8.46,8.18,8.35,2369365
CCL,12 Mar 2007,8.54,8.86,8.41,8.86,2045001
CCL,07 Mar 2007,8.28,8.6,8.23,8.42,4530442
CCL,05 Mar 2007,8.47,8.5,8.25,8.26,1881392
CCL,02 Mar 2007,8.45,8.58,8.41,8.47,3474714
CCL,27 Feb 2007,8.6,8.64,8.34,8.42,2361154
CCL,26 Feb 2007,8.59,8.6,8.47,8.57,2505717
CCL,23 Feb 2007,8.4,8.76,8.39,8.6,5045622
CCL,22 Feb 2007,8.4,8.43,8.27,8.32,2057114
CCL,21 Feb 2007,8.29,8.4,8.25,8.4,2886313
CCL,13 Feb 2007,7.8,7.9,7.78,7.88,2957730
CCL,07 Feb 2007,8.03,8.04,7.88,7.88,1192934
CCL,06 Feb 2007,7.91,8.03,7.88,7.95,2093732
CCL,05 Feb 2007,7.83,7.88,7.78,7.87,1684552
CCL,02 Feb 2007,7.83,7.84,7.72,7.79,1034607
CCL,01 Feb 2007,7.86,7.92,7.81,7.84,2292594
CCL,25 Jan 2007,7.85,7.97,7.85,7.92,3622647
CCL,22 Jan 2007,7.93,7.95,7.87,7.92,1607027
CCL,19 Jan 2007,7.69,7.8,7.66,7.78,1099510
CCL,15 Jan 2007,7.8,7.8,7.65,7.72,672117
CCL,12 Jan 2007,7.63,7.81,7.61,7.75,1039757
CCL,11 Jan 2007,7.65,7.67,7.56,7.6,1122108
CCL,10 Jan 2007,7.65,7.8,7.64,7.67,947916
CCL,09 Jan 2007,7.72,7.81,7.71,7.72,1904052
CCL,05 Jan 2007,7.82,8.04,7.79,7.9,2689292
CCL,04 Jan 2007,7.71,7.86,7.71,7.82,2184809
CCL,03 Jan 2007,7.8,7.8,7.71,7.72,603550
CCL,22 Dec 2006,7.65,7.74,7.64,7.73,2737361
