Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
COH,07 Mar 2006,46.52,47.39,46.52,47.01,159982
COH,08 Mar 2006,46.5,47.57,46.5,47.21,227745
COH,09 Mar 2006,47.15,47.49,46.6,46.95,203949
COH,20 Apr 2006,52.99,52.99,52.06,52.15,200448
COH,20 Aug 2007,63,65.79,63,64.5,425201
COH,17 Aug 2007,63.05,63.09,60.51,62.5,287548
COH,16 Aug 2007,63,63,59.88,62.34,372436
COH,14 Aug 2007,62,65,62,63.25,300848
COH,08 Aug 2007,60.94,61.73,60.1,61.65,210659
COH,06 Aug 2007,60.58,61,59.85,60.73,131790
COH,03 Aug 2007,60.98,61.49,60.63,61.27,176296
COH,25 Jul 2007,65.16,65.54,64.56,64.89,176562
COH,23 Jul 2007,64.5,64.52,63.26,63.31,142317
COH,20 Jul 2007,63.9,64.75,63.87,64.75,179704
COH,18 Jul 2007,60.8,61.45,60.1,60.9,442858
COH,13 Jul 2007,60.9,61.49,60.75,60.75,189631
COH,06 Jul 2007,62.5,62.75,62,62.55,161747
COH,05 Jul 2007,61.06,62.8,61.06,62.67,253190
COH,04 Jul 2007,61.25,62.03,61.25,61.5,119422
COH,26 Jun 2007,60.44,60.9,60.32,60.61,101003
COH,25 Jun 2007,60.48,60.63,60.01,60.02,177508
COH,22 Jun 2007,61.6,61.73,60.19,60.5,282120
COH,19 Jun 2007,61.58,62.15,60.81,60.81,229176
COH,18 Jun 2007,60.48,61.94,60.24,61.74,199396
COH,13 Jun 2007,58.49,58.67,57.67,58.2,207905
COH,07 Jun 2007,60,61.07,59.61,60.97,166851
COH,06 Jun 2007,61.08,61.33,60.25,61.2,201544
COH,04 Jun 2007,61.85,63.08,61.68,63.08,89584
COH,01 Jun 2007,62.9,62.9,61.51,61.85,88216
COH,31 May 2007,62.5,63.45,62.22,62.22,135993
COH,30 May 2007,62.5,62.7,61.08,61.61,123835
COH,28 May 2007,62.19,62.25,61.68,61.99,64455
COH,25 May 2007,61.29,62.34,61.29,62.19,87794
COH,24 May 2007,61.7,62.47,61.49,62.05,121737
COH,21 May 2007,63,63.45,62.51,62.9,122222
COH,17 May 2007,63.8,64.74,62.9,63,220647
COH,16 May 2007,63.95,64.12,63.07,63.3,98870
COH,15 May 2007,65.04,65.04,64.12,64.68,96458
COH,11 May 2007,63.79,64.56,63.21,63.8,393063
COH,10 May 2007,63.68,63.95,63.46,63.95,774773
COH,09 May 2007,62.5,63.75,62.5,63.21,134172
COH,08 May 2007,63.79,64.02,62.45,62.74,129951
COH,07 May 2007,64.45,64.8,63.7,64.09,52598
COH,03 May 2007,64.55,64.8,64.09,64.45,158447
COH,02 May 2007,63.6,65.45,63.6,64.29,295008
COH,01 May 2007,63.5,63.54,63,63.11,223346
COH,30 Apr 2007,63,63.75,63,63.45,235062
COH,27 Apr 2007,63,63,62.23,62.6,148574
COH,24 Apr 2007,62.5,62.5,61.6,61.73,254718
COH,23 Apr 2007,62.25,62.7,61.99,62.61,168752
COH,20 Apr 2007,61.69,61.77,61.14,61.77,131724
COH,19 Apr 2007,61.9,62,60.54,61,346836
COH,18 Apr 2007,61.98,62.5,61.92,62.15,158580
COH,17 Apr 2007,62.5,62.5,61.95,61.96,149335
COH,16 Apr 2007,62.37,62.76,62.3,62.38,132286
COH,13 Apr 2007,62.25,62.7,61.73,62.42,180284
COH,12 Apr 2007,61.65,61.91,61.48,61.75,157613
COH,11 Apr 2007,62.95,62.95,62.1,62.14,247144
COH,10 Apr 2007,64.2,64.2,62.96,63.18,215235
COH,05 Apr 2007,64,64,63.57,63.75,86200
COH,04 Apr 2007,63.75,64.65,63.75,64.49,459400
COH,03 Apr 2007,63.12,63.89,62.5,63.68,271523
COH,02 Apr 2007,64.52,64.52,62.99,62.99,101110
COH,30 Mar 2007,63.8,64.72,63.54,64.72,217520
COH,29 Mar 2007,62.4,63.49,62.1,63.42,48223
COH,27 Mar 2007,63.2,63.3,62.52,62.52,357481
COH,26 Mar 2007,63,63.86,62.99,63.2,102984
COH,23 Mar 2007,63.78,63.8,62.38,62.57,143055
