Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
CSL,07 Mar 2006,52.1,53.25,52.07,53.25,435466
CSL,08 Mar 2006,52.75,54.99,52.75,54.8,609157
CSL,09 Mar 2006,54.7,54.73,53.55,54.48,455497
CSL,30 Apr 2007,87.98,87.98,86.26,87.28,433558
CSL,06 Aug 2007,86,86.42,85.19,85.93,396619
CSL,26 Jun 2007,90.38,90.6,89.12,90.17,379216
CSL,25 Jun 2007,91.49,91.49,90,90.39,619083
CSL,31 May 2007,89.49,90.43,88.5,89.18,1122377
CSL,25 May 2007,90.99,91.82,89.7,90,1593045
CSL,16 May 2007,91,91.49,90.4,90.94,226961
CSL,10 May 2007,89.81,91.45,89.6,90.7,472172
CSL,09 May 2007,89.59,89.94,89.02,89.45,399871
CSL,08 May 2007,90,90.05,88.22,89,398109
CSL,02 May 2007,87.92,88.46,87.02,88.46,511679
CSL,01 May 2007,86.92,87.28,85.82,87.01,416948
CSL,27 Apr 2007,88.6,88.69,86.93,87.14,1101475
CSL,24 Apr 2007,86.2,87.6,86.15,87.5,737407
CSL,11 Sep 2007,33.33,101.69,99.22,101.4,501816
CSL,23 Apr 2007,86,87.41,85.92,86.41,748477
CSL,17 Apr 2007,86.05,86.44,84.56,85.53,616265
CSL,16 Apr 2007,86.31,86.95,85.15,86.3,512266
CSL,13 Apr 2007,83.94,86.59,83.94,86.24,541260
CSL,12 Apr 2007,84.55,84.73,83.23,83.52,315937
CSL,11 Apr 2007,85.8,85.84,84.64,84.64,320053
CSL,10 Apr 2007,85.89,86.43,84.5,85.99,372193
CSL,05 Apr 2007,86.12,86.48,85.73,85.9,571614
CSL,04 Apr 2007,85.2,85.6,84.5,85.49,877519
CSL,03 Apr 2007,82.3,84.37,82,83.5,552931
CSL,02 Apr 2007,82.5,82.59,81.33,81.35,436393
CSL,30 Mar 2007,83,83,82.02,82.37,634304
CSL,29 Mar 2007,82.79,83.3,82.61,83,390568
CSL,28 Mar 2007,84,84.25,83.05,83.21,499575
CSL,27 Mar 2007,84.5,85.25,84.06,84.06,460562
CSL,23 Mar 2007,83.1,84.37,83.1,83.65,1047817
CSL,22 Mar 2007,80.5,83.3,80.5,83,683516
CSL,21 Mar 2007,79.1,80.1,79.05,79.75,526202
CSL,20 Mar 2007,79.5,79.65,78.77,79.18,295047
CSL,19 Mar 2007,78.7,79.57,78.51,78.9,366912
CSL,16 Mar 2007,79.61,80,78.68,79.28,343380
CSL,14 Mar 2007,78,78.92,78,78.25,1269252
CSL,13 Mar 2007,79.9,80,78.81,79.73,367888
CSL,12 Mar 2007,79.5,80.18,78.67,80,677547
CSL,08 Mar 2007,77.6,77.98,76.57,77.25,913688
CSL,07 Mar 2007,78,78.3,77.31,78.2,477582
CSL,06 Mar 2007,74.83,76.36,74.2,76.36,518397
CSL,05 Mar 2007,76.5,76.8,74.83,75.42,607320
CSL,02 Mar 2007,77.4,78.15,76.9,77.25,651431
CSL,01 Mar 2007,78.01,78.89,76.7,77.2,3569753
CSL,28 Feb 2007,77,78.21,75.9,77.65,1251448
CSL,27 Feb 2007,79.6,80.59,79.3,79.46,567756
CSL,26 Feb 2007,77.5,79.73,77.5,79.73,723381
CSL,23 Feb 2007,77.8,78.25,77.4,78.05,2931262
CSL,22 Feb 2007,77.62,77.9,77.42,77.84,1333242
CSL,21 Feb 2007,77,78,76.77,77.42,1594697
CSL,20 Feb 2007,70.14,70.49,70,70.11,514142
CSL,19 Feb 2007,71.3,71.45,70.2,70.58,817650
CSL,16 Feb 2007,71.01,71.08,70.4,71.01,391653
CSL,15 Feb 2007,71,71.3,70.07,71.3,720994
CSL,14 Feb 2007,70.5,71.14,70.16,71.05,759476
CSL,13 Feb 2007,71.15,71.16,70.25,70.36,657915
CSL,12 Feb 2007,71.16,71.7,70.86,71.7,293968
CSL,09 Feb 2007,71.68,71.75,70.61,71.38,598742
CSL,08 Feb 2007,72.06,72.6,71.49,72.17,653794
CSL,07 Feb 2007,72.2,73.19,71.86,72.2,643698
CSL,06 Feb 2007,71.22,71.74,70.72,71.7,517566
CSL,05 Feb 2007,70,70.8,69.66,70.36,237628
CSL,02 Feb 2007,70,71.39,69.99,70.5,683709
CSL,01 Feb 2007,69,69.75,68.35,68.7,851544
CSL,31 Jan 2007,70.6,71,69.43,69.43,689504
CSL,30 Jan 2007,69.95,70.89,69.95,70.55,308372
CSL,25 Jan 2007,68.67,70.25,68.32,70.1,1126318
CSL,23 Jan 2007,67.24,68.2,67,68.15,555135
CSL,22 Jan 2007,67.35,67.47,66.8,67.43,875971
CSL,18 Jan 2007,65.46,66.2,65.42,66.2,465867
CSL,17 Jan 2007,65.31,66.01,64.94,65.25,442581
CSL,16 Jan 2007,64.8,66.03,64.8,65.2,449839
CSL,15 Jan 2007,63.95,65,63.95,64.96,237789
CSL,12 Jan 2007,64.49,64.49,63.5,64.15,502132
CSL,11 Jan 2007,63.18,64,63.12,63.7,314505
CSL,10 Jan 2007,63.86,64.65,63.52,63.52,649945
CSL,09 Jan 2007,63.01,64.28,62.82,63.63,734859
CSL,08 Jan 2007,63,63.64,62.3,62.3,478886
CSL,05 Jan 2007,65.8,65.95,64.03,64.08,428809
CSL,04 Jan 2007,65.52,66.15,65.35,65.35,963417
CSL,03 Jan 2007,65.47,66.29,65.47,65.8,271561
CSL,02 Jan 2007,65.02,65.54,65.02,65.41,190722
CSL,29 Dec 2006,64.5,65.38,64.5,65.37,91277
CSL,28 Dec 2006,64.9,65.25,64.51,65.25,150912
CSL,27 Dec 2006,64.71,65.28,64.69,64.9,207019
CSL,22 Dec 2006,64.32,64.9,64.23,64.43,1417699
CSL,21 Dec 2006,65.2,65.2,64.25,64.4,1213551
CSL,20 Dec 2006,65.2,65.3,64.81,64.88,694137
CSL,19 Dec 2006,65.45,65.55,64.41,64.69,631486
CSL,18 Dec 2006,64,65.65,64,65.3,779627
CSL,15 Dec 2006,64.35,65.2,63.8,64,1006541
