Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
CTX,07 Mar 2006,17.64,17.88,17.44,17.86,1343756
CTX,08 Mar 2006,17.7,18.2,17.7,18.01,2898420
CTX,09 Mar 2006,18,18,17.77,17.8,856497
CTX,01 May 2006,20.22,20.5,20.22,20.35,442203
CTX,23 Nov 2006,21.77,21.77,21.07,21.11,717868
CTX,30 Apr 2007,24.1,24.35,24.01,24.24,1051548
CTX,10 May 2007,25.3,25.9,25.23,25.4,884996
CTX,16 Aug 2007,21.6,21.86,20,21.27,953863
CTX,09 Aug 2007,23.24,23.6,22.91,23.09,1189952
CTX,07 Aug 2007,23.77,23.8,23.29,23.29,498792
CTX,06 Aug 2007,23.67,23.69,23.05,23.1,348485
CTX,01 Aug 2007,24.89,24.97,23.71,23.8,669731
CTX,26 Jul 2007,24.94,25.25,24.82,24.99,1249245
CTX,25 Jul 2007,24.5,24.92,24.21,24.68,417220
CTX,23 Jul 2007,23.99,24.25,23.75,24.17,637284
CTX,19 Jul 2007,23.94,23.94,23.64,23.7,854290
CTX,18 Jul 2007,24.35,24.4,23.63,23.7,1495885
CTX,11 Sep 2007,23.88,24.11,23.81,24,446105
CTX,17 Jul 2007,24.26,24.67,24.26,24.36,1512582
CTX,13 Jul 2007,24.99,25,24.67,24.72,742074
CTX,11 Jul 2007,24.2,24.38,24.2,24.21,670405
CTX,10 Jul 2007,24.76,24.83,24.15,24.33,1030426
CTX,09 Jul 2007,24.84,25.11,24.65,24.91,1034697
CTX,06 Jul 2007,24.25,24.65,24.24,24.65,781262
CTX,05 Jul 2007,23.98,24.38,23.97,24.35,1072979
CTX,04 Jul 2007,24,24.09,23.85,23.87,838104
CTX,02 Jul 2007,24,24.32,23.81,24.1,909728
CTX,28 Jun 2007,24.4,24.55,23.15,23.5,1946730
CTX,27 Jun 2007,25,25.01,24.03,24.03,1486589
CTX,26 Jun 2007,25.25,25.48,24.94,25.12,779831
CTX,25 Jun 2007,25.1,25.7,25.06,25.19,1021291
CTX,21 Jun 2007,27.6,28.06,27.32,28,1396025
CTX,20 Jun 2007,27.34,27.92,26.96,27.55,627483
CTX,19 Jun 2007,27.4,27.89,27.4,27.65,790796
CTX,18 Jun 2007,26.5,27.85,26.5,27.45,723143
CTX,15 Jun 2007,27,27.25,26.41,26.49,706984
CTX,14 Jun 2007,26.47,26.8,26.14,26.8,438058
CTX,12 Jun 2007,25.5,26.35,25.5,26.26,552480
CTX,06 Jun 2007,26.54,26.92,25.65,26.45,795233
CTX,05 Jun 2007,27.25,27.49,26.42,26.5,867759
CTX,04 Jun 2007,26.25,26.45,26.11,26.4,565168
CTX,01 Jun 2007,25.85,26.13,25.72,26.1,917562
CTX,30 May 2007,26,26.19,25.35,25.5,756783
CTX,29 May 2007,26.07,26.25,25.94,25.99,990703
CTX,28 May 2007,26.4,26.62,26.01,26.12,1131124
CTX,25 May 2007,26.11,26.5,26.09,26.35,1048827
CTX,23 May 2007,25.82,26.35,25.82,26.15,1416273
CTX,22 May 2007,25.87,26.16,25.6,25.68,1300446
CTX,21 May 2007,26.11,26.24,25.48,25.77,2096120
CTX,18 May 2007,26.2,26.35,25.48,25.8,1114847
CTX,16 May 2007,25.2,25.67,25.15,25.45,1451472
CTX,14 May 2007,25.25,25.35,25.07,25.2,279105
CTX,11 May 2007,25,25.11,24.66,24.81,564829
CTX,08 May 2007,24.44,24.44,24.22,24.35,400126
CTX,07 May 2007,24.15,24.44,23.99,24.43,594347
CTX,04 May 2007,24.22,24.38,24.1,24.15,154959
CTX,03 Nov 2007,21.06,21.2,20.91,21.2,813415
CTX,03 May 2007,24.4,24.44,24.1,24.22,645285
CTX,01 May 2007,24.19,24.45,24.19,24.38,685378
CTX,27 Apr 2007,24.4,24.42,24.1,24.1,725008
CTX,26 Apr 2007,24.49,24.49,24.27,24.37,464100
CTX,23 Apr 2007,24.08,24.33,24.05,24.2,467276
CTX,19 Apr 2007,24.6,24.6,23.96,24.02,458182
CTX,18 Apr 2007,23.75,24.6,23.75,24.5,530188
CTX,17 Apr 2007,24.69,24.7,23.76,23.91,864732
CTX,16 Apr 2007,23.99,24.79,23.95,24.69,578803
CTX,13 Apr 2007,23.93,24.06,23.74,23.75,271394
CTX,12 Apr 2007,23.63,24.03,23.57,23.9,656014
CTX,11 Apr 2007,23.8,23.83,23.4,23.5,679161
CTX,10 Apr 2007,24.02,24.08,23.66,23.83,539133
CTX,05 Apr 2007,24.3,24.32,23.91,24.12,672986
CTX,04 Apr 2007,24.39,24.4,24.13,24.4,1450860
CTX,03 Apr 2007,24,24.46,23.7,24.44,779265
CTX,02 Apr 2007,23.7,23.86,23.4,23.7,785714
CTX,30 Mar 2007,23.8,23.86,23.45,23.86,358413
CTX,29 Mar 2007,23.75,23.82,23.56,23.77,314601
CTX,28 Mar 2007,23.47,23.88,23.45,23.68,506068
CTX,27 Mar 2007,23.61,23.87,23.51,23.51,535301
CTX,26 Mar 2007,24.05,24.19,23.61,23.61,620221
CTX,04 Dec 2007,22.3,22.3,22.12,22.2,543505
CTX,23 Mar 2007,23.81,24.25,23.81,24.05,876001
