Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
DFM,19 Oct 2015,1.06,1.25,1.06,1.25,67100
DFM,20 Oct 2015,1.26,1.26,1.19,1.2,42980
DFM,21 Oct 2015,1.2,1.235,1.2,1.235,62020
DFM,22 Oct 2015,1.205,1.22,1.19,1.22,67880
DFM,23 Oct 2015,1.215,1.22,1.215,1.22,30000
DFM,26 Oct 2015,1.24,1.25,1.23,1.25,31140
DFM,27 Oct 2015,1.27,1.4,1.25,1.4,37500
DFM,28 Oct 2015,1.4,1.4,1.32,1.35,105069
DFM,29 Oct 2015,1.3,1.305,1.29,1.3,103973
DFM,30 Oct 2015,1.26,1.3,1.26,1.3,154827
DFM,31 Oct 2015,1.26,1.3,1.26,1.3,154827
DFM,02 Nov 2015,1.28,1.345,1.22,1.345,120623
DFM,03 Nov 2015,1.35,1.36,1.35,1.36,42450
DFM,04 Nov 2015,1.4,1.42,1.39,1.4,94000
DFM,05 Nov 2015,1.435,1.445,1.435,1.445,44450
DFM,06 Nov 2015,1.45,1.45,1.35,1.4,13376
DFM,09 Nov 2015,1.315,1.33,1.3,1.33,49154
DFM,10 Nov 2015,1.295,1.33,1.295,1.33,42987
DFM,11 Nov 2015,1.335,1.34,1.335,1.34,11763
DFM,12 Nov 2015,1.34,1.345,1.34,1.345,2500
DFM,13 Nov 2015,1.34,1.35,1.34,1.35,2500
DFM,16 Nov 2015,1.36,1.36,1.35,1.35,2000
DFM,17 Nov 2015,1.36,1.36,1.34,1.35,6000
DFM,18 Nov 2015,1.35,1.35,1.35,1.35,503
DFM,19 Nov 2015,1.345,1.37,1.345,1.37,19250
DFM,20 Nov 2015,1.34,1.37,1.34,1.37,22000
DFM,23 Nov 2015,1.35,1.38,1.35,1.38,5500
DFM,24 Nov 2015,1.385,1.4,1.37,1.4,23050
DFM,25 Nov 2015,1.4,1.42,1.4,1.42,22790
DFM,26 Nov 2015,1.42,1.42,1.4,1.4,15034
DFM,27 Nov 2015,1.4,1.4,1.39,1.39,2966
DFM,30 Nov 2015,1.4,1.4,1.31,1.31,3419
DFM,01 Dec 2015,1.33,1.34,1.32,1.34,3286
DFM,02 Dec 2015,1.39,1.39,1.39,1.39,2821
DFM,03 Dec 2015,1.34,1.34,1.32,1.32,3000
DFM,04 Dec 2015,1.31,1.31,1.31,1.31,9079
DFM,07 Dec 2015,1.31,1.31,1.31,1.31,2800
DFM,08 Dec 2015,1.32,1.32,1.32,1.32,730
DFM,09 Dec 2015,1.35,1.35,1.33,1.33,15000
DFM,10 Dec 2015,1.35,1.35,1.34,1.34,20000
DFM,11 Dec 2015,1.35,1.35,1.33,1.33,26000
DFM,14 Dec 2015,1.35,1.36,1.32,1.32,100335
DFM,15 Dec 2015,1.34,1.35,1.31,1.31,105720
DFM,16 Dec 2015,1.34,1.34,1.31,1.31,94000
DFM,17 Dec 2015,1.32,1.36,1.31,1.31,104920
DFM,18 Dec 2015,1.3,1.33,1.25,1.31,90305
DFM,21 Dec 2015,1.32,1.34,1.31,1.31,111520
DFM,22 Dec 2015,1.35,1.35,1.3,1.3,99589
DFM,23 Dec 2015,1.31,1.31,1.28,1.29,100500
DFM,24 Dec 2015,1.32,1.32,1.32,1.32,8680
DFM,29 Dec 2015,1.32,1.32,1.25,1.28,53600
DFM,30 Dec 2015,1.3,1.3,1.25,1.26,104450
DFM,31 Dec 2015,1.265,1.265,1.26,1.26,1947
DFM,04 Jan 2016,1.26,1.26,1.24,1.25,101579
DFM,05 Jan 2016,1.25,1.265,1.25,1.25,33800
DFM,06 Jan 2016,1.25,1.25,1.25,1.25,20510
DFM,07 Jan 2016,1.25,1.28,1.24,1.28,10915
DFM,08 Jan 2016,1.28,1.29,1.28,1.29,17380
DFM,11 Jan 2016,1.27,1.275,1.27,1.275,4148
DFM,12 Jan 2016,1.27,1.28,1.27,1.28,34320
DFM,13 Jan 2016,1.27,1.29,1.27,1.285,10204
DFM,14 Jan 2016,1.29,1.29,1.25,1.25,1221598
DFM,15 Jan 2016,1.25,1.25,1.25,1.25,18020
DFM,18 Jan 2016,1.26,1.26,1.26,1.26,6066
DFM,19 Jan 2016,1.27,1.27,1.26,1.26,23365
DFM,20 Jan 2016,1.26,1.27,1.26,1.27,23013
DFM,21 Jan 2016,1.29,1.3,1.29,1.3,34205
DFM,22 Jan 2016,1.27,1.28,1.27,1.28,23881
DFM,25 Jan 2016,1.28,1.35,1.28,1.34,11267
DFM,27 Jan 2016,1.34,1.35,1.33,1.35,67333
DFM,28 Jan 2016,1.345,1.35,1.34,1.35,59921
DFM,29 Jan 2016,1.38,1.38,1.35,1.35,32931
DFM,01 Feb 2016,1.35,1.36,1.35,1.36,19309
DFM,02 Feb 2016,1.36,1.36,1.36,1.36,41660
DFM,03 Feb 2016,1.37,1.37,1.37,1.37,12488
DFM,04 Feb 2016,1.37,1.385,1.37,1.385,22350
DFM,05 Feb 2016,1.385,1.39,1.385,1.39,21317
DFM,08 Feb 2016,1.39,1.4,1.39,1.4,20550
DFM,09 Feb 2016,1.4,1.45,1.4,1.45,39714
DFM,10 Feb 2016,1.44,1.45,1.44,1.45,7111
DFM,11 Feb 2016,1.45,1.45,1.45,1.45,6000
DFM,12 Feb 2016,1.45,1.45,1.45,1.45,361
DFM,15 Feb 2016,1.45,1.49,1.45,1.49,20545
DFM,16 Feb 2016,1.49,1.6,1.49,1.6,20000
DFM,17 Feb 2016,1.6,1.65,1.6,1.65,24719
DFM,18 Feb 2016,1.655,1.655,1.65,1.65,27356
DFM,19 Feb 2016,1.6,1.65,1.6,1.65,20500
DFM,22 Feb 2016,1.7,1.7,1.63,1.68,24317
DFM,23 Feb 2016,1.68,1.68,1.68,1.68,31570
DFM,24 Feb 2016,1.705,1.705,1.63,1.63,20580
DFM,25 Feb 2016,1.68,1.68,1.6,1.63,21536
DFM,26 Feb 2016,1.6,1.63,1.6,1.63,16516
DFM,29 Feb 2016,1.63,1.63,1.6,1.6,24925
DFM,01 Mar 2016,1.6,1.6,1.55,1.56,18556
DFM,02 Mar 2016,1.55,1.555,1.55,1.55,17850
DFM,03 Mar 2016,1.555,1.56,1.55,1.55,21372
DFM,04 Mar 2016,1.56,1.6,1.56,1.57,7623
DFM,07 Mar 2016,1.57,1.57,1.56,1.565,32095
