Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
DXS,25 Feb 2008,1.68,1.68,1.565,1.575,6217900
DXS,26 Feb 2008,1.66,1.685,1.635,1.65,6978268
DXS,27 Feb 2008,1.7,1.72,1.645,1.7,8310339
DXS,28 Feb 2008,1.695,1.72,1.66,1.695,8115755
DXS,29 Feb 2008,1.68,1.7,1.59,1.675,10067235
DXS,03 Mar 2008,1.64,1.64,1.55,1.56,4812099
DXS,04 Mar 2008,1.59,1.6,1.5,1.555,11789202
DXS,05 Mar 2008,1.605,1.72,1.565,1.59,18464229
DXS,06 Mar 2008,1.62,1.62,1.54,1.575,13780518
DXS,07 Mar 2008,1.55,1.575,1.405,1.48,14684566
DXS,10 Mar 2008,1.495,1.52,1.455,1.49,6128305
DXS,11 Mar 2008,1.49,1.51,1.45,1.51,12403322
DXS,12 Mar 2008,1.58,1.6,1.49,1.51,11290659
DXS,13 Mar 2008,1.525,1.535,1.43,1.5,7313717
DXS,14 Mar 2008,1.535,1.535,1.45,1.49,9384201
DXS,17 Mar 2008,1.475,1.475,1.31,1.33,13613699
DXS,18 Mar 2008,1.375,1.445,1.37,1.405,11686300
DXS,19 Mar 2008,1.46,1.49,1.44,1.47,24260166
DXS,20 Mar 2008,1.44,1.46,1.395,1.425,38237948
DXS,25 Mar 2008,1.52,1.55,1.485,1.515,11759567
DXS,26 Mar 2008,1.57,1.59,1.545,1.58,10321823
DXS,27 Mar 2008,1.53,1.65,1.525,1.65,5281150
DXS,28 Mar 2008,1.665,1.67,1.59,1.63,12259635
DXS,31 Mar 2008,1.64,1.71,1.62,1.685,13856441
DXS,01 Apr 2008,1.73,1.73,1.65,1.67,3212128
DXS,02 Apr 2008,1.74,1.765,1.695,1.74,13042688
DXS,03 Apr 2008,1.75,1.76,1.67,1.68,17353711
DXS,04 Apr 2008,1.705,1.715,1.68,1.71,8064463
DXS,07 Apr 2008,1.665,1.73,1.665,1.715,8543917
DXS,08 Apr 2008,1.75,1.75,1.655,1.685,10708027
DXS,09 Apr 2008,1.725,1.725,1.56,1.58,8274398
DXS,10 Apr 2008,1.575,1.575,1.515,1.54,7277405
DXS,11 Apr 2008,1.55,1.565,1.48,1.55,4391110
DXS,14 Apr 2008,1.53,1.545,1.5,1.54,3234927
DXS,15 Apr 2008,1.54,1.595,1.525,1.575,7829847
DXS,16 Apr 2008,1.65,1.65,1.59,1.61,6426281
DXS,17 Apr 2008,1.67,1.67,1.595,1.61,5513052
DXS,18 Apr 2008,1.64,1.64,1.54,1.59,4194179
DXS,21 Apr 2008,1.64,1.64,1.6,1.62,5063279
DXS,22 Apr 2008,1.615,1.63,1.57,1.61,5774075
DXS,23 Apr 2008,1.62,1.635,1.605,1.63,11612993
DXS,24 Apr 2008,1.68,1.68,1.63,1.645,9595401
DXS,28 Apr 2008,1.725,1.725,1.655,1.69,8511844
DXS,29 Apr 2008,1.7,1.74,1.685,1.74,9927260
DXS,30 Apr 2008,1.75,1.765,1.715,1.765,10932194
DXS,01 May 2008,1.75,1.765,1.73,1.765,9682654
DXS,02 May 2008,1.8,1.82,1.78,1.805,6251095
DXS,05 May 2008,1.82,1.82,1.775,1.78,3131176
DXS,06 May 2008,1.745,1.755,1.705,1.735,4505859
DXS,07 May 2008,1.76,1.765,1.67,1.69,5978151
DXS,08 May 2008,1.665,1.705,1.66,1.69,11112574
DXS,09 May 2008,1.7,1.7,1.66,1.665,7354693
DXS,12 May 2008,1.695,1.7,1.66,1.69,5762187
DXS,13 May 2008,1.71,1.72,1.685,1.695,8939978
DXS,14 May 2008,1.71,1.725,1.69,1.7,4363561
DXS,15 May 2008,1.715,1.715,1.67,1.68,9323735
DXS,16 May 2008,1.705,1.705,1.64,1.66,5259808
DXS,19 May 2008,1.66,1.66,1.585,1.61,7625410
DXS,20 May 2008,1.63,1.64,1.6,1.62,4695476
DXS,21 May 2008,1.625,1.625,1.58,1.6,9238229
DXS,22 May 2008,1.58,1.61,1.565,1.585,10680419
DXS,23 May 2008,1.58,1.605,1.58,1.585,6821348
DXS,26 May 2008,1.58,1.58,1.54,1.55,7394247
DXS,27 May 2008,1.55,1.56,1.515,1.545,8489514
DXS,28 May 2008,1.58,1.585,1.52,1.54,5553009
DXS,29 May 2008,1.565,1.585,1.53,1.57,5695734
DXS,30 May 2008,1.59,1.62,1.555,1.58,12351184
DXS,02 Jun 2008,1.6,1.6,1.515,1.565,4419927
DXS,03 Jun 2008,1.58,1.58,1.56,1.57,17486352
DXS,04 Jun 2008,1.57,1.585,1.55,1.575,11976931
DXS,05 Jun 2008,1.58,1.585,1.555,1.565,7221151
DXS,06 Jun 2008,1.59,1.605,1.575,1.605,5021326
DXS,10 Jun 2008,1.55,1.575,1.515,1.535,15203297
DXS,11 Jun 2008,1.56,1.56,1.52,1.53,10205166
DXS,12 Jun 2008,1.53,1.53,1.5,1.5,10323193
DXS,13 Jun 2008,1.515,1.53,1.435,1.515,7207844
DXS,16 Jun 2008,1.54,1.555,1.515,1.54,7829558
DXS,17 Jun 2008,1.555,1.555,1.505,1.555,13322056
DXS,18 Jun 2008,1.57,1.59,1.535,1.575,16147754
DXS,19 Jun 2008,1.54,1.55,1.5,1.53,25253969
DXS,20 Jun 2008,1.53,1.54,1.49,1.535,10350505
DXS,23 Jun 2008,1.535,1.54,1.46,1.505,10721333
DXS,24 Jun 2008,1.46,1.47,1.38,1.45,22515545
DXS,25 Jun 2008,1.44,1.45,1.36,1.435,13740219
DXS,26 Jun 2008,1.42,1.46,1.39,1.45,15716001
DXS,27 Jun 2008,1.425,1.46,1.38,1.45,19890822
DXS,30 Jun 2008,1.465,1.465,1.38,1.38,17471854
DXS,01 Jul 2008,1.365,1.385,1.305,1.345,7959861
DXS,02 Jul 2008,1.365,1.405,1.34,1.39,24081170
DXS,03 Jul 2008,1.39,1.44,1.37,1.44,10554411
DXS,04 Jul 2008,1.42,1.44,1.37,1.395,8112077
DXS,07 Jul 2008,1.325,1.41,1.3,1.41,7647676
DXS,08 Jul 2008,1.43,1.43,1.315,1.32,13197546
DXS,09 Jul 2008,1.345,1.375,1.31,1.315,9959727
DXS,10 Jul 2008,1.27,1.275,1.175,1.21,19104783
DXS,11 Jul 2008,1.2,1.24,1.16,1.17,18708066
DXS,14 Jul 2008,1.17,1.185,1.125,1.16,12840692
DXS,15 Jul 2008,1.19,1.205,1.145,1.175,11085088
DXS,16 Jul 2008,1.17,1.21,1.135,1.14,17677915
DXS,17 Jul 2008,1.145,1.21,1.145,1.21,24960994
DXS,18 Jul 2008,1.23,1.28,1.21,1.27,8537211
DXS,21 Jul 2008,1.32,1.37,1.285,1.355,16656189
DXS,22 Jul 2008,1.27,1.315,1.265,1.315,7414812
DXS,23 Jul 2008,1.395,1.43,1.325,1.37,18652642
DXS,24 Jul 2008,1.44,1.49,1.39,1.44,6634732
DXS,25 Jul 2008,1.4,1.435,1.37,1.38,7253140
DXS,28 Jul 2008,1.395,1.44,1.345,1.38,4883806
DXS,29 Jul 2008,1.375,1.395,1.32,1.38,11498394
DXS,30 Jul 2008,1.39,1.405,1.375,1.395,9923148
DXS,31 Jul 2008,1.4,1.42,1.39,1.4,14897541
DXS,01 Aug 2008,1.395,1.43,1.38,1.425,5717092
DXS,04 Aug 2008,1.43,1.48,1.415,1.45,9664847
DXS,05 Aug 2008,1.45,1.54,1.41,1.54,17217135
DXS,06 Aug 2008,1.575,1.59,1.55,1.58,16880529
DXS,07 Aug 2008,1.57,1.57,1.48,1.54,18889495
DXS,08 Aug 2008,1.51,1.52,1.485,1.5,16390783
DXS,11 Aug 2008,1.5,1.53,1.49,1.52,11543312
DXS,12 Aug 2008,1.55,1.61,1.53,1.61,14656589
DXS,13 Aug 2008,1.57,1.585,1.515,1.515,12332026
DXS,14 Aug 2008,1.46,1.49,1.445,1.46,14083326
DXS,15 Aug 2008,1.41,1.5,1.41,1.5,15947949
DXS,18 Aug 2008,1.49,1.53,1.47,1.505,6782855
DXS,19 Aug 2008,1.505,1.505,1.45,1.455,9099616
DXS,20 Aug 2008,1.44,1.44,1.39,1.41,7807491
DXS,21 Aug 2008,1.385,1.41,1.36,1.39,11788320
DXS,22 Aug 2008,1.37,1.41,1.35,1.39,6468336
DXS,25 Aug 2008,1.425,1.48,1.39,1.41,9820551
DXS,26 Aug 2008,1.395,1.46,1.36,1.455,12275256
DXS,27 Aug 2008,1.48,1.51,1.475,1.49,17590327
DXS,28 Aug 2008,1.52,1.555,1.48,1.485,10310566
