Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
GNC,07 Mar 2006,11.65,11.65,11.5,11.5,983
GNC,08 Mar 2006,11.45,11.55,11.45,11.55,12492
GNC,09 Mar 2006,11.5,11.55,11.5,11.55,820
GNC,10 Mar 2006,11.31,11.55,11.31,11.55,1165
GNC,13 Mar 2006,11.5,11.6,11.45,11.6,19525
GNC,14 Mar 2006,11.6,11.7,11.46,11.7,21313
GNC,15 Mar 2006,11.47,11.6,11.47,11.5,9820
GNC,16 Mar 2006,11.5,11.55,11.5,11.5,9487
GNC,17 Mar 2006,11.5,11.51,11.5,11.5,6616
GNC,20 Mar 2006,11.5,11.55,11.27,11.55,7258
GNC,21 Mar 2006,11.45,11.45,11.26,11.45,6703
GNC,22 Mar 2006,11.26,11.3,11.2,11.2,8641
GNC,23 Mar 2006,11.2,11.25,11.2,11.2,8276
GNC,24 Mar 2006,11.17,11.17,11,11,2150
GNC,27 Mar 2006,11,11,11,11,2595
GNC,27 Apr 2006,10.57,10.57,10.55,10.55,30355
GNC,03 Jan 2007,9.22,9.44,9.22,9.44,57454
GNC,28 Feb 2007,9.59,9.6,9.51,9.59,29639
GNC,26 Mar 2007,10.2,10.45,10.2,10.32,32922
GNC,13 Apr 2007,10.74,10.74,10.6,10.6,20746
GNC,16 Apr 2007,10.7,10.7,10.51,10.51,15235
GNC,17 Apr 2007,10.51,10.56,10.3,10.3,10267
GNC,03 Jul 2007,13.4,13.45,13.29,13.4,46033
GNC,09 Jul 2007,13.2,13.29,12.95,13.22,35390
GNC,13 Sep 2007,9.9,9.96,9.53,9.8,58395
GNC,21 Sep 2007,8.92,9.1,8.92,9.1,283775
GNC,27 Jun 2007,12.66,13,12.65,12.7,60704
GNC,06 Jun 2007,11.85,12.15,11.85,12,52610
GNC,01 Jun 2007,10.69,11.32,10.69,11.32,168445
GNC,29 May 2007,10.78,10.96,10.6,10.8,72647
GNC,28 May 2007,10.9,10.96,10.51,10.66,39933
GNC,22 May 2007,10.48,10.65,10.47,10.51,531543
GNC,18 May 2007,10.21,10.35,10.2,10.22,51069
GNC,11 May 2007,10.3,10.35,10.27,10.3,13537
GNC,10 May 2007,10.19,10.3,10.19,10.22,15048
GNC,09 May 2007,10.3,10.5,10.25,10.25,14587
GNC,07 May 2007,10.6,10.6,10.51,10.6,85304
GNC,04 May 2007,10.45,10.6,10.44,10.6,245039
GNC,01 May 2007,10.2,10.27,10,10.27,30416
GNC,27 Apr 2007,10.2,10.2,10.09,10.2,40484
GNC,20 Apr 2007,9.91,9.91,9.74,9.74,39515
GNC,19 Apr 2007,10.44,10.47,10.17,10.17,5714
GNC,18 Apr 2007,10.43,10.53,10.33,10.44,68126
GNC,12 Apr 2007,10.6,10.75,10.6,10.7,46409
GNC,11 Apr 2007,10.46,10.75,10.45,10.73,75596
GNC,10 Apr 2007,10.47,10.6,10.47,10.55,58173
GNC,05 Apr 2007,10.47,10.56,10.47,10.56,12718
GNC,04 Apr 2007,10.45,10.59,10.45,10.55,26214
GNC,03 Apr 2007,10.3,10.45,10.3,10.45,56972
GNC,02 Apr 2007,10.2,10.3,10.2,10.26,11202
GNC,29 Mar 2007,10.25,10.28,10.15,10.28,18001
GNC,28 Mar 2007,10.3,10.3,10.25,10.28,29157
GNC,27 Mar 2007,10.35,10.35,10.26,10.3,29467
GNC,23 Mar 2007,10,10.1,9.91,10.1,68920
GNC,22 Mar 2007,10.02,10.05,9.99,10,37620
GNC,21 Mar 2007,10.02,10.1,10,10.01,21945
GNC,20 Mar 2007,10,10.05,9.96,10.05,40216
GNC,19 Mar 2007,9.95,10,9.95,10,51014
GNC,06 Nov 2007,9.99,10,9.85,10,20728
GNC,16 Mar 2007,9.95,10.05,9.9,10,47821
GNC,15 Mar 2007,9.91,10.05,9.91,10,39754
GNC,14 Mar 2007,9.9,9.95,9.9,9.95,25219
GNC,13 Mar 2007,9.71,9.92,9.71,9.86,88015
GNC,12 Mar 2007,9.67,9.74,9.67,9.69,8799
GNC,09 Mar 2007,9.69,9.71,9.6,9.66,28674
GNC,08 Mar 2007,9.72,9.75,9.7,9.7,49579
GNC,07 Mar 2007,9.8,9.8,9.65,9.72,30349
GNC,06 Mar 2007,9.85,9.85,9.6,9.8,16233
GNC,05 Mar 2007,9.9,9.9,9.81,9.82,20844
GNC,02 Mar 2007,9.88,9.99,9.82,9.96,14261
GNC,01 Mar 2007,9.6,9.99,9.6,9.95,61860
GNC,27 Feb 2007,9.7,9.75,9.65,9.67,14654
GNC,26 Feb 2007,9.75,9.75,9.69,9.75,9826
GNC,23 Feb 2007,9.5,9.74,9.5,9.74,43905
GNC,22 Feb 2007,9.81,9.81,9.53,9.62,38926
GNC,21 Feb 2007,10.14,10.14,9.81,9.81,26981
GNC,20 Feb 2007,10.16,10.17,10.15,10.15,30790
GNC,19 Feb 2007,10.15,10.17,10.15,10.17,17185
GNC,16 Feb 2007,10,10.05,10,10.05,15548
GNC,04 Dec 2007,9.06,9.18,9.06,9.08,16115
GNC,15 Feb 2007,10.03,10.04,10,10.02,259753
GNC,14 Feb 2007,10.05,10.05,9.96,10.05,40596
GNC,13 Feb 2007,9.9,10,9.85,10,263915
GNC,12 Feb 2007,10,10,9.9,10,35843
GNC,09 Feb 2007,10.11,10.12,9.86,10.1,93639
GNC,08 Feb 2007,10.34,10.34,10.11,10.16,24454
GNC,07 Feb 2007,10.3,10.37,10.14,10.37,18197
GNC,06 Feb 2007,10.45,10.45,10.35,10.4,48235
GNC,05 Feb 2007,10.59,10.59,10.41,10.49,29816
GNC,02 Feb 2007,10.5,10.66,10.46,10.6,55469
GNC,01 Feb 2007,10.4,10.55,10.32,10.55,24777
GNC,31 Jan 2007,10.45,10.48,10.4,10.48,64649
GNC,30 Jan 2007,10.2,10.4,10.05,10.25,28790
GNC,29 Jan 2007,10.03,10.08,10,10.05,66405
GNC,25 Jan 2007,10.1,10.15,10.03,10.11,83875
GNC,24 Jan 2007,10.06,10.21,10,10.1,81113
GNC,23 Jan 2007,9.9,10.1,9.9,10,74785
GNC,22 Jan 2007,9.99,9.99,9.85,9.9,37635
GNC,19 Jan 2007,9.87,9.94,9.87,9.91,25809
GNC,18 Jan 2007,9.75,9.85,9.73,9.85,44713
GNC,07 Jan 2008,9.95,10.35,9.94,10.35,110413
GNC,17 Jan 2007,9.5,9.73,9.49,9.7,23305
GNC,16 Jan 2007,9.52,9.6,9.5,9.5,52216
GNC,15 Jan 2007,9.51,9.81,9.51,9.67,280061
GNC,12 Jan 2007,9.4,9.46,9.4,9.45,309971
GNC,11 Jan 2007,9.3,9.4,9.3,9.4,43054
GNC,10 Jan 2007,9.45,9.45,9.3,9.4,29417
GNC,09 Jan 2007,9.53,9.6,9.42,9.42,20281
GNC,08 Jan 2007,9.6,9.6,9.45,9.55,24193
GNC,05 Jan 2007,9.65,9.65,9.45,9.6,30876
GNC,04 Jan 2007,9.44,9.6,9.44,9.6,57845
GNC,02 Jan 2007,9.2,9.29,9.17,9.22,31965
GNC,29 Dec 2006,9.2,9.2,9.1,9.2,14805
GNC,28 Dec 2006,9.2,9.3,9.17,9.3,3976
GNC,27 Dec 2006,9.2,9.22,9.2,9.2,11831
GNC,22 Dec 2006,9.33,9.4,9.3,9.3,26015
GNC,21 Dec 2006,9.4,9.4,9.3,9.4,31898
GNC,20 Dec 2006,9.2,9.5,9.2,9.5,28517
GNC,19 Dec 2006,9.32,9.38,9.18,9.3,63575
GNC,18 Dec 2006,9.5,9.5,9.22,9.32,32214
GNC,15 Dec 2006,9.46,9.52,9.4,9.49,153320
GNC,14 Dec 2006,9.4,9.5,9.21,9.45,118017
GNC,13 Dec 2006,9.12,9.4,9.1,9.27,125561
GNC,12 Dec 2006,8.75,9,8.74,9,275045
GNC,11 Dec 2006,8.8,8.87,8.71,8.71,67010
GNC,08 Dec 2006,8.82,8.87,8.75,8.84,47421
GNC,07 Dec 2006,8.89,8.98,8.65,8.77,63715
GNC,06 Dec 2006,8.8,9,8.79,8.89,77187
GNC,05 Dec 2006,8.72,9,8.71,8.9,77908
GNC,04 Dec 2006,8.45,8.78,8.38,8.71,110052
GNC,01 Dec 2006,8.4,8.5,8.4,8.47,28723
GNC,30 Nov 2006,8.5,8.54,8.4,8.5,60951
GNC,29 Nov 2006,8.5,8.51,8.35,8.5,30096
GNC,28 Nov 2006,8.78,8.78,8.56,8.65,36885
GNC,27 Nov 2006,8.7,8.88,8.7,8.8,143569
GNC,24 Nov 2006,8,8.9,7.99,8.7,264568
GNC,23 Nov 2006,7.95,8.03,7.92,8.03,169170
GNC,22 Nov 2006,7.95,7.98,7.9,7.9,111198
GNC,29 Feb 2008,13,13.75,12.96,13.75,634177
GNC,21 Nov 2006,7.97,7.98,7.89,7.95,120619
GNC,20 Nov 2006,7.98,7.99,7.93,7.98,50369
GNC,17 Nov 2006,7.97,7.99,7.95,7.98,36330
GNC,06 Mar 2008,12.6,12.71,12.34,12.45,100620
GNC,16 Nov 2006,7.95,7.98,7.92,7.98,34210
GNC,15 Nov 2006,8,8,7.88,7.98,98791
GNC,14 Nov 2006,7.96,8,7.95,7.99,103495
GNC,13 Nov 2006,7.9,7.96,7.88,7.88,55151
GNC,10 Nov 2006,7.9,7.9,7.75,7.84,93115
GNC,14 Mar 2008,11.23,11.65,10.8,10.97,52788
GNC,09 Nov 2006,7.77,7.88,7.77,7.84,32499
GNC,08 Nov 2006,7.65,7.77,7.64,7.74,46659
GNC,07 Nov 2006,7.65,7.71,7.62,7.62,59557
GNC,06 Nov 2006,7.65,7.7,7.63,7.63,64229
GNC,03 Nov 2006,7.63,7.66,7.6,7.64,64947
GNC,02 Nov 2006,7.55,7.63,7.55,7.63,113238
GNC,01 Nov 2006,7.51,7.57,7.5,7.55,53965
GNC,31 Oct 2006,7.4,7.58,7.4,7.57,121209
GNC,30 Oct 2006,7.45,7.45,7.4,7.4,68072
GNC,27 Oct 2006,7.35,7.44,7.35,7.4,124792
GNC,26 Oct 2006,7.4,7.4,7.35,7.37,181947
GNC,25 Oct 2006,7.4,7.41,7.36,7.4,60705
GNC,24 Oct 2006,7.4,7.41,7.35,7.41,92239
GNC,23 Oct 2006,7.41,7.42,7.35,7.39,129636
GNC,20 Oct 2006,7.52,7.56,7.41,7.44,93958
GNC,19 Oct 2006,7.16,7.5,7.16,7.46,476660
