Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
HSO,28 Jul 2014,2.1,2.21,2.09,2.21,83365467
HSO,29 Jul 2014,2.24,2.26,2.21,2.23,37474155
HSO,30 Jul 2014,2.23,2.29,2.225,2.27,47340237
HSO,31 Jul 2014,2.27,2.28,2.25,2.26,31110183
HSO,01 Aug 2014,2.22,2.25,2.22,2.24,13898853
HSO,04 Aug 2014,2.24,2.25,2.23,2.23,5689227
HSO,05 Aug 2014,2.23,2.25,2.23,2.25,15769856
HSO,06 Aug 2014,2.25,2.27,2.24,2.24,17364647
HSO,07 Aug 2014,2.24,2.25,2.21,2.21,7420876
HSO,08 Aug 2014,2.2,2.21,2.14,2.16,10084569
HSO,11 Aug 2014,2.17,2.185,2.16,2.16,4074558
HSO,12 Aug 2014,2.17,2.19,2.15,2.19,7664558
HSO,13 Aug 2014,2.18,2.2,2.17,2.19,4411894
HSO,14 Aug 2014,2.19,2.19,2.17,2.18,3536839
HSO,15 Aug 2014,2.18,2.22,2.175,2.21,8035169
HSO,18 Aug 2014,2.21,2.235,2.21,2.22,3246257
HSO,19 Aug 2014,2.23,2.245,2.22,2.24,4610055
HSO,20 Aug 2014,2.24,2.25,2.23,2.25,1582347
HSO,21 Aug 2014,2.25,2.26,2.23,2.26,6110216
HSO,22 Aug 2014,2.26,2.27,2.25,2.27,4568135
HSO,25 Aug 2014,2.26,2.28,2.255,2.27,2322272
HSO,26 Aug 2014,2.27,2.28,2.265,2.27,1920524
HSO,27 Aug 2014,2.27,2.29,2.22,2.23,3995818
HSO,28 Aug 2014,2.23,2.25,2.23,2.24,1261492
HSO,29 Aug 2014,2.24,2.28,2.235,2.28,2969233
HSO,01 Sep 2014,2.28,2.28,2.265,2.28,1878331
HSO,02 Sep 2014,2.27,2.27,2.24,2.27,1962758
HSO,03 Sep 2014,2.26,2.315,2.26,2.31,8551067
HSO,04 Sep 2014,2.31,2.34,2.31,2.32,5292225
HSO,05 Sep 2014,2.33,2.375,2.32,2.36,4185673
HSO,07 Sep 2014,2.33,2.375,2.32,2.36,4185673
HSO,08 Sep 2014,2.35,2.36,2.31,2.32,2017161
HSO,09 Sep 2014,2.33,2.37,2.32,2.36,2933372
HSO,10 Sep 2014,2.36,2.37,2.32,2.34,3929209
HSO,11 Sep 2014,2.36,2.41,2.35,2.41,4919109
HSO,12 Sep 2014,2.4,2.44,2.4,2.42,8503519
HSO,15 Sep 2014,2.41,2.435,2.38,2.42,3789010
HSO,16 Sep 2014,2.41,2.43,2.38,2.42,2371885
HSO,17 Sep 2014,2.43,2.45,2.425,2.44,3079753
HSO,18 Sep 2014,2.43,2.45,2.42,2.43,3591909
HSO,19 Sep 2014,2.44,2.45,2.43,2.43,2579701
HSO,22 Sep 2014,2.44,2.45,2.415,2.45,5973452
HSO,23 Sep 2014,2.44,2.45,2.43,2.44,2151888
HSO,24 Sep 2014,2.42,2.44,2.42,2.44,4733328
HSO,25 Sep 2014,2.44,2.45,2.43,2.45,7438178
HSO,26 Sep 2014,2.44,2.44,2.42,2.44,3439602
HSO,29 Sep 2014,2.44,2.515,2.435,2.46,3851919
HSO,30 Sep 2014,2.47,2.48,2.43,2.44,3303592
HSO,01 Oct 2014,2.43,2.46,2.42,2.46,2484949
HSO,02 Oct 2014,2.44,2.45,2.44,2.45,8331341
HSO,03 Oct 2014,2.44,2.45,2.42,2.42,7812834
HSO,04 Oct 2014,2.44,2.45,2.42,2.42,7812834
HSO,06 Oct 2014,2.45,2.46,2.435,2.45,1354007
HSO,07 Oct 2014,2.46,2.49,2.46,2.48,9482321
HSO,08 Oct 2014,2.48,2.49,2.46,2.47,7335583
HSO,09 Oct 2014,2.52,2.57,2.495,2.52,13709107
HSO,10 Oct 2014,2.47,2.51,2.45,2.47,8666782
HSO,13 Oct 2014,2.43,2.45,2.42,2.44,7610329
HSO,14 Oct 2014,2.43,2.44,2.4,2.42,6577802
HSO,15 Oct 2014,2.42,2.44,2.38,2.39,5658893
HSO,16 Oct 2014,2.38,2.4,2.35,2.39,4016776
HSO,17 Oct 2014,2.4,2.43,2.38,2.39,5228098
HSO,20 Oct 2014,2.41,2.425,2.4,2.42,10256202
HSO,21 Oct 2014,2.4,2.415,2.37,2.4,5737231
HSO,22 Oct 2014,2.4,2.42,2.39,2.41,7300674
HSO,23 Oct 2014,2.4,2.42,2.4,2.42,4341875
HSO,24 Oct 2014,2.42,2.47,2.41,2.45,6826632
HSO,27 Oct 2014,2.45,2.48,2.45,2.46,2926902
HSO,28 Oct 2014,2.46,2.48,2.45,2.46,3033690
HSO,29 Oct 2014,2.47,2.53,2.47,2.5,7117989
HSO,30 Oct 2014,2.52,2.56,2.515,2.54,4763540
HSO,31 Oct 2014,2.54,2.55,2.52,2.54,5920658
HSO,03 Nov 2014,2.54,2.55,2.5,2.5,1582821
HSO,04 Nov 2014,2.52,2.545,2.51,2.53,2798272
HSO,05 Nov 2014,2.56,2.595,2.54,2.57,6420431
HSO,06 Nov 2014,2.59,2.63,2.55,2.58,44900825
HSO,07 Nov 2014,2.63,2.63,2.56,2.61,12931533
HSO,10 Nov 2014,2.59,2.63,2.59,2.6,5221875
HSO,11 Nov 2014,2.63,2.63,2.58,2.59,10226923
HSO,12 Nov 2014,2.57,2.59,2.55,2.57,4994848
HSO,13 Nov 2014,2.58,2.58,2.54,2.55,16272998
HSO,14 Nov 2014,2.56,2.56,2.53,2.54,6067002
HSO,15 Nov 2014,2.56,2.56,2.53,2.54,6067002
HSO,17 Nov 2014,2.55,2.55,2.52,2.52,7495468
HSO,18 Nov 2014,2.53,2.53,2.455,2.47,7312034
HSO,19 Nov 2014,2.49,2.5,2.44,2.46,6871412
HSO,20 Nov 2014,2.47,2.485,2.44,2.48,5278540
HSO,21 Nov 2014,2.48,2.515,2.47,2.49,4366236
HSO,24 Nov 2014,2.52,2.55,2.5,2.55,5113404
HSO,25 Nov 2014,2.57,2.58,2.515,2.55,99320257
HSO,26 Nov 2014,2.57,2.61,2.56,2.61,4508341
HSO,27 Nov 2014,2.61,2.61,2.53,2.56,3220178
HSO,28 Nov 2014,2.6,2.63,2.55,2.61,3801085
HSO,01 Dec 2014,2.63,2.63,2.51,2.53,3664424
HSO,02 Dec 2014,2.53,2.61,2.53,2.6,4940383
HSO,03 Dec 2014,2.6,2.6,2.57,2.6,4016608
HSO,04 Dec 2014,2.6,2.605,2.56,2.6,3417953
HSO,05 Dec 2014,2.6,2.62,2.52,2.61,5669701
HSO,08 Dec 2014,2.61,2.67,2.57,2.66,6791593
HSO,09 Dec 2014,2.66,2.66,2.615,2.63,6228372
HSO,10 Dec 2014,2.61,2.63,2.58,2.61,4626675
HSO,11 Dec 2014,2.56,2.63,2.555,2.59,4977417
HSO,12 Dec 2014,2.56,2.65,2.56,2.57,6575166
HSO,15 Dec 2014,2.55,2.59,2.51,2.55,4823539
HSO,16 Dec 2014,2.55,2.58,2.52,2.58,5821908
HSO,17 Dec 2014,2.58,2.6,2.54,2.59,5150407
HSO,18 Dec 2014,2.57,2.65,2.56,2.65,8106835
HSO,19 Dec 2014,2.65,2.71,2.62,2.66,49139667
HSO,22 Dec 2014,2.7,2.7,2.6,2.61,3031869
HSO,23 Dec 2014,2.62,2.62,2.57,2.57,2270244
HSO,24 Dec 2014,2.58,2.63,2.56,2.6,1958416
HSO,29 Dec 2014,2.61,2.67,2.61,2.66,2819761
HSO,30 Dec 2014,2.67,2.715,2.66,2.7,2961248
HSO,31 Dec 2014,2.72,2.73,2.69,2.72,984919
HSO,02 Jan 2015,2.74,2.75,2.68,2.7,2390213
HSO,05 Jan 2015,2.73,2.75,2.66,2.69,2720757
HSO,06 Jan 2015,2.67,2.69,2.65,2.66,2790683
HSO,07 Jan 2015,2.63,2.69,2.605,2.65,5295215
HSO,08 Jan 2015,2.66,2.69,2.64,2.66,1945780
HSO,09 Jan 2015,2.7,2.75,2.67,2.75,2158846
HSO,12 Jan 2015,2.73,2.74,2.65,2.65,2599521
HSO,13 Jan 2015,2.64,2.72,2.64,2.69,3262752
HSO,14 Jan 2015,2.69,2.72,2.67,2.71,2765309
HSO,15 Jan 2015,2.67,2.7,2.65,2.68,1928460
HSO,16 Jan 2015,2.65,2.67,2.61,2.63,3193171
HSO,19 Jan 2015,2.65,2.66,2.62,2.64,1557336
HSO,20 Jan 2015,2.63,2.65,2.61,2.64,1122661
HSO,21 Jan 2015,2.64,2.69,2.63,2.69,1845322
HSO,22 Jan 2015,2.69,2.69,2.64,2.67,1640176
HSO,23 Jan 2015,2.68,2.71,2.66,2.7,1265716
HSO,27 Jan 2015,2.69,2.75,2.68,2.73,1339261
HSO,28 Jan 2015,2.68,2.75,2.68,2.75,2193619
