Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
IDX,21 Oct 2015,1.94,1.94,1.8,1.83,2345442
IDX,22 Oct 2015,1.83,1.95,1.83,1.912,1406321
IDX,23 Oct 2015,1.95,1.955,1.93,1.94,1156677
IDX,26 Oct 2015,1.95,1.98,1.92,1.935,299337
IDX,27 Oct 2015,1.935,1.98,1.9,1.95,209853
IDX,28 Oct 2015,1.9,1.9,1.82,1.825,596159
IDX,29 Oct 2015,1.825,1.825,1.765,1.765,961615
IDX,30 Oct 2015,1.76,1.8,1.75,1.795,1323983
IDX,31 Oct 2015,1.76,1.8,1.75,1.795,1323983
IDX,02 Nov 2015,1.8,1.92,1.8,1.86,58055
IDX,03 Nov 2015,1.88,1.9,1.81,1.815,147055
IDX,04 Nov 2015,1.815,1.815,1.75,1.8,1159912
IDX,05 Nov 2015,1.805,1.805,1.8,1.8,5000
IDX,06 Nov 2015,1.83,1.88,1.83,1.84,1416752
IDX,09 Nov 2015,1.84,1.92,1.84,1.91,390092
IDX,10 Nov 2015,1.905,1.905,1.88,1.88,5283
IDX,11 Nov 2015,1.82,1.86,1.82,1.82,46995
IDX,12 Nov 2015,1.82,1.84,1.8,1.83,66203
IDX,13 Nov 2015,1.8,1.805,1.79,1.79,699112
IDX,16 Nov 2015,1.78,1.78,1.77,1.77,28970
IDX,17 Nov 2015,1.77,1.78,1.76,1.76,204096
IDX,18 Nov 2015,1.75,1.76,1.71,1.76,1318296
IDX,19 Nov 2015,1.77,1.83,1.76,1.8,161771
IDX,20 Nov 2015,1.8,1.84,1.8,1.82,1165007
IDX,23 Nov 2015,1.82,1.845,1.8,1.82,69190
IDX,24 Nov 2015,1.805,1.83,1.785,1.8,435628
IDX,25 Nov 2015,1.785,1.83,1.785,1.82,167893
IDX,26 Nov 2015,1.82,1.82,1.8,1.8,122980
IDX,27 Nov 2015,1.8,1.84,1.8,1.82,28898
IDX,30 Nov 2015,1.8,1.84,1.79,1.835,48135
IDX,01 Dec 2015,1.8,1.805,1.8,1.8,170989
IDX,02 Dec 2015,1.8,1.82,1.8,1.82,59016
IDX,03 Dec 2015,1.78,1.78,1.775,1.78,26656
IDX,04 Dec 2015,1.777,1.79,1.77,1.79,71112
IDX,07 Dec 2015,1.8,1.85,1.8,1.84,90533
IDX,08 Dec 2015,1.82,1.88,1.8,1.85,67025
IDX,09 Dec 2015,1.87,1.87,1.85,1.865,4077048
IDX,10 Dec 2015,1.865,1.865,1.81,1.82,36875
IDX,11 Dec 2015,1.82,1.85,1.82,1.85,743638
IDX,14 Dec 2015,1.83,1.84,1.81,1.84,55269
IDX,15 Dec 2015,1.84,1.84,1.77,1.77,128579
IDX,16 Dec 2015,1.75,1.75,1.465,1.645,619737
IDX,17 Dec 2015,1.555,1.635,1.555,1.58,158305
IDX,18 Dec 2015,1.585,1.72,1.585,1.68,272039
IDX,21 Dec 2015,1.68,1.68,1.63,1.665,39459
IDX,22 Dec 2015,1.65,1.665,1.63,1.66,43030
IDX,23 Dec 2015,1.64,1.64,1.6,1.63,72147
IDX,24 Dec 2015,1.64,1.66,1.63,1.64,20038
IDX,29 Dec 2015,1.657,1.657,1.655,1.655,6190
IDX,30 Dec 2015,1.66,1.68,1.63,1.66,19914
IDX,31 Dec 2015,1.66,1.7,1.635,1.655,50421
IDX,04 Jan 2016,1.655,1.655,1.64,1.64,41300
IDX,05 Jan 2016,1.65,1.685,1.65,1.675,6870
IDX,06 Jan 2016,1.66,1.66,1.64,1.64,19852
IDX,07 Jan 2016,1.64,1.64,1.6,1.635,5112
IDX,08 Jan 2016,1.61,1.635,1.61,1.62,124183
IDX,11 Jan 2016,1.61,1.655,1.61,1.655,13371
IDX,12 Jan 2016,1.64,1.655,1.63,1.65,4080
IDX,13 Jan 2016,1.63,1.63,1.6,1.62,37736
IDX,14 Jan 2016,1.62,1.62,1.57,1.57,48606
IDX,15 Jan 2016,1.57,1.58,1.57,1.58,16713
IDX,18 Jan 2016,1.58,1.58,1.58,1.58,0
IDX,19 Jan 2016,1.58,1.61,1.58,1.61,14161
IDX,20 Jan 2016,1.61,1.61,1.61,1.61,12986
IDX,21 Jan 2016,1.57,1.62,1.555,1.565,31463
IDX,22 Jan 2016,1.565,1.62,1.54,1.62,26338
IDX,25 Jan 2016,1.55,1.55,1.475,1.55,36632
IDX,27 Jan 2016,1.6,1.6,1.52,1.52,7224
IDX,28 Jan 2016,1.52,1.52,1.47,1.47,199410
IDX,29 Jan 2016,1.47,1.49,1.47,1.49,151133
IDX,01 Feb 2016,1.515,1.52,1.49,1.52,24010
IDX,02 Feb 2016,1.59,1.59,1.59,1.59,132
IDX,03 Feb 2016,1.525,1.525,1.52,1.52,13071
IDX,04 Feb 2016,1.52,1.525,1.5,1.52,6222
IDX,05 Feb 2016,1.54,1.54,1.49,1.52,33835
IDX,08 Feb 2016,1.52,1.52,1.47,1.47,26373
IDX,09 Feb 2016,1.45,1.45,1.45,1.45,21212
IDX,10 Feb 2016,1.45,1.46,1.4,1.41,39317
IDX,11 Feb 2016,1.41,1.41,1.4,1.4,30505
IDX,12 Feb 2016,1.4,1.4,1.4,1.4,13083
IDX,15 Feb 2016,1.42,1.42,1.415,1.42,24874
IDX,16 Feb 2016,1.42,1.45,1.4,1.45,22242
IDX,17 Feb 2016,1.4,1.4,1.4,1.4,15151
IDX,18 Feb 2016,1.45,1.55,1.4,1.4,3080425
IDX,19 Feb 2016,1.4,1.415,1.4,1.41,604
IDX,22 Feb 2016,1.4,1.4,1.34,1.34,2160591
IDX,23 Feb 2016,1.34,1.5,1.34,1.5,33619
IDX,24 Feb 2016,1.35,1.39,1.35,1.39,62790
IDX,25 Feb 2016,1.39,1.39,1.35,1.39,3120
IDX,26 Feb 2016,1.35,1.38,1.345,1.36,58310
IDX,29 Feb 2016,1.345,1.36,1.3,1.31,2031422
IDX,01 Mar 2016,1.31,1.31,1.3,1.3,760927
IDX,02 Mar 2016,1.3,1.3,1.26,1.26,11290
IDX,03 Mar 2016,1.28,1.3,1.26,1.27,33737
IDX,04 Mar 2016,1.27,1.32,1.26,1.3,65703
IDX,07 Mar 2016,1.3,1.35,1.3,1.35,52402
