Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
MTS,07 Mar 2006,4.6,4.7,4.6,4.67,4911345
MTS,08 Mar 2006,4.65,4.69,4.63,4.67,6313008
MTS,09 Mar 2006,4.65,4.67,4.63,4.66,1323092
MTS,10 Mar 2006,4.65,4.66,4.57,4.62,1999579
MTS,13 Mar 2006,4.67,4.67,4.58,4.65,832865
MTS,14 Mar 2006,4.66,4.67,4.62,4.65,2049744
MTS,15 Mar 2006,4.66,4.67,4.55,4.62,2910044
MTS,16 Mar 2006,4.61,4.69,4.61,4.67,3470879
MTS,17 Mar 2006,4.67,4.67,4.56,4.58,1757901
MTS,20 Mar 2006,4.63,4.63,4.56,4.58,1105019
MTS,21 Mar 2006,4.59,4.59,4.45,4.54,2778651
MTS,22 Mar 2006,4.56,4.67,4.56,4.63,2476139
MTS,23 Mar 2006,4.63,4.67,4.51,4.55,3646954
MTS,24 Mar 2006,4.51,4.55,4.46,4.52,4927413
MTS,30 Apr 2007,5.29,5.32,5.23,5.24,2925508
MTS,26 Mar 2007,4.88,4.88,4.82,4.85,1928396
MTS,05 Feb 2007,4.73,4.74,4.67,4.68,4268907
MTS,29 Jan 2007,4.61,4.64,4.55,4.6,3606489
MTS,24 Jan 2007,4.67,4.67,4.61,4.64,2708185
MTS,18 Jan 2007,4.7,4.72,4.61,4.65,3572780
MTS,17 Jan 2007,4.7,4.71,4.66,4.67,1694247
MTS,15 Jan 2007,4.64,4.7,4.58,4.68,2661417
MTS,12 Jan 2007,4.59,4.67,4.57,4.63,2705234
MTS,11 Jan 2007,4.58,4.62,4.54,4.58,2439117
MTS,10 Jan 2007,4.6,4.6,4.53,4.53,2827352
MTS,08 Jan 2007,4.64,4.66,4.6,4.6,4047768
MTS,04 Jan 2007,4.65,4.69,4.62,4.64,2454584
MTS,03 Jan 2007,4.67,4.7,4.65,4.68,1366491
MTS,02 Jan 2007,4.7,4.74,4.67,4.67,1522447
MTS,28 Dec 2006,4.72,4.77,4.7,4.74,1447024
MTS,22 Dec 2006,4.75,4.75,4.66,4.7,804222
MTS,21 Dec 2006,4.72,4.74,4.65,4.73,5436892
MTS,19 Dec 2006,4.63,4.89,4.6,4.8,8625187
MTS,18 Dec 2006,4.66,4.66,4.58,4.62,3153031
MTS,13 Dec 2006,4.51,4.65,4.48,4.56,3295014
MTS,12 Dec 2006,4.5,4.52,4.47,4.5,3692116
MTS,11 Dec 2006,4.46,4.52,4.42,4.46,2098500
