Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
MYX,19 Nov 2010,.665,.67,.665,.665,283050
MYX,22 Nov 2010,.66,.68,.66,.68,685420
MYX,23 Nov 2010,.68,.7,.68,.7,734570
MYX,24 Nov 2010,.685,.695,.68,.69,618535
MYX,25 Nov 2010,.69,.695,.69,.69,245963
MYX,26 Nov 2010,.695,.7,.695,.695,181600
MYX,27 Nov 2010,0,0,0,0,0
MYX,28 Nov 2010,0,0,0,0,0
MYX,29 Nov 2010,.69,.715,.69,.7,438376
MYX,30 Nov 2010,.705,.705,.69,.69,199979
MYX,07 Mar 2011,.77,.775,.73,.74,403530
MYX,08 Mar 2011,.74,.76,.74,.755,375075
MYX,09 Mar 2011,.75,.765,.75,.76,260373
MYX,10 Mar 2011,.76,.765,.745,.75,249170
MYX,11 Mar 2011,.74,.74,.73,.735,251423
MYX,14 Mar 2011,.735,.735,.73,.73,574500
MYX,15 Mar 2011,.725,.73,.705,.71,1067252
MYX,16 Mar 2011,.7,.705,.655,.68,253465
MYX,17 Mar 2011,.7,.71,.67,.7,72731
MYX,18 Mar 2011,.7,.7,.675,.68,266666
MYX,21 Mar 2011,.68,.7,.68,.68,153579
MYX,22 Mar 2011,.675,.69,.67,.69,102720
MYX,23 Mar 2011,.69,.69,.67,.675,376579
MYX,24 Mar 2011,.675,.68,.67,.68,240305
MYX,25 Mar 2011,.69,.7,.675,.7,243893
MYX,28 Mar 2011,.695,.7,.685,.69,222592
MYX,29 Mar 2011,.69,.695,.665,.665,333504
MYX,30 Mar 2011,.67,.675,.665,.675,110183
MYX,31 Mar 2011,.665,.67,.65,.655,480381
MYX,01 Apr 2011,.655,.66,.655,.66,61123
MYX,04 Apr 2011,.665,.67,.66,.67,207272
MYX,05 Apr 2011,.67,.67,.655,.66,254983
MYX,06 Apr 2011,.67,.67,.64,.66,244854
MYX,07 Apr 2011,.66,.66,.65,.655,194355
MYX,08 Apr 2011,.655,.665,.65,.655,69920
MYX,11 Apr 2011,.65,.65,.615,.63,241852
MYX,12 Apr 2011,.62,.62,.59,.6,918618
MYX,13 Apr 2011,.595,.595,.565,.575,941154
MYX,14 Apr 2011,.565,.57,.555,.56,737328
MYX,15 Apr 2011,.56,.56,.555,.56,561991
MYX,18 Apr 2011,.565,.57,.56,.56,1184757
MYX,19 Apr 2011,.575,.575,.545,.555,742825
MYX,17 Feb 2011,.96,.96,.945,.96,285723
MYX,01 Feb 2011,.9,.92,.88,.915,257855
MYX,31 Jan 2011,.905,.905,.88,.9,299682
MYX,19 Jan 2011,.82,.82,.82,.82,169240
MYX,05 Jan 2011,.705,.72,.7,.7,308465
MYX,31 Dec 2010,.725,.725,.705,.705,123798
MYX,29 Dec 2010,.735,.74,.735,.735,17062
MYX,24 Dec 2010,.715,.735,.715,.735,197038
MYX,23 Dec 2010,.7,.72,.7,.71,278556
MYX,22 Dec 2010,.69,.695,.69,.69,115249
MYX,21 Dec 2010,.68,.685,.675,.68,1209488
MYX,20 Dec 2010,.69,.69,.68,.68,273598
MYX,16 Dec 2010,.685,.695,.685,.69,193211
MYX,13 Dec 2010,.68,.69,.67,.67,107746
MYX,10 Dec 2010,.68,.695,.67,.675,336164
MYX,08 Dec 2010,.66,.675,.64,.66,158151
MYX,06 Dec 2010,.68,.68,.675,.675,165519
MYX,03 Dec 2010,.685,.69,.68,.68,124595
MYX,02 Dec 2010,.69,.69,.67,.67,317096
MYX,21 Jan 2011,.8,.835,.8,.82,85447
MYX,04 Mar 2011,.775,.785,.77,.775,581259
MYX,03 Mar 2011,.78,.78,.73,.775,621001
MYX,01 Mar 2011,.745,.745,.65,.69,2985081
MYX,28 Feb 2011,.825,.825,.7,.74,2939609
MYX,25 Feb 2011,.87,.87,.84,.85,314013
MYX,24 Feb 2011,.88,.88,.875,.875,38120
MYX,22 Feb 2011,.9,.92,.85,.87,568185
MYX,20 Feb 2011,.97,.97,.94,.95,88539
MYX,18 Feb 2011,.97,.97,.94,.95,88539
MYX,11 Feb 2011,.95,.99,.95,.98,315232
MYX,10 Feb 2011,.895,.955,.89,.95,827984
MYX,08 Feb 2011,.88,.905,.88,.9,270909
MYX,07 Feb 2011,.855,.875,.84,.875,158001
MYX,04 Feb 2011,.87,.87,.84,.85,377407
MYX,03 Feb 2011,.89,.89,.87,.87,372673
MYX,02 Feb 2011,.915,.915,.88,.885,342912
MYX,27 Jan 2011,.865,.915,.865,.9,875970
MYX,25 Jan 2011,.84,.87,.835,.87,318172
MYX,24 Jan 2011,.83,.84,.83,.84,308590
MYX,20 Jan 2011,.835,.845,.8,.8,763842
MYX,17 Jan 2011,.8,.82,.8,.8,373313
MYX,14 Jan 2011,.76,.82,.76,.82,708139
MYX,13 Jan 2011,.75,.76,.745,.755,216021
MYX,12 Jan 2011,.72,.75,.72,.75,401382
MYX,11 Jan 2011,.73,.73,.73,.73,43398
MYX,10 Jan 2011,.725,.73,.72,.73,134699
MYX,07 Jan 2011,.73,.735,.72,.72,35775
MYX,06 Jan 2011,.71,.72,.71,.72,221500
MYX,04 Jan 2011,.71,.71,.7,.7,490942
MYX,30 Dec 2010,.735,.735,.73,.73,143600
MYX,17 Dec 2010,.7,.715,.69,.69,555819
MYX,15 Dec 2010,.68,.695,.675,.69,532202
MYX,14 Dec 2010,.66,.68,.66,.67,99800
MYX,09 Dec 2010,.655,.69,.645,.69,274519
MYX,07 Dec 2010,.675,.675,.65,.65,388191
MYX,01 Dec 2010,.685,.69,.68,.685,281569
MYX,02 Mar 2011,.69,.735,.69,.725,714543
MYX,15 Feb 2011,1,1,.975,.975,207045
MYX,09 Feb 2011,.9,.905,.895,.895,664724
MYX,23 Feb 2011,.86,.87,.85,.86,263670
MYX,21 Feb 2011,.96,.96,.93,.93,480152
MYX,16 Feb 2011,.97,.97,.95,.95,269601
MYX,28 Jan 2011,.92,.92,.895,.91,427987
MYX,18 Jan 2011,.8,.815,.8,.81,172085
MYX,14 Feb 2011,1,1,.975,1,517030
MYX,20 Apr 2011,.555,.56,.53,.56,789300
MYX,21 Apr 2011,.565,.6,.565,.6,1066921
MYX,27 Apr 2011,.6,.63,.59,.595,817199
MYX,28 Apr 2011,.59,.6,.58,.58,144437
MYX,29 Apr 2011,.58,.59,.565,.565,258244
MYX,02 May 2011,.565,.565,.55,.55,191308
MYX,03 May 2011,.55,.55,.5,.51,2293954
MYX,04 May 2011,.535,.54,.51,.54,218371
MYX,05 May 2011,.54,.55,.54,.55,475700
MYX,06 May 2011,.55,.55,.525,.54,428109
MYX,09 May 2011,.545,.555,.545,.55,265489
MYX,10 May 2011,.55,.565,.55,.565,58414
MYX,11 May 2011,.57,.57,.56,.57,180646
MYX,12 May 2011,.565,.565,.55,.555,102463
MYX,13 May 2011,.55,.55,.53,.535,62643
MYX,16 May 2011,.525,.55,.525,.54,206900
MYX,17 May 2011,.535,.55,.535,.54,387000
MYX,18 May 2011,.535,.535,.53,.535,258729
MYX,19 May 2011,.53,.57,.53,.57,1348815
MYX,20 May 2011,.575,.615,.575,.615,617688
MYX,23 May 2011,.61,.61,.59,.6,199000
MYX,24 May 2011,.6,.6,.56,.585,207940
MYX,25 May 2011,.58,.58,.56,.56,521578
MYX,26 May 2011,.56,.56,.545,.545,174561
MYX,27 May 2011,.545,.55,.54,.55,404622
MYX,30 May 2011,.565,.565,.535,.535,189725
MYX,31 May 2011,.535,.535,.515,.525,479688
MYX,01 Jun 2011,.52,.52,.51,.51,369936
MYX,02 Jun 2011,.52,.52,.505,.515,68815
MYX,03 Jun 2011,.5,.54,.5,.54,179536
MYX,06 Jun 2011,.53,.54,.51,.51,111484
MYX,07 Jun 2011,.51,.515,.475,.51,302864
MYX,08 Jun 2011,.52,.52,.51,.51,135000
MYX,09 Jun 2011,.51,.515,.51,.51,156583
MYX,10 Jun 2011,.51,.545,.51,.54,350668
MYX,14 Jun 2011,.535,.535,.535,.535,20000
MYX,15 Jun 2011,.52,.525,.51,.51,57467
MYX,16 Jun 2011,.455,.48,.455,.48,343947
MYX,17 Jun 2011,.475,.48,.47,.475,79709
MYX,20 Jun 2011,.475,.475,.455,.46,481813
MYX,21 Jun 2011,.455,.47,.455,.47,55100
MYX,22 Jun 2011,.48,.48,.48,.48,23700
MYX,23 Jun 2011,.48,.48,.48,.48,53757
MYX,24 Jun 2011,.49,.51,.49,.51,64713
MYX,27 Jun 2011,.5,.51,.5,.51,56040
MYX,28 Jun 2011,.51,.51,.5,.5,43006
MYX,29 Jun 2011,.51,.51,.505,.51,312652
MYX,30 Jun 2011,.51,.525,.51,.52,55276
MYX,01 Jul 2011,.51,.51,.5,.51,120050
MYX,04 Jul 2011,.51,.51,.48,.48,425913
MYX,05 Jul 2011,.48,.48,.33,.4,5552805
MYX,06 Jul 2011,.4,.42,.4,.405,808635
MYX,07 Jul 2011,.405,.405,.4,.4,78500
MYX,08 Jul 2011,.4,.4,.39,.4,231522
MYX,11 Jul 2011,.39,.4,.38,.4,324316
MYX,12 Jul 2011,.38,.38,.355,.365,393895
MYX,13 Jul 2011,.37,.385,.365,.385,514775
MYX,14 Jul 2011,.385,.385,.365,.365,344866
MYX,15 Jul 2011,.37,.375,.365,.37,76063
MYX,18 Jul 2011,.37,.375,.36,.365,212549
MYX,19 Jul 2011,.365,.37,.35,.37,198389
