Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
NHC,08 Mar 2006,1.28,1.3,1.275,1.3,677486
NHC,09 Mar 2006,1.3,1.31,1.28,1.3,228027
NHC,10 Mar 2006,1.32,1.335,1.3,1.335,233659
NHC,08 May 2006,1.28,1.29,1.27,1.28,1412950
NHC,07 Aug 2007,2.04,2.08,2.04,2.04,150138
NHC,06 Aug 2007,2.09,2.11,2.04,2.08,111677
NHC,06 Jul 2007,2.09,2.09,2,2.05,143136
NHC,18 Jun 2007,1.98,2.02,1.965,1.985,85442
NHC,15 Jun 2007,1.98,1.98,1.93,1.93,683046
NHC,14 Jun 2007,1.995,2.04,1.955,2,220772
NHC,06 Jun 2007,1.85,1.93,1.78,1.87,565368
NHC,29 May 2007,1.68,1.7,1.68,1.695,634318
NHC,23 May 2007,1.63,1.68,1.63,1.65,436558
NHC,19 Apr 2007,1.57,1.61,1.57,1.59,181103
NHC,18 Apr 2007,1.605,1.605,1.57,1.57,59722
NHC,17 Apr 2007,1.625,1.625,1.605,1.61,136015
NHC,16 Apr 2007,1.61,1.625,1.6,1.61,210765
NHC,13 Apr 2007,1.57,1.625,1.57,1.615,400321
NHC,12 Apr 2007,1.53,1.585,1.53,1.575,147403
NHC,11 Apr 2007,1.6,1.6,1.58,1.6,101451
NHC,10 Apr 2007,1.59,1.6,1.55,1.6,224372
NHC,05 Apr 2007,1.58,1.6,1.57,1.58,372442
NHC,04 Apr 2007,1.52,1.58,1.51,1.57,471725
NHC,03 Apr 2007,1.51,1.53,1.495,1.53,176600
NHC,02 Apr 2007,1.53,1.53,1.46,1.51,97866
NHC,30 Mar 2007,1.46,1.525,1.46,1.525,466964
NHC,29 Mar 2007,1.435,1.46,1.4,1.45,274880
NHC,28 Mar 2007,1.41,1.465,1.405,1.465,270768
NHC,27 Mar 2007,1.39,1.44,1.39,1.41,120979
NHC,26 Mar 2007,1.43,1.45,1.42,1.43,172305
NHC,23 Mar 2007,1.43,1.435,1.4,1.4,62110
NHC,22 Mar 2007,1.39,1.43,1.39,1.43,92963
NHC,21 Mar 2007,1.44,1.445,1.39,1.39,25542
NHC,20 Mar 2007,1.415,1.46,1.415,1.44,71026
NHC,19 Mar 2007,1.37,1.405,1.365,1.405,77246
NHC,16 Mar 2007,1.39,1.4,1.365,1.37,188187
NHC,15 Mar 2007,1.35,1.39,1.35,1.38,156128
NHC,14 Mar 2007,1.35,1.375,1.34,1.34,330339
NHC,13 Mar 2007,1.36,1.37,1.355,1.355,478639
NHC,12 Mar 2007,1.36,1.36,1.355,1.355,343140
NHC,09 Mar 2007,1.375,1.375,1.355,1.355,340830
NHC,08 Mar 2007,1.36,1.4,1.355,1.375,74800
NHC,07 Mar 2007,1.42,1.43,1.355,1.355,141300
NHC,06 Mar 2007,1.43,1.43,1.415,1.42,19325
NHC,05 Mar 2007,1.36,1.37,1.34,1.345,156069
NHC,02 Mar 2007,1.42,1.42,1.355,1.355,128605
NHC,01 Mar 2007,1.45,1.45,1.44,1.44,87624
NHC,28 Feb 2007,1.44,1.48,1.44,1.45,149179
NHC,27 Feb 2007,1.5,1.5,1.465,1.485,217123
NHC,26 Feb 2007,1.5,1.51,1.495,1.5,370958
NHC,23 Feb 2007,1.465,1.47,1.44,1.44,105400
NHC,22 Feb 2007,1.52,1.55,1.465,1.47,333708
NHC,21 Feb 2007,1.5,1.53,1.49,1.53,236189
