Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ORG,07 Mar 2006,6.75,6.79,6.74,6.74,3179178
ORG,08 Mar 2006,6.75,6.76,6.7,6.7,4046870
ORG,09 Mar 2006,6.71,6.84,6.71,6.83,2357878
ORG,09 Aug 2007,9.6,9.65,9.39,9.45,4367792
ORG,05 Jul 2007,9.89,9.89,9.62,9.7,3764761
ORG,22 Jun 2007,9.6,9.7,9.59,9.66,2797573
ORG,08 Jun 2007,8.65,8.73,8.62,8.7,2794776
ORG,01 Jun 2007,8.79,8.87,8.75,8.85,2226698
ORG,22 May 2007,8.78,8.8,8.67,8.72,1830410
ORG,15 May 2007,8.87,8.89,8.81,8.81,2171308
ORG,18 Apr 2007,8.99,9.09,8.92,9.04,3684499
ORG,16 Apr 2007,9.15,9.29,9.12,9.16,2449405
ORG,13 Apr 2007,9.14,9.14,8.98,9.09,2735891
ORG,12 Apr 2007,8.91,9.17,8.9,9.08,3522507
ORG,11 Apr 2007,8.81,8.95,8.8,8.87,3016710
ORG,10 Apr 2007,8.76,8.92,8.76,8.87,3368239
ORG,05 Apr 2007,8.79,8.84,8.74,8.74,1187151
ORG,04 Apr 2007,8.95,8.98,8.83,8.85,2755867
ORG,03 Apr 2007,8.9,8.9,8.73,8.88,3037928
ORG,02 Apr 2007,9,9.01,8.77,8.83,1575195
ORG,30 Mar 2007,8.95,9.01,8.9,9.01,1747515
ORG,29 Mar 2007,8.7,8.98,8.7,8.89,2456275
ORG,28 Mar 2007,8.75,8.98,8.73,8.74,3002426
ORG,27 Mar 2007,8.85,8.85,8.73,8.75,2451178
ORG,26 Mar 2007,8.82,8.84,8.69,8.8,3127207
ORG,22 Mar 2007,8.79,8.82,8.7,8.8,3104406
ORG,21 Mar 2007,8.75,8.77,8.52,8.62,6114248
ORG,20 Mar 2007,8.8,8.89,8.65,8.66,3559994
ORG,19 Mar 2007,8.85,8.85,8.75,8.75,3327772
ORG,16 Mar 2007,9,9,8.84,8.94,2347292
