Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
OSH,07 Mar 2006,3.68,3.72,3.66,3.7,6034351
OSH,08 Mar 2006,3.64,3.64,3.6,3.6,4919349
OSH,09 Mar 2006,3.55,3.61,3.51,3.61,3049103
OSH,10 Mar 2006,3.6,3.7,3.59,3.67,3464718
OSH,13 Mar 2006,3.65,3.7,3.64,3.7,1847051
OSH,14 Mar 2006,3.75,3.76,3.71,3.73,5211794
OSH,15 Mar 2006,3.76,3.8,3.75,3.8,10846078
OSH,16 Mar 2006,3.85,3.89,3.81,3.89,11382732
OSH,17 Mar 2006,3.9,3.95,3.88,3.9,11430102
OSH,20 Mar 2006,3.9,3.95,3.88,3.91,5320035
OSH,21 Mar 2006,3.87,3.89,3.85,3.87,3922544
OSH,22 Mar 2006,3.88,4,3.88,4,5714181
OSH,23 Mar 2006,4,4,3.97,3.98,4769097
OSH,24 Mar 2006,4.01,4.03,3.95,3.96,6123486
OSH,24 Apr 2006,4.46,4.58,4.46,4.5,5075127
OSH,17 May 2006,4.18,4.3,4.18,4.24,3251471
OSH,18 May 2006,4.08,4.2,4.06,4.09,4219615
OSH,23 May 2006,3.94,3.97,3.88,3.89,3161210
OSH,06 Jun 2006,4.2,4.31,4.2,4.26,4521404
OSH,17 Aug 2006,3.32,3.47,3.32,3.42,20140735
OSH,20 Sep 2006,3.1,3.1,2.98,2.99,10499811
OSH,25 Sep 2006,3.14,3.18,3.05,3.12,8623262
OSH,26 Sep 2006,3.19,3.19,3.14,3.16,5936096
OSH,05 Oct 2006,3.26,3.37,3.24,3.36,9069726
OSH,06 Oct 2006,3.37,3.41,3.28,3.31,7549589
OSH,11 Oct 2006,3.28,3.32,3.27,3.29,7396644
OSH,13 Oct 2006,3.34,3.38,3.32,3.35,4772923
OSH,26 Oct 2006,3.51,3.54,3.47,3.5,8177684
OSH,27 Oct 2006,3.47,3.47,3.4,3.43,13337047
OSH,01 Nov 2006,3.41,3.43,3.37,3.37,5245551
OSH,02 Nov 2006,3.36,3.36,3.3,3.3,9398366
OSH,03 Nov 2006,3.3,3.35,3.27,3.33,3534229
OSH,08 Nov 2006,3.4,3.4,3.34,3.37,5716641
OSH,09 Nov 2006,3.37,3.41,3.34,3.37,3112986
OSH,15 Nov 2006,3.39,3.44,3.37,3.42,6017087
OSH,16 Nov 2006,3.4,3.4,3.31,3.32,6172014
OSH,20 Nov 2006,3.3,3.33,3.25,3.25,5552691
OSH,23 Nov 2006,3.32,3.32,3.27,3.29,6588118
OSH,27 Nov 2006,3.27,3.31,3.27,3.29,4420343
OSH,28 Nov 2006,3.29,3.3,3.25,3.25,5346799
OSH,29 Nov 2006,3.27,3.31,3.26,3.31,3320797
OSH,06 Dec 2006,3.3,3.35,3.3,3.35,11382749
OSH,08 Dec 2006,3.31,3.33,3.18,3.18,18362562
OSH,12 Dec 2006,3.2,3.21,3.11,3.16,9197550
OSH,15 Dec 2006,3.19,3.23,3.18,3.19,5713212
OSH,19 Dec 2006,3.21,3.23,3.17,3.22,6684048
OSH,04 Jan 2007,3.37,3.42,3.33,3.33,8480232
OSH,12 Jan 2007,3.2,3.27,3.19,3.27,4732143
OSH,18 Jan 2007,3.3,3.32,3.29,3.31,3528022
OSH,22 Jan 2007,3.27,3.31,3.27,3.28,3172869
OSH,29 Jan 2007,3.45,3.46,3.37,3.38,2950515
OSH,02 Feb 2007,3.59,3.6,3.5,3.53,9978515
OSH,06 Feb 2007,3.65,3.71,3.62,3.66,10051959
OSH,07 Feb 2007,3.66,3.66,3.59,3.61,4203316
OSH,10 May 2007,3.79,3.89,3.72,3.88,17971702
OSH,21 May 2007,3.98,4.03,3.93,4,7339817
