Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
REG,07 Oct 2014,3.85,4.03,3.85,4.02,8989345
REG,08 Oct 2014,3.95,4.02,3.91,4,2265741
REG,09 Oct 2014,4,4.09,3.995,4,1704530
REG,10 Oct 2014,3.98,4.01,3.94,4.01,809605
REG,13 Oct 2014,4,4.01,3.98,4,781379
REG,14 Oct 2014,4,4.02,4,4.01,537672
REG,15 Oct 2014,4.03,4.07,4.01,4.07,377077
REG,16 Oct 2014,4.08,4.1,4.02,4.06,188349
REG,17 Oct 2014,4.08,4.14,4.08,4.1,757289
REG,20 Oct 2014,4.1,4.14,4.08,4.09,517868
REG,21 Oct 2014,4.1,4.1,4,4.01,751431
REG,22 Oct 2014,4.05,4.14,4.05,4.1,1000402
REG,23 Oct 2014,4.1,4.19,4.08,4.14,1028621
REG,24 Oct 2014,4.15,4.2,4.14,4.18,1413182
REG,27 Oct 2014,4.17,4.21,4.14,4.18,608142
REG,28 Oct 2014,4.2,4.26,4.17,4.26,774993
REG,29 Oct 2014,4.25,4.44,4.2,4.27,393168
REG,30 Oct 2014,4.25,4.25,4.16,4.16,319916
REG,31 Oct 2014,4.28,4.28,4.2,4.25,632016
REG,03 Nov 2014,4.26,4.26,4.21,4.25,278194
REG,04 Nov 2014,4.21,4.25,4.21,4.24,393336
REG,05 Nov 2014,4.24,4.26,4.23,4.26,184868
REG,06 Nov 2014,4.26,4.26,4.21,4.22,1192598
REG,07 Nov 2014,4.24,4.26,4.16,4.2,374064
REG,10 Nov 2014,4.25,4.27,4.22,4.25,535984
REG,11 Nov 2014,4.25,4.255,4.19,4.22,139772
REG,12 Nov 2014,4.24,4.25,4.23,4.25,507843
REG,13 Nov 2014,4.23,4.23,4.15,4.16,173663
REG,14 Nov 2014,4.16,4.18,4.12,4.18,112314
REG,15 Nov 2014,4.16,4.18,4.12,4.18,112314
REG,17 Nov 2014,4.19,4.2,4.12,4.19,187029
REG,18 Nov 2014,4.18,4.19,4.15,4.16,740405
REG,19 Nov 2014,4.17,4.19,4.14,4.15,1495087
REG,20 Nov 2014,4.15,4.21,4.15,4.21,875304
REG,21 Nov 2014,4.22,4.28,4.2,4.25,204069
REG,24 Nov 2014,4.26,4.29,4.16,4.17,920506
REG,25 Nov 2014,4.24,4.25,4.07,4.21,853062
REG,26 Nov 2014,4.22,4.25,4.21,4.21,302435
REG,27 Nov 2014,4.2,4.22,4.19,4.2,306953
REG,28 Nov 2014,4.23,4.23,4.18,4.2,499243
REG,01 Dec 2014,4.25,4.25,4.03,4.1,805458
REG,02 Dec 2014,4.12,4.24,4.12,4.21,1117605
REG,03 Dec 2014,4.21,4.23,4.04,4.06,1617241
REG,04 Dec 2014,4.15,4.15,3.75,3.8,1758584
REG,05 Dec 2014,3.89,3.93,3.82,3.87,4326829
REG,08 Dec 2014,3.95,4.01,3.91,3.99,1028557
REG,09 Dec 2014,4.02,4.02,3.9,3.92,228964
REG,10 Dec 2014,3.93,4.1,3.93,4.06,423172
REG,11 Dec 2014,4,4.06,3.96,4.02,1190628
REG,12 Dec 2014,4.02,4.19,4.02,4.14,325295
REG,15 Dec 2014,4.19,4.19,4.07,4.1,359441
REG,16 Dec 2014,4.08,4.17,4,4.1,339452
REG,17 Dec 2014,4.09,4.17,4.07,4.07,270917
REG,18 Dec 2014,4.09,4.18,4.05,4.1,316308
REG,19 Dec 2014,4.17,4.19,4.1,4.19,269471
REG,22 Dec 2014,4.19,4.19,4.08,4.19,202282
REG,23 Dec 2014,4.18,4.18,4.07,4.11,84458
REG,24 Dec 2014,4.1,4.16,4.07,4.09,56727
REG,29 Dec 2014,4.12,4.15,4.11,4.15,129888
REG,30 Dec 2014,4.17,4.18,4.1,4.1,75409
REG,31 Dec 2014,4.09,4.1,4.06,4.06,38919
REG,02 Jan 2015,4.05,4.1,4,4.05,91800
REG,05 Jan 2015,4.07,4.19,4.07,4.15,325587
REG,06 Jan 2015,4.13,4.17,4.12,4.15,1171906
REG,07 Jan 2015,4.15,4.18,4.14,4.15,524289
REG,08 Jan 2015,4.16,4.19,4.12,4.19,164829
REG,09 Jan 2015,4.19,4.19,4.12,4.16,299337
REG,12 Jan 2015,4.15,4.16,4.12,4.12,151919
REG,13 Jan 2015,4.11,4.15,4.11,4.11,111951
REG,14 Jan 2015,4.11,4.14,4.1,4.14,277588
REG,15 Jan 2015,4.12,4.15,4.1,4.1,250359
REG,16 Jan 2015,4.09,4.09,3.99,4,286109
REG,19 Jan 2015,4,4.01,3.91,3.91,365145
REG,20 Jan 2015,3.95,3.96,3.93,3.95,1394863
REG,21 Jan 2015,3.95,4.02,3.93,3.97,1215838
REG,22 Jan 2015,4.01,4.13,4.01,4.09,268371
REG,23 Jan 2015,4.1,4.16,4.1,4.14,368851
REG,27 Jan 2015,4.13,4.16,4.11,4.11,529490
REG,28 Jan 2015,4.1,4.215,4.1,4.19,441388
REG,29 Jan 2015,4.17,4.4,4.16,4.29,383929
REG,30 Jan 2015,4.29,4.38,4.26,4.37,390655
REG,02 Feb 2015,4.38,4.38,4.33,4.38,191277
REG,03 Feb 2015,4.37,4.39,4.3,4.39,294739
REG,04 Feb 2015,4.39,4.54,4.34,4.53,388556
REG,05 Feb 2015,4.55,4.58,4.51,4.52,491205
REG,06 Feb 2015,4.55,4.55,4.39,4.45,725392
REG,09 Feb 2015,4.45,4.46,4.36,4.4,445926
REG,10 Feb 2015,4.4,4.46,4.4,4.46,796490
REG,11 Feb 2015,4.48,4.49,4.39,4.4,428034
REG,12 Feb 2015,4.44,4.45,4.39,4.41,672325
REG,13 Feb 2015,4.44,4.46,4.38,4.4,190316
REG,16 Feb 2015,4.45,4.55,4.42,4.5,663501
REG,17 Feb 2015,4.48,4.5,4.42,4.44,699983
REG,18 Feb 2015,4.49,4.55,4.46,4.46,471092
REG,19 Feb 2015,4.46,4.58,4.46,4.55,347707
REG,20 Feb 2015,4.85,5.14,4.85,5.13,426243
REG,23 Feb 2015,5.18,5.65,5.18,5.41,591267
REG,24 Feb 2015,5.37,5.47,5.2,5.36,573047
