Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
RHC,07 Mar 2006,10.5,10.53,10.24,10.39,191722
RHC,08 Mar 2006,10.27,10.46,10.2,10.32,146616
RHC,09 Mar 2006,10.32,10.4,10.26,10.3,343783
RHC,14 Mar 2006,10.33,10.39,10.32,10.38,866634
RHC,15 Mar 2006,10.4,10.55,10.3,10.4,491648
RHC,16 Mar 2006,10.4,10.42,10.32,10.32,891131
RHC,20 Mar 2006,10.41,10.49,10.34,10.38,371159
RHC,21 Mar 2006,10.37,10.37,10.17,10.3,335203
RHC,22 Mar 2006,10.35,10.35,10.18,10.28,410441
RHC,27 Mar 2006,10.2,10.2,9.9,9.9,299938
RHC,28 Mar 2006,10.01,10.2,10.01,10.15,732902
RHC,29 Mar 2006,10.13,10.24,10.04,10.04,315359
RHC,31 Mar 2006,10.01,10.13,9.96,10,240669
RHC,03 Apr 2006,10,10.45,10,10.34,249959
RHC,04 Apr 2006,10.3,10.3,10.1,10.18,258408
RHC,05 Apr 2006,10.28,10.35,10.19,10.23,755907
RHC,07 Apr 2006,10.25,10.32,10.19,10.25,240678
RHC,11 Apr 2006,10.25,10.29,10.01,10.12,420199
RHC,13 Apr 2006,10.25,10.55,10.25,10.5,155093
RHC,18 Apr 2006,10.6,10.8,10.41,10.77,325077
RHC,21 Apr 2006,10.58,10.58,10.3,10.3,353187
RHC,24 Apr 2006,10.4,10.51,10.39,10.4,268664
RHC,26 Apr 2006,10.5,10.9,10.5,10.8,363399
RHC,28 Apr 2006,10.61,10.79,10.56,10.61,165816
RHC,02 May 2006,10.9,10.93,10.72,10.79,544999
RHC,03 May 2006,10.78,10.78,10.45,10.51,344799
RHC,04 May 2006,10.51,10.68,10.47,10.49,115502
RHC,05 May 2006,10.75,10.8,10.55,10.8,153928
RHC,08 May 2006,10.89,10.9,10.65,10.65,144450
RHC,09 May 2006,10.78,10.99,10.65,10.9,450532
RHC,10 May 2006,10.98,10.98,10.72,10.75,240688
RHC,11 May 2006,10.79,10.88,10.72,10.8,171368
RHC,12 May 2006,10.7,10.7,10.53,10.6,377621
RHC,15 May 2006,10.54,10.6,10.4,10.5,226662
RHC,16 May 2006,10.5,10.57,10.41,10.5,294902
RHC,17 May 2006,10.5,10.79,10.45,10.75,455510
RHC,18 May 2006,10.66,10.66,10.41,10.43,342257
RHC,23 May 2006,10.5,10.73,10.49,10.49,405326
RHC,24 May 2006,10.41,10.5,10.11,10.25,409131
RHC,26 May 2006,10.15,10.21,10.02,10.1,288181
RHC,29 May 2006,10.25,10.39,10.06,10.13,270701
