Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
RMD,07 Mar 2006,5.3,5.34,5.3,5.3,775534
RMD,08 Mar 2006,5.28,5.38,5.27,5.33,544173
RMD,09 Mar 2006,5.42,5.51,5.41,5.51,1115359
RMD,23 Nov 2006,6.23,6.31,6.19,6.25,2306938
RMD,20 Aug 2007,5.1,5.22,5.01,5.22,3329924
RMD,13 Aug 2007,5.14,5.17,5.06,5.08,5495275
RMD,08 Aug 2007,4.98,4.99,4.79,4.9,12121314
RMD,01 Aug 2007,5.04,5.08,4.88,4.96,2260063
RMD,30 Jul 2007,4.99,5,4.94,4.99,2585150
RMD,27 Jul 2007,4.86,5.01,4.86,5,8958338
RMD,25 Jul 2007,4.77,4.8,4.76,4.77,2034504
RMD,23 Jul 2007,4.74,4.75,4.7,4.72,932367
RMD,20 Jul 2007,4.73,4.73,4.69,4.73,3442207
RMD,17 Jul 2007,4.71,4.71,4.6,4.65,1786394
RMD,12 Jul 2007,4.77,4.79,4.68,4.7,1828524
RMD,11 Jul 2007,4.8,4.82,4.7,4.73,2211089
RMD,09 Jul 2007,4.91,4.92,4.87,4.91,2040548
RMD,11 Sep 2007,5.16,5.23,5.16,5.18,1544555
RMD,05 Jul 2007,4.88,4.94,4.86,4.92,1244107
RMD,04 Jul 2007,4.85,4.88,4.8,4.86,1010536
RMD,02 Jul 2007,4.9,4.95,4.82,4.87,3580815
RMD,29 Jun 2007,4.88,4.9,4.78,4.83,5972977
RMD,27 Jun 2007,4.91,4.94,4.85,4.85,7596402
RMD,25 Jun 2007,4.96,4.96,4.89,4.94,7280467
RMD,22 Jun 2007,5.05,5.07,5.02,5.04,4171910
RMD,15 Jun 2007,5.16,5.29,5.16,5.19,29278178
RMD,14 Jun 2007,5.15,5.17,5.06,5.09,7091880
RMD,13 Jun 2007,5.11,5.16,5.03,5.08,3323842
RMD,08 Jun 2007,5.16,5.22,5.15,5.2,4658902
RMD,07 Jun 2007,5.22,5.26,5.18,5.23,3138496
RMD,06 Jun 2007,5.4,5.42,5.23,5.3,7931059
RMD,05 Jun 2007,5.45,5.46,5.37,5.37,2664761
RMD,04 Jun 2007,5.5,5.53,5.49,5.53,2686984
RMD,01 Jun 2007,5.44,5.51,5.4,5.48,1977863
RMD,30 May 2007,5.48,5.5,5.32,5.36,2242897
RMD,29 May 2007,5.45,5.54,5.43,5.53,1468762
RMD,28 May 2007,5.45,5.5,5.44,5.47,3144359
RMD,25 May 2007,5.43,5.49,5.4,5.45,2679261
RMD,24 May 2007,5.5,5.57,5.46,5.48,3471216
RMD,23 May 2007,5.45,5.58,5.45,5.55,4347476
RMD,21 May 2007,5.34,5.38,5.33,5.36,5533684
RMD,18 May 2007,5.3,5.31,5.27,5.28,2216365
RMD,16 May 2007,5.31,5.32,5.28,5.3,4390390
RMD,14 May 2007,5.37,5.46,5.35,5.41,7015636
RMD,11 May 2007,5.29,5.36,5.25,5.35,4791704
RMD,10 May 2007,5.32,5.32,5.26,5.29,6395738
RMD,07 May 2007,5.25,5.27,5.23,5.26,2343761
RMD,04 May 2007,5.25,5.29,5.23,5.25,5335310
RMD,02 May 2007,5.08,5.25,5.06,5.25,10436620
RMD,01 May 2007,5.13,5.17,5.09,5.11,8275353
RMD,30 Apr 2007,5.27,5.27,5.2,5.22,4960261
RMD,27 Apr 2007,5.25,5.35,5.22,5.34,6260770
RMD,26 Apr 2007,5.2,5.3,5.16,5.2,14953606
RMD,24 Apr 2007,4.99,5.16,4.85,5.08,24845416
RMD,23 Apr 2007,5.84,5.92,5.78,5.92,7120960
RMD,20 Apr 2007,5.62,5.77,5.62,5.76,8662355
RMD,19 Apr 2007,5.73,5.74,5.59,5.6,6047645
RMD,18 Apr 2007,5.8,5.8,5.7,5.73,7737385
RMD,17 Apr 2007,5.96,5.97,5.87,5.91,3075456
RMD,16 Apr 2007,5.95,6.06,5.95,6.03,1449890
RMD,13 Apr 2007,6.01,6.03,5.9,5.9,2263956
RMD,12 Apr 2007,6.07,6.07,6,6.02,2396324
RMD,11 Apr 2007,6.14,6.21,6.11,6.14,2061317
RMD,10 Apr 2007,6.26,6.27,6.2,6.24,1682960
RMD,05 Apr 2007,6.14,6.17,6.13,6.16,2206618
RMD,04 Apr 2007,6.25,6.28,6.2,6.26,1792687
RMD,03 Apr 2007,6.13,6.14,6.07,6.13,1150281
RMD,02 Apr 2007,6.18,6.19,6.1,6.13,1250055
RMD,30 Mar 2007,6.24,6.26,6.16,6.24,3300710
RMD,29 Mar 2007,6.25,6.35,6.25,6.31,1822352
RMD,28 Mar 2007,6.26,6.29,6.25,6.25,2337743
RMD,27 Mar 2007,6.35,6.38,6.26,6.33,2183067
RMD,26 Mar 2007,6.33,6.39,6.3,6.36,2608562
RMD,23 Mar 2007,6.14,6.32,6.12,6.24,3494955
RMD,22 Mar 2007,6.07,6.13,6.05,6.1,1600127
RMD,21 Mar 2007,6.04,6.04,5.9,5.91,2777229
RMD,20 Mar 2007,6.05,6.07,5.94,5.95,2153289
RMD,19 Mar 2007,5.97,6.08,5.97,6.05,1986991
RMD,16 Mar 2007,6.05,6.12,5.97,6.06,1603587
RMD,15 Mar 2007,6.05,6.07,5.98,6,4295568
RMD,14 Mar 2007,6.06,6.06,5.95,5.95,1515052
RMD,13 Mar 2007,6.15,6.18,6.07,6.12,3513530
RMD,12 Mar 2007,6.05,6.12,6.05,6.1,1689377
RMD,09 Mar 2007,6.07,6.09,6.02,6.07,2600661
RMD,08 Mar 2007,5.97,6.06,5.95,6.06,3223780
RMD,07 Mar 2007,6.01,6.17,5.97,6.1,1689678
RMD,06 Mar 2007,5.81,5.95,5.8,5.91,2648653
RMD,05 Mar 2007,5.9,5.9,5.81,5.86,1228863
RMD,02 Mar 2007,5.95,5.98,5.91,5.94,2697132
RMD,01 Mar 2007,6.09,6.1,5.97,6.05,1952175
RMD,28 Feb 2007,5.9,6.08,5.85,6.07,3705024
RMD,27 Feb 2007,6.12,6.19,6.11,6.12,2568486
RMD,26 Feb 2007,6.24,6.26,6.17,6.22,2240857
RMD,23 Feb 2007,6.28,6.34,6.24,6.31,2776089
RMD,22 Feb 2007,6.25,6.35,6.22,6.28,2046949
RMD,21 Feb 2007,6.31,6.36,6.27,6.3,1352678
RMD,20 Feb 2007,6.35,6.37,6.27,6.31,895710
RMD,19 Feb 2007,6.34,6.4,6.26,6.3,2344175
RMD,16 Feb 2007,6.43,6.43,6.35,6.35,4113085
RMD,15 Feb 2007,6.37,6.54,6.34,6.47,4366842
RMD,14 Feb 2007,6.34,6.38,6.27,6.31,4601012
RMD,08 Jan 2008,5.56,5.63,5.52,5.55,1917903
RMD,13 Feb 2007,6.34,6.41,6.32,6.33,2592932
RMD,12 Feb 2007,6.24,6.37,6.17,6.33,3465084
RMD,09 Feb 2007,6.44,6.44,6.31,6.35,3168858
RMD,08 Feb 2007,6.44,6.57,6.44,6.5,6470936
RMD,07 Feb 2007,6.78,6.78,6.4,6.7,8209656
RMD,06 Feb 2007,6.96,7.01,6.95,7,2411384
RMD,05 Feb 2007,6.95,6.97,6.88,6.92,2533907
RMD,02 Feb 2007,6.7,6.83,6.7,6.75,1273330
RMD,01 Feb 2007,6.74,6.8,6.63,6.68,1393527
RMD,31 Jan 2007,6.85,6.87,6.73,6.73,1578873
RMD,30 Jan 2007,6.7,7.04,6.7,6.86,1546016
RMD,29 Jan 2007,6.78,6.78,6.63,6.68,752913
RMD,25 Jan 2007,6.82,6.82,6.7,6.73,2579322
RMD,24 Jan 2007,6.77,6.87,6.73,6.87,1605527
RMD,23 Jan 2007,6.62,6.76,6.62,6.7,1354721
RMD,22 Jan 2007,6.64,6.66,6.57,6.63,1333481
RMD,19 Jan 2007,6.56,6.65,6.51,6.62,1753313
RMD,18 Jan 2007,6.72,6.8,6.56,6.64,2682768
RMD,17 Jan 2007,6.7,6.71,6.65,6.65,1494795
RMD,16 Jan 2007,6.89,6.94,6.8,6.8,2042953
RMD,15 Jan 2007,6.8,6.87,6.76,6.87,1942866
RMD,12 Jan 2007,6.48,6.73,6.48,6.64,3957884
RMD,11 Jan 2007,6.33,6.39,6.33,6.35,1388870
RMD,10 Jan 2007,6.44,6.44,6.32,6.35,4021324
RMD,09 Jan 2007,6.43,6.46,6.4,6.44,2385242
RMD,08 Jan 2007,6.22,6.39,6.22,6.38,3359729
RMD,05 Jan 2007,6.3,6.32,6.26,6.3,3317656
RMD,04 Jan 2007,6.25,6.36,6.25,6.35,718058
RMD,03 Jan 2007,6.28,6.33,6.27,6.29,761256
RMD,02 Jan 2007,6.29,6.29,6.25,6.26,498185
RMD,29 Dec 2006,6.3,6.35,6.26,6.33,320398
RMD,28 Dec 2006,6.39,6.39,6.3,6.36,290949
RMD,27 Dec 2006,6.41,6.43,6.35,6.43,105099
RMD,22 Dec 2006,6.25,6.33,6.22,6.33,353852
RMD,21 Dec 2006,6.38,6.38,6.22,6.25,3707693
RMD,20 Dec 2006,6.38,6.42,6.31,6.38,1544263
RMD,19 Dec 2006,6.45,6.47,6.36,6.38,1008594
RMD,18 Dec 2006,6.37,6.43,6.37,6.42,2162252
RMD,15 Dec 2006,6.38,6.44,6.32,6.32,1911894
RMD,14 Dec 2006,6.36,6.43,6.35,6.4,1610413
RMD,13 Dec 2006,6.35,6.38,6.26,6.28,2460139
RMD,12 Dec 2006,6.41,6.43,6.3,6.35,1548706
RMD,11 Dec 2006,6.41,6.42,6.38,6.4,916691
RMD,11 Mar 2008,4.34,4.34,4.19,4.24,1890351
RMD,12 Mar 2008,4.29,4.46,4.28,4.4,4007814
RMD,08 Dec 2006,6.3,6.37,6.24,6.33,939760
RMD,14 Mar 2008,4.41,4.58,4.4,4.5,2066319
RMD,17 Mar 2008,4.56,4.57,4.34,4.39,1840654
RMD,18 Mar 2008,4.29,4.37,4.23,4.27,1070978
RMD,07 Dec 2006,6.47,6.47,6.36,6.38,823891
RMD,06 Dec 2006,6.43,6.47,6.41,6.46,3323929
RMD,05 Dec 2006,6.38,6.44,6.38,6.42,935972
RMD,04 Dec 2006,6.27,6.35,6.27,6.31,782890
RMD,01 Dec 2006,6.38,6.38,6.26,6.28,830350
RMD,30 Nov 2006,6.4,6.44,6.35,6.42,1809626
RMD,29 Nov 2006,6.4,6.47,6.32,6.47,1730267
RMD,28 Nov 2006,6.24,6.35,6.24,6.34,1472460
RMD,27 Nov 2006,6.23,6.37,6.23,6.34,1409414
RMD,24 Nov 2006,6.25,6.31,6.2,6.28,694813
RMD,22 Nov 2006,6.33,6.34,6.23,6.29,2989857
RMD,21 Nov 2006,6.37,6.37,6.24,6.3,1186835
RMD,20 Nov 2006,6.42,6.48,6.3,6.33,2091702
RMD,17 Nov 2006,6.36,6.4,6.32,6.37,1561557
RMD,16 Nov 2006,6.33,6.42,6.31,6.31,2156398
RMD,15 Nov 2006,6.26,6.35,6.25,6.3,7601269
RMD,14 Nov 2006,6.12,6.23,6.12,6.2,5954440
RMD,13 Nov 2006,6,6.06,5.96,6.05,6220575
RMD,10 Nov 2006,6.1,6.15,6.05,6.08,7748108
RMD,09 Nov 2006,5.88,6.08,5.88,6.06,5202838
RMD,08 Nov 2006,5.7,5.79,5.68,5.74,3868256
RMD,07 Nov 2006,5.8,5.97,5.8,5.92,4009119
RMD,06 Nov 2006,5.68,5.8,5.68,5.79,1562625
RMD,03 Nov 2006,5.7,5.71,5.63,5.69,2451181
RMD,02 Nov 2006,5.67,5.77,5.61,5.74,1337185
RMD,01 Nov 2006,5.7,5.75,5.66,5.74,3328681
RMD,31 Oct 2006,5.75,5.8,5.71,5.75,5943064
RMD,30 Oct 2006,5.77,5.8,5.75,5.77,7372570
RMD,27 Oct 2006,5.8,5.94,5.8,5.85,5569612
RMD,26 Oct 2006,5.67,5.68,5.55,5.65,5994114
RMD,25 Oct 2006,5.63,5.75,5.63,5.69,9666236
RMD,24 Oct 2006,5.47,5.67,5.46,5.59,7856509
RMD,23 Oct 2006,5.39,5.47,5.39,5.45,3639783
RMD,20 Oct 2006,5.39,5.39,5.35,5.37,3151415
RMD,19 Oct 2006,5.37,5.39,5.31,5.35,3116708
RMD,18 Oct 2006,5.33,5.34,5.29,5.3,1918772
RMD,17 Oct 2006,5.31,5.35,5.29,5.33,4263422
RMD,16 Oct 2006,5.32,5.37,5.3,5.33,1750066
RMD,13 Oct 2006,5.37,5.37,5.29,5.35,1611889
RMD,12 Oct 2006,5.36,5.4,5.28,5.29,5011740
RMD,11 Oct 2006,5.36,5.43,5.36,5.4,1484677
RMD,10 Oct 2006,5.4,5.44,5.37,5.38,1625775
RMD,09 Oct 2006,5.46,5.48,5.35,5.38,2142829
RMD,06 Oct 2006,5.46,5.47,5.42,5.47,2172118
RMD,05 Oct 2006,5.5,5.51,5.41,5.44,1849064
RMD,04 Oct 2006,5.39,5.46,5.37,5.41,1774044
RMD,03 Oct 2006,5.3,5.3,5.23,5.28,2573831
RMD,02 Oct 2006,5.42,5.43,5.36,5.4,929485
RMD,29 Sep 2006,5.38,5.41,5.32,5.4,1160371
RMD,28 Sep 2006,5.29,5.4,5.29,5.35,2858742
RMD,27 Sep 2006,5.15,5.23,5.13,5.23,2569447
RMD,26 Sep 2006,5.2,5.22,5.18,5.21,2298123
RMD,25 Sep 2006,5.31,5.31,5.26,5.31,1193358
RMD,22 Sep 2006,5.28,5.35,5.28,5.32,3585722
RMD,21 Sep 2006,5.37,5.38,5.31,5.35,4930895
RMD,20 Sep 2006,5.35,5.37,5.33,5.34,2255928
RMD,19 Sep 2006,5.37,5.45,5.37,5.44,3013386
RMD,18 Sep 2006,5.33,5.38,5.32,5.38,1638831
RMD,15 Sep 2006,5.34,5.36,5.32,5.34,1901623
RMD,14 Sep 2006,5.37,5.37,5.32,5.36,3191529
RMD,13 Sep 2006,5.32,5.41,5.32,5.39,1891047
RMD,12 Sep 2006,5.23,5.26,5.21,5.25,4865246
RMD,11 Sep 2006,5.38,5.46,5.38,5.4,1393445
RMD,08 Sep 2006,5.24,5.38,5.24,5.35,3349743
RMD,07 Sep 2006,5.27,5.32,5.22,5.29,2695686
RMD,06 Sep 2006,5.4,5.4,5.34,5.36,2563936
RMD,05 Sep 2006,5.49,5.49,5.41,5.42,1234557
RMD,04 Sep 2006,5.38,5.55,5.32,5.49,1921503
RMD,01 Sep 2006,5.37,5.39,5.35,5.37,867028
RMD,31 Aug 2006,5.31,5.37,5.31,5.37,2647620
RMD,30 Aug 2006,5.32,5.33,5.29,5.31,1630321
RMD,29 Aug 2006,5.3,5.35,5.28,5.33,955160
RMD,28 Aug 2006,5.21,5.26,5.2,5.26,554750
RMD,25 Aug 2006,5.25,5.26,5.18,5.18,2741273
RMD,24 Aug 2006,5.25,5.3,5.22,5.28,2747553
RMD,23 Aug 2006,5.24,5.38,5.21,5.34,3240142
RMD,22 Aug 2006,5.53,5.56,5.45,5.48,2992681
RMD,21 Aug 2006,5.69,5.76,5.67,5.7,672877
RMD,18 Aug 2006,5.9,5.98,5.67,5.76,2702975
RMD,17 Aug 2006,6.03,6.22,6.02,6.2,1342966
RMD,16 Aug 2006,6.09,6.09,6,6,865182
RMD,15 Aug 2006,6.01,6.02,5.91,6,1036259
RMD,14 Aug 2006,5.85,5.98,5.85,5.91,582806
RMD,11 Aug 2006,5.85,5.91,5.84,5.88,306358
RMD,10 Aug 2006,5.87,5.88,5.82,5.83,657818
RMD,09 Aug 2006,6,6,5.81,5.86,1401969
RMD,08 Aug 2006,5.89,6.06,5.89,6.02,954198
RMD,07 Aug 2006,5.95,5.98,5.93,5.95,372926
RMD,04 Aug 2006,6.01,6.04,5.92,6,627705
RMD,03 Aug 2006,5.94,5.94,5.9,5.93,259405
RMD,02 Aug 2006,6,6,5.91,5.91,1103086
RMD,01 Aug 2006,6.04,6.1,6.04,6.05,257321
RMD,31 Jul 2006,6.08,6.15,6.08,6.11,711164
RMD,28 Jul 2006,5.96,6.03,5.94,5.99,1706326
RMD,27 Jul 2006,5.92,6.04,5.91,6.04,831905
RMD,26 Jul 2006,6.05,6.05,5.95,6,791457
RMD,25 Jul 2006,6.07,6.1,5.99,6.07,827324
RMD,24 Jul 2006,6.03,6.06,5.94,6.05,516151
RMD,21 Jul 2006,6.14,6.14,6.04,6.04,526060
RMD,20 Jul 2006,6.15,6.18,6.08,6.14,701613
RMD,19 Jul 2006,5.95,6.02,5.93,5.98,948141
RMD,18 Jul 2006,5.8,5.88,5.8,5.81,1005806
RMD,17 Jul 2006,5.89,5.89,5.77,5.88,431949
RMD,14 Jul 2006,5.93,6.04,5.92,5.92,965540
RMD,13 Jul 2006,6.03,6.04,5.97,5.98,740983
RMD,12 Jul 2006,6.15,6.15,6.06,6.06,1162902
RMD,11 Jul 2006,6.22,6.24,6.17,6.2,1250555
RMD,10 Jul 2006,6.39,6.39,6.21,6.35,790172
RMD,07 Jul 2006,6.48,6.49,6.39,6.4,505366
RMD,06 Jul 2006,6.39,6.42,6.35,6.42,1611887
RMD,05 Jul 2006,6.42,6.42,6.36,6.4,301582
RMD,04 Jul 2006,6.5,6.52,6.38,6.42,863877
RMD,03 Jul 2006,6.32,6.36,6.28,6.35,1601995
RMD,30 Jun 2006,6.21,6.29,6.16,6.2,1261942
RMD,29 Jun 2006,6.05,6.11,6.05,6.11,634853
RMD,28 Jun 2006,6.04,6.04,5.96,5.99,637673
RMD,27 Jun 2006,6.04,6.1,6.03,6.04,704827
RMD,26 Jun 2006,6.02,6.04,5.93,5.97,548199
RMD,23 Jun 2006,6.05,6.05,5.98,5.99,364657
RMD,22 Jun 2006,6.03,6.11,5.98,6.05,615100
RMD,21 Jun 2006,5.97,5.99,5.94,5.98,313140
RMD,20 Jun 2006,5.96,5.97,5.89,5.91,999240
RMD,19 Jun 2006,5.99,6.07,5.97,5.97,976583
RMD,16 Jun 2006,6,6.02,5.94,6,1220186
RMD,15 Jun 2006,6,6,5.93,5.96,4813106
RMD,14 Jun 2006,5.84,5.9,5.79,5.89,1011220
RMD,17 Sep 2008,5.96,5.96,5.84,5.89,2144528
RMD,13 Jun 2006,5.96,5.96,5.87,5.9,1606778
RMD,09 Jun 2006,5.94,6.05,5.94,6.02,2916024
RMD,08 Jun 2006,5.89,5.96,5.8,5.8,1401514
RMD,07 Jun 2006,5.89,6,5.86,5.94,1067413
RMD,06 Jun 2006,5.91,5.94,5.84,5.85,923751
