Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
SHV,07 Mar 2006,14.45,14.45,14.45,14.45,2138
SHV,08 Mar 2006,14.5,14.5,14.43,14.5,11710
SHV,09 Mar 2006,14.5,14.65,14.44,14.5,17868
SHV,10 Mar 2006,14.55,14.55,14.2,14.2,9805
SHV,13 Mar 2006,14.47,14.47,13.75,13.75,5432
SHV,14 Mar 2006,14,14.05,14,14,3360
SHV,15 Mar 2006,14,14.2,13.8,14.2,12528
SHV,16 Mar 2006,14.2,14.3,14,14.3,6395
SHV,17 Mar 2006,14.2,14.2,14.1,14.1,5145
SHV,20 Mar 2006,14.05,14.15,14,14,6123
SHV,17 May 2006,14,14.1,14,14,3947
SHV,11 Aug 2006,12.98,12.98,12.95,12.95,3215
SHV,17 Apr 2007,11.5,11.78,11.5,11.78,66324
SHV,06 Aug 2007,10.21,10.25,10.17,10.18,5288
SHV,11 May 2007,10.1,10.1,10,10.01,28021
SHV,08 May 2007,10.19,10.2,10,10.17,35115
SHV,28 Mar 2007,11,11.05,10.93,11,34349
SHV,21 Mar 2007,10.25,10.38,10.24,10.24,4844
SHV,12 Mar 2007,10.2,10.2,9.95,10,23810
SHV,08 Mar 2007,10.3,10.35,10.26,10.26,65928
SHV,05 Mar 2007,10.06,10.1,9.98,9.98,84277
SHV,27 Feb 2007,10.35,10.35,10.22,10.25,68833
SHV,12 Feb 2007,11.2,11.5,11.15,11.5,267004
SHV,02 Feb 2007,13.1,13.2,13.05,13.2,2340
SHV,22 Jan 2007,12.9,12.9,12.89,12.9,6248
SHV,17 Jan 2007,12.76,12.92,12.75,12.9,126613
SHV,12 Jan 2007,12.65,12.7,12.6,12.65,10346
SHV,08 Jan 2007,12.7,12.7,12.6,12.64,7580
SHV,04 Jan 2007,12.92,12.92,12.75,12.8,17015
SHV,02 Jan 2007,12.92,12.92,12.8,12.8,18265
SHV,29 Dec 2006,12.91,12.91,12.91,12.91,1500
SHV,28 Dec 2006,12.91,13,12.9,12.9,21502
SHV,27 Dec 2006,12.95,13,12.9,12.9,5914
SHV,22 Dec 2006,13.01,13.05,13,13,21656
SHV,18 Dec 2006,13,13,12.99,13,13702
SHV,15 Dec 2006,12.96,12.96,12.92,12.92,6460
SHV,14 Dec 2006,12.88,13,12.88,13,43075
SHV,07 Dec 2006,12.85,12.88,12.81,12.81,9230
SHV,06 Dec 2006,13.11,13.11,12.85,12.92,12394
SHV,05 Dec 2006,13.17,13.2,13.11,13.11,42310
SHV,04 Dec 2006,13.17,13.17,13.01,13.17,12485
SHV,01 Dec 2006,12.94,13,12.94,13,19968
SHV,30 Nov 2006,12.88,12.95,12.88,12.94,9846
SHV,24 Nov 2006,13.08,13.08,13.05,13.05,2347
SHV,23 Nov 2006,13.25,13.29,13.22,13.29,50784
SHV,16 Nov 2006,12.85,12.85,12.56,12.56,7823
SHV,15 Nov 2006,12.8,12.9,12.78,12.78,9375
SHV,14 Nov 2006,12.8,12.93,12.77,12.8,61508
SHV,13 Nov 2006,12.95,12.95,12.9,12.9,6216
SHV,10 Nov 2006,12.95,12.95,12.95,12.95,4906
SHV,09 Nov 2006,13.1,13.1,12.95,12.95,5230
SHV,08 Nov 2006,13.4,13.4,13.07,13.1,43837
SHV,07 Nov 2006,13.48,13.49,13.3,13.4,6422
SHV,06 Nov 2006,13.4,13.4,13.2,13.4,40212
SHV,02 Nov 2006,13.1,13.3,13.1,13.3,14990
SHV,01 Nov 2006,13.04,13.15,13,13.1,19695
SHV,31 Oct 2006,12.68,12.95,12.68,12.95,7926
SHV,27 Oct 2006,12.24,12.35,12.24,12.3,62120
SHV,26 Oct 2006,12.2,12.25,12.2,12.24,23477
SHV,25 Oct 2006,12.15,12.16,12.13,12.13,20809
SHV,24 Oct 2006,12.13,12.15,12.13,12.15,2442
SHV,23 Oct 2006,12.2,12.25,12.1,12.1,2998
SHV,20 Oct 2006,12.18,12.2,12.1,12.1,9997
SHV,19 Oct 2006,12.1,12.29,12.1,12.29,6032
SHV,18 Oct 2006,12.05,12.07,12.05,12.07,14051
SHV,13 Oct 2006,12.38,12.38,12.14,12.14,17118
SHV,12 Oct 2006,12.45,12.5,12.44,12.5,8543
SHV,11 Oct 2006,12.48,12.48,12.36,12.47,4963
SHV,10 Oct 2006,12.3,12.35,12.3,12.34,4100
SHV,09 Oct 2006,12.15,12.35,12.15,12.35,23552
SHV,06 Oct 2006,12.12,12.15,12.06,12.1,12212
SHV,04 Oct 2006,12.3,12.3,12.05,12.05,16892
SHV,02 Oct 2006,12.43,12.45,12.31,12.4,10244
SHV,29 Sep 2006,12.08,12.2,12.08,12.2,3445
SHV,28 Sep 2006,12.04,12.08,12.02,12.03,6792
SHV,27 Sep 2006,12.03,12.03,12.02,12.03,9800
SHV,26 Sep 2006,12.03,12.03,12,12.02,16256
SHV,25 Sep 2006,12.02,12.06,12.01,12.02,43031
SHV,22 Sep 2006,12.02,12.05,12,12.01,51578
SHV,21 Sep 2006,12.18,12.18,12.01,12.03,27772
SHV,20 Sep 2006,12.4,12.4,12.05,12.3,39479
SHV,19 Sep 2006,12.4,12.4,12.35,12.35,17266
SHV,18 Sep 2006,12.37,12.5,12.35,12.4,21855
SHV,15 Sep 2006,12.2,12.4,12.15,12.3,21642
SHV,14 Sep 2006,12.19,12.19,11.41,12,116705
SHV,13 Sep 2006,12.8,12.8,12.25,12.3,11785
SHV,12 Sep 2006,12.9,12.95,12.65,12.85,22039
SHV,11 Sep 2006,13.05,13.05,12.6,12.85,11895
SHV,07 Sep 2006,13.29,13.29,13.1,13.15,22269
SHV,06 Sep 2006,13.5,13.5,13.35,13.35,2135
SHV,05 Sep 2006,13.15,13.52,13.15,13.5,13287
SHV,04 Sep 2006,13.69,13.69,13.47,13.53,4849
SHV,01 Sep 2006,13.7,13.8,13.5,13.8,7912
SHV,31 Aug 2006,13.5,13.71,13.5,13.7,77668
SHV,30 Aug 2006,13.25,13.5,13.25,13.5,11997
SHV,29 Aug 2006,13.16,13.5,13.16,13.25,14680
SHV,28 Aug 2006,13,13.15,13,13.15,37993
SHV,25 Aug 2006,12.98,12.98,12.9,12.9,8212
SHV,24 Aug 2006,13,13,12.7,13,5730
SHV,23 Aug 2006,12.96,13,12.9,12.95,28114
SHV,22 Aug 2006,13.05,13.2,13,13,19430
SHV,08 Jan 2008,8.2,8.2,8.09,8.2,18901
SHV,21 Aug 2006,12.7,13.05,12.7,13.05,4162
SHV,18 Aug 2006,12.7,12.7,12.61,12.7,8129
SHV,17 Aug 2006,12.68,12.9,12.68,12.69,11630
SHV,16 Aug 2006,12.66,12.85,12.66,12.8,1608
SHV,15 Aug 2006,12.71,12.75,12.63,12.65,29908
SHV,14 Aug 2006,12.9,12.9,12.62,12.63,27540
SHV,10 Aug 2006,12.96,12.96,12.95,12.96,11209
SHV,09 Aug 2006,13,13,12.95,12.99,4929
SHV,08 Aug 2006,13,13.05,13,13.05,1722
SHV,07 Aug 2006,12.95,13,12.93,12.93,15896
SHV,04 Aug 2006,12.9,12.95,12.9,12.95,18753
SHV,03 Aug 2006,12.9,12.9,12.9,12.9,20240
SHV,01 Aug 2006,12.9,12.9,12.85,12.85,18000
SHV,31 Jul 2006,13,13,12.85,12.85,14763
SHV,28 Jul 2006,13,13,13,13,900
SHV,27 Jul 2006,13.08,13.08,13.08,13.08,0
SHV,26 Jul 2006,12.93,13.08,12.91,13.08,3559
SHV,25 Jul 2006,12.85,13.08,12.85,13.08,4164
SHV,24 Jul 2006,12.88,12.9,12.88,12.9,7023
SHV,21 Jul 2006,12.95,13.1,12.9,12.9,86822
SHV,20 Jul 2006,13.1,13.1,12.95,12.95,730
SHV,19 Jul 2006,12.99,13,12.95,12.95,3014
SHV,18 Jul 2006,13.12,13.12,12.97,12.99,8463
SHV,17 Jul 2006,13.05,13.14,12.97,13.14,7050
SHV,14 Jul 2006,13.09,13.09,12.95,13.04,6111
SHV,13 Jul 2006,13.13,13.13,13.1,13.1,3344
SHV,12 Jul 2006,13.29,13.29,12.95,13.25,9145
SHV,11 Jul 2006,12.65,12.95,12.65,12.95,16740
SHV,10 Jul 2006,12.75,12.76,12.5,12.61,17976
SHV,07 Jul 2006,12.86,12.86,12.7,12.75,19358
SHV,06 Jul 2006,12.86,12.9,12.86,12.86,51395
SHV,05 Jul 2006,12.86,12.93,12.86,12.86,78812
SHV,04 Jul 2006,12.95,13,12.85,12.86,38738
SHV,03 Jul 2006,13,13,12.95,12.95,38214
SHV,30 Jun 2006,13.15,13.15,13.02,13.02,5670
SHV,29 Jun 2006,13.1,13.1,13.05,13.05,3196
SHV,28 Jun 2006,13.2,13.3,13.1,13.1,20695
SHV,27 Jun 2006,13.11,13.11,13.1,13.1,2699
SHV,26 Jun 2006,13.1,13.1,13.1,13.1,881
SHV,23 Jun 2006,13.28,13.28,13.01,13.1,7072
SHV,22 Jun 2006,13,13.3,13,13.29,16115
SHV,21 Jun 2006,13,13,13,13,1910
SHV,20 Jun 2006,13.05,13.05,12.96,12.96,12329
SHV,19 Jun 2006,13.3,13.3,13.05,13.05,19329
SHV,16 Jun 2006,13.25,13.3,13.25,13.25,6895
SHV,15 Jun 2006,12.95,13.1,12.95,13.1,13842
SHV,14 Jun 2006,13,13,12.9,12.95,40753
SHV,13 Jun 2006,13,13,12.85,12.95,27452
SHV,09 Jun 2006,13.3,13.35,13.02,13.13,6815
SHV,08 Jun 2006,13.37,13.37,13.3,13.3,432
SHV,07 Jun 2006,13.35,13.4,13.3,13.4,16752
SHV,06 Jun 2006,13.5,13.5,13.4,13.4,31687
SHV,05 Jun 2006,13.48,13.6,13.4,13.6,7327
SHV,02 Jun 2006,13.5,13.55,13.48,13.48,8135
SHV,01 Jun 2006,13.48,13.61,13.48,13.55,9653
SHV,31 Mar 2008,6.32,6.45,6.3,6.45,14715
SHV,31 May 2006,13.55,13.56,13.46,13.48,9400
SHV,30 May 2006,13.62,13.64,13.6,13.6,5971
SHV,29 May 2006,13.68,13.7,13.65,13.65,7968
SHV,26 May 2006,13.66,13.7,13.66,13.7,24205
SHV,25 May 2006,13.6,13.6,13.6,13.6,1737
SHV,24 May 2006,13.85,13.85,13.6,13.6,8145
SHV,23 May 2006,13.65,13.85,13.6,13.85,8961
SHV,22 May 2006,13.78,13.78,13.5,13.6,9109
SHV,19 May 2006,13.95,13.95,13.8,13.8,9580
SHV,18 May 2006,13.96,13.96,13.9,13.95,8534
SHV,16 May 2006,13.96,14,13.95,14,5610
SHV,15 May 2006,14,14,13.96,13.96,4835
SHV,12 May 2006,14.05,14.16,14,14,2776
SHV,11 May 2006,14,14.05,14,14.05,24789
SHV,10 May 2006,14,14,13.95,13.95,1977
SHV,09 May 2006,14.05,14.05,13.93,14,11681
SHV,08 May 2006,14,14.09,13.99,14.09,9591
SHV,05 May 2006,14.09,14.09,14,14.08,4928
SHV,04 May 2006,14,14.09,14,14.09,4504
SHV,03 May 2006,13.95,14.1,13.95,14,11485
SHV,02 May 2006,14,14,13.92,13.92,6910
SHV,01 May 2006,13.94,14.16,13.9,14.16,11955
SHV,28 Apr 2006,14.16,14.28,13.92,13.92,19247
SHV,26 Apr 2006,14,14.2,14,14.2,10314
SHV,24 Apr 2006,14.1,14.1,13.95,13.95,12778
SHV,21 Apr 2006,14.2,14.2,14.02,14.02,8825
SHV,20 Apr 2006,14.24,14.25,14.2,14.2,27027
SHV,19 Apr 2006,14.25,14.25,14.2,14.2,20722
SHV,18 Apr 2006,14.2,14.25,14.15,14.25,20266
SHV,13 Apr 2006,14.24,14.24,14.2,14.22,2711
SHV,12 Apr 2006,14,14.15,13.91,14.15,7935
SHV,11 Apr 2006,13.93,14,13.93,14,7803
SHV,10 Apr 2006,13.96,13.99,13.93,13.93,9401
SHV,07 Apr 2006,14.14,14.15,14,14,15955
SHV,06 Apr 2006,14.1,14.15,14.1,14.15,5990
SHV,05 Apr 2006,14.3,14.3,14.2,14.2,24158
SHV,04 Apr 2006,13.99,14.25,13.97,14.25,51521
SHV,03 Apr 2006,13.99,14,13.88,13.99,19842
SHV,31 Mar 2006,13.96,14,13.96,13.96,10368
SHV,30 Mar 2006,14,14,14,14,12092
SHV,29 Mar 2006,14,14.2,14,14.1,4029
SHV,28 Mar 2006,14.24,14.24,14.05,14.05,16324
SHV,27 Mar 2006,14.1,14.44,14.05,14.22,17594
SHV,24 Mar 2006,14.08,14.1,13.95,14.07,6187
SHV,23 Mar 2006,13.97,14.11,13.97,14.1,14908
SHV,22 Mar 2006,14,14,13.82,13.82,6243
SHV,21 Mar 2006,14.1,14.1,13.97,13.97,1982
SHV,05 Sep 2007,9.15,9.15,9.05,9.1,26449
SHV,31 Aug 2007,9.33,9.6,9.33,9.6,28637
SHV,30 Aug 2007,9.28,9.5,9.15,9.31,23820
SHV,29 Aug 2007,9.07,9.1,8.86,9.03,150851
SHV,28 Aug 2007,9.6,9.6,9.22,9.25,23449
SHV,27 Aug 2007,10,10,9.6,9.6,24462
