Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
SIP,07 Mar 2006,2.63,2.7,2.63,2.7,714598
SIP,08 Mar 2006,2.68,2.79,2.63,2.79,1412884
SIP,09 Mar 2006,2.75,2.8,2.72,2.8,962904
SIP,10 Mar 2006,2.79,2.79,2.75,2.75,742356
SIP,13 Mar 2006,2.77,2.77,2.74,2.74,753203
SIP,14 Mar 2006,2.74,2.76,2.72,2.72,1447363
SIP,15 Mar 2006,2.72,2.78,2.72,2.74,2940111
SIP,16 Mar 2006,2.76,2.87,2.75,2.85,6289992
SIP,17 Mar 2006,2.82,2.84,2.68,2.68,11095304
SIP,20 Mar 2006,2.73,2.75,2.64,2.75,4406919
SIP,21 Mar 2006,2.78,2.79,2.65,2.67,3721521
SIP,22 Mar 2006,2.67,2.8,2.66,2.78,2116554
SIP,23 Mar 2006,2.79,2.79,2.73,2.77,2963852
SIP,24 Mar 2006,2.75,2.75,2.7,2.73,1910067
SIP,27 Mar 2006,2.72,2.75,2.72,2.73,1881345
SIP,28 Mar 2006,2.72,2.72,2.68,2.7,1181907
SIP,29 Mar 2006,2.66,2.72,2.66,2.71,1323357
SIP,30 Mar 2006,2.71,2.73,2.69,2.7,750054
SIP,31 Mar 2006,2.66,2.69,2.65,2.65,1472274
SIP,03 Apr 2006,2.65,2.69,2.62,2.65,1264886
SIP,04 Apr 2006,2.63,2.67,2.61,2.61,2604602
SIP,05 Apr 2006,2.62,2.64,2.55,2.55,2950597
SIP,06 Apr 2006,2.53,2.64,2.52,2.57,1047592
SIP,07 Apr 2006,2.57,2.6,2.56,2.56,628422
SIP,10 Apr 2006,2.56,2.57,2.47,2.47,2056108
SIP,11 Apr 2006,2.49,2.65,2.49,2.65,1769278
SIP,12 Apr 2006,2.63,2.64,2.52,2.53,2061867
SIP,13 Apr 2006,2.56,2.64,2.56,2.62,840480
SIP,18 Apr 2006,2.64,2.73,2.64,2.72,1462200
SIP,19 Apr 2006,2.72,2.75,2.65,2.75,2648950
SIP,20 Apr 2006,2.66,2.73,2.66,2.71,2252623
SIP,21 Apr 2006,2.7,2.73,2.68,2.68,1110917
SIP,24 Apr 2006,2.7,2.74,2.69,2.7,423382
SIP,26 Apr 2006,2.7,2.77,2.7,2.75,2513331
SIP,27 Apr 2006,2.77,2.78,2.72,2.74,1320876
SIP,28 Apr 2006,2.73,2.74,2.66,2.7,1604534
SIP,01 May 2006,2.71,2.72,2.68,2.69,1138134
SIP,02 May 2006,2.64,2.68,2.62,2.65,1760753
SIP,03 May 2006,2.65,2.66,2.61,2.61,3880096
SIP,04 May 2006,2.61,2.66,2.61,2.62,3943745
SIP,05 May 2006,2.6,2.68,2.6,2.68,4543287
SIP,08 May 2006,2.69,2.76,2.69,2.76,2088053
SIP,09 May 2006,2.7,2.77,2.69,2.77,1775665
SIP,10 May 2006,2.75,2.75,2.68,2.7,1787453
SIP,12 May 2006,2.61,2.67,2.61,2.63,1146084
SIP,15 May 2006,2.62,2.62,2.58,2.58,2903101
SIP,16 May 2006,2.55,2.62,2.55,2.59,3512559
SIP,17 May 2006,2.55,2.56,2.53,2.55,1705064
SIP,18 May 2006,2.52,2.54,2.5,2.5,3188811
SIP,19 May 2006,2.5,2.53,2.5,2.5,1076124
SIP,22 May 2006,2.48,2.55,2.48,2.5,610771
SIP,23 May 2006,2.5,2.57,2.5,2.56,1166077
SIP,24 May 2006,2.55,2.55,2.49,2.51,3118775
SIP,25 May 2006,2.51,2.52,2.44,2.44,1515159
SIP,26 May 2006,2.44,2.46,2.4,2.46,2343340
SIP,29 May 2006,2.47,2.52,2.46,2.51,865821
SIP,01 Jun 2006,2.59,2.59,2.53,2.54,1562613
SIP,05 Jun 2006,2.57,2.6,2.56,2.59,601746
SIP,06 Jun 2006,2.57,2.59,2.55,2.55,2071192
SIP,07 Jun 2006,2.54,2.56,2.5,2.53,1868181
SIP,08 Jun 2006,2.52,2.53,2.49,2.49,2301358
SIP,09 Jun 2006,2.48,2.5,2.44,2.49,1918052
SIP,13 Jun 2006,2.5,2.52,2.41,2.43,2046704
SIP,14 Jun 2006,2.4,2.5,2.4,2.49,3087052
SIP,15 Jun 2006,2.48,2.48,2.42,2.45,5728413
SIP,16 Jun 2006,2.5,2.65,2.5,2.65,5049676
SIP,19 Jun 2006,2.67,2.69,2.6,2.63,3929545
