Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
SOL,07 Mar 2006,9.73,9.77,9.7,9.77,23992
SOL,08 Mar 2006,9.77,9.77,9.7,9.73,10749
SOL,09 Mar 2006,9.74,9.75,9.65,9.7,42129
SOL,10 Mar 2006,9.75,9.75,9.6,9.69,51799
SOL,13 Mar 2006,9.68,9.68,9.45,9.45,52718
SOL,14 Mar 2006,9.46,9.55,9.3,9.35,107123
SOL,15 Mar 2006,9.35,9.5,9.3,9.3,179433
SOL,16 Mar 2006,9.16,9.25,9.1,9.19,342475
SOL,17 Mar 2006,9.13,9.15,9.01,9.15,931768
SOL,20 Mar 2006,9.15,9.3,9.15,9.21,62154
SOL,21 Mar 2006,9.3,9.3,8.84,8.9,402304
SOL,22 Mar 2006,8.85,9.2,8.7,8.95,90505
SOL,23 Mar 2006,8.91,9,8.9,8.96,128693
SOL,24 Mar 2006,9,9.05,8.98,9,123393
SOL,27 Mar 2006,8.99,8.99,8.92,8.92,63557
SOL,28 Mar 2006,8.96,9,8.92,8.99,100651
SOL,29 Mar 2006,9,9.2,9,9.15,44886
SOL,30 Mar 2006,9.18,9.32,9.18,9.32,36937
SOL,31 Mar 2006,9.2,9.25,9.1,9.15,50094
SOL,03 Apr 2006,9.16,9.33,9.16,9.33,22165
SOL,04 Apr 2006,9.25,9.25,9.13,9.25,28017
SOL,05 Apr 2006,9.18,9.25,9.16,9.25,42514
SOL,06 Apr 2006,9.25,9.33,9.15,9.3,53092
SOL,07 Apr 2006,9.32,9.32,9.25,9.3,23878
SOL,10 Apr 2006,9.3,9.4,9.29,9.3,26475
SOL,11 Apr 2006,9.25,9.25,8.96,9,186723
SOL,12 Apr 2006,8.95,8.96,8.84,8.95,143534
SOL,13 Apr 2006,8.97,9.04,8.97,8.98,79224
SOL,18 Apr 2006,8.95,8.98,8.92,8.95,133118
SOL,19 Apr 2006,8.96,9,8.92,8.93,91444
