Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
SPL,07 Mar 2006,.505,.505,.495,.5,116501
SPL,08 Mar 2006,.5,.5,.49,.5,34000
SPL,09 Mar 2006,.5,.5,.485,.485,98297
SPL,16 Mar 2006,.49,.495,.49,.495,178500
SPL,17 Mar 2006,.49,.49,.48,.48,136776
SPL,20 Mar 2006,.48,.48,.475,.475,128000
SPL,21 Mar 2006,.475,.495,.475,.485,169625
SPL,22 Mar 2006,.485,.495,.48,.495,873133
SPL,23 Mar 2006,.495,.535,.495,.535,674512
SPL,24 Mar 2006,.54,.55,.51,.53,364596
SPL,27 Mar 2006,.53,.53,.51,.525,130400
SPL,28 Mar 2006,.53,.53,.515,.52,120352
SPL,29 Mar 2006,.525,.525,.51,.51,62000
SPL,30 Mar 2006,.5,.52,.5,.52,293740
SPL,31 Mar 2006,.52,.52,.52,.52,11000
SPL,06 Apr 2006,.495,.5,.49,.49,200600
SPL,07 Apr 2006,.5,.5,.49,.49,15000
SPL,10 Apr 2006,.495,.495,.48,.48,141000
SPL,11 Apr 2006,.475,.48,.475,.48,389550
SPL,12 Apr 2006,.48,.48,.48,.48,71100
SPL,13 Apr 2006,.48,.49,.48,.49,13200
SPL,18 Apr 2006,.5,.515,.48,.5,277900
SPL,19 Apr 2006,.5,.51,.485,.485,170089
SPL,20 Apr 2006,.51,.52,.505,.515,666707
SPL,21 Apr 2006,.51,.515,.485,.51,208578
SPL,27 Apr 2006,.505,.51,.5,.505,175901
SPL,28 Apr 2006,.505,.51,.5,.5,167699
SPL,04 May 2006,.49,.5,.485,.495,327678
SPL,05 May 2006,.495,.495,.485,.49,46604
SPL,08 May 2006,.49,.49,.475,.475,190100
SPL,09 May 2006,.48,.49,.48,.48,112172
SPL,10 May 2006,.48,.48,.475,.475,12250
SPL,12 May 2006,.475,.475,.47,.475,49500
SPL,15 May 2006,.47,.47,.44,.45,360005
SPL,16 May 2006,.455,.485,.45,.45,73159
SPL,17 May 2006,.46,.46,.44,.445,188009
SPL,19 May 2006,.45,.465,.445,.465,70687
SPL,23 May 2006,.45,.45,.44,.44,76876
SPL,24 May 2006,.45,.455,.44,.455,97998
SPL,25 May 2006,.47,.48,.45,.465,90000
SPL,26 May 2006,.48,.48,.47,.47,60000
SPL,01 Jun 2006,.425,.45,.405,.45,176358
SPL,06 Jun 2006,.42,.425,.41,.415,186400
SPL,07 Jun 2006,.42,.445,.42,.445,123500
SPL,08 Jun 2006,.44,.44,.4,.435,143706
SPL,14 Jun 2006,.39,.405,.38,.395,275081
SPL,15 Jun 2006,.395,.42,.395,.395,307164
SPL,16 Jun 2006,.4,.43,.4,.42,201679
SPL,20 Jun 2006,.42,.42,.39,.39,245442
SPL,21 Jun 2006,.39,.39,.375,.38,164450
SPL,22 Jun 2006,.39,.405,.35,.375,501000
SPL,26 Jun 2006,.39,.39,.36,.38,198893
SPL,03 Jul 2006,.42,.42,.415,.415,31085
SPL,04 Jul 2006,.42,.42,.4,.4,215493
SPL,05 Jul 2006,.41,.41,.41,.41,4500
SPL,06 Jul 2006,.415,.45,.41,.44,327995
SPL,11 Jul 2006,.46,.48,.46,.46,393840
SPL,12 Jul 2006,.47,.47,.465,.47,185650
SPL,13 Jul 2006,.485,.49,.46,.48,173700
SPL,17 Jul 2006,.47,.47,.465,.47,232504
SPL,18 Jul 2006,.475,.48,.475,.48,270400
SPL,20 Jul 2006,.52,.53,.515,.515,353928
SPL,26 Jul 2006,.52,.525,.5,.52,168293
SPL,27 Jul 2006,.52,.53,.5,.53,151450
SPL,02 Aug 2006,.52,.53,.505,.505,73100
SPL,03 Aug 2006,.51,.51,.51,.51,25000
SPL,07 Aug 2006,.525,.525,.51,.51,43909
SPL,08 Aug 2006,.5,.52,.5,.5,31307
SPL,17 Aug 2006,.51,.51,.505,.51,71126
SPL,21 Aug 2006,.505,.51,.49,.5,88800
SPL,22 Aug 2006,.5,.5,.5,.5,1111
SPL,24 Aug 2006,.5,.5,.5,.5,61000
SPL,25 Aug 2006,.48,.48,.475,.475,27000
SPL,28 Aug 2006,.485,.485,.475,.475,102560
SPL,31 Aug 2006,.46,.46,.46,.46,5180
SPL,06 Sep 2006,.46,.46,.45,.45,76670
SPL,07 Sep 2006,.46,.49,.46,.46,223065
SPL,11 Sep 2006,.45,.45,.43,.44,208073
SPL,12 Sep 2006,.455,.46,.455,.455,89800
SPL,13 Sep 2006,.45,.465,.42,.465,75274
SPL,15 Sep 2006,.455,.455,.41,.43,228141
SPL,19 Sep 2006,.43,.43,.42,.425,129000
SPL,20 Sep 2006,.415,.43,.415,.43,248426
SPL,25 Sep 2006,.45,.45,.45,.45,0
SPL,26 Sep 2006,.43,.45,.43,.45,36000
SPL,10 Oct 2006,.505,.53,.505,.53,143250
SPL,12 Oct 2006,.53,.53,.5,.51,304100
SPL,16 Oct 2006,.53,.53,.51,.53,222237
SPL,18 Oct 2006,.53,.54,.52,.52,111940
SPL,23 Oct 2006,.57,.575,.565,.575,317084
SPL,24 Oct 2006,.58,.62,.58,.59,680989
SPL,27 Oct 2006,.595,.595,.57,.59,287325
SPL,30 Oct 2006,.59,.59,.58,.585,230134
SPL,01 Nov 2006,.585,.585,.57,.58,269870
SPL,02 Nov 2006,.57,.57,.57,.57,118672
SPL,10 Nov 2006,.57,.58,.555,.58,476710
SPL,13 Nov 2006,.595,.64,.55,.565,1290807
SPL,14 Nov 2006,.55,.55,.51,.51,609404
SPL,17 Nov 2006,.51,.51,.48,.5,522556
SPL,20 Nov 2006,.51,.52,.48,.515,177800
SPL,23 Nov 2006,.5,.515,.5,.5,40000
SPL,24 Nov 2006,.49,.51,.49,.51,55000
SPL,27 Nov 2006,.51,.51,.505,.505,44175
SPL,28 Nov 2006,.505,.51,.505,.505,22000
SPL,29 Nov 2006,.505,.505,.49,.505,185880
SPL,01 Dec 2006,.485,.49,.48,.49,130470
SPL,06 Dec 2006,.5,.5,.49,.5,106520
SPL,12 Dec 2006,.475,.48,.475,.48,33100
SPL,13 Dec 2006,.475,.48,.47,.47,100700
SPL,18 Dec 2006,.47,.48,.47,.48,59587
SPL,20 Dec 2006,.48,.48,.45,.47,60650
SPL,29 Dec 2006,.47,.47,.47,.47,0
SPL,02 Jan 2007,.46,.47,.44,.47,241504
SPL,03 Jan 2007,.47,.47,.46,.465,282000
SPL,05 Jan 2007,.475,.475,.47,.47,171040
SPL,08 Jan 2007,.46,.47,.46,.46,582074
SPL,09 Jan 2007,.46,.46,.45,.45,208304
SPL,18 Jan 2007,.445,.45,.445,.45,20000
SPL,19 Jan 2007,.45,.465,.45,.45,84200
SPL,24 Jan 2007,.46,.47,.45,.47,126790
SPL,25 Jan 2007,.47,.48,.47,.47,170169
SPL,29 Jan 2007,.46,.47,.45,.465,41100
SPL,31 Jan 2007,.435,.45,.435,.45,155000
SPL,05 Feb 2007,.455,.47,.45,.47,47885
SPL,06 Feb 2007,.48,.48,.45,.45,83600
SPL,13 Feb 2007,.45,.49,.45,.47,125472
SPL,15 Feb 2007,.48,.51,.48,.51,294312
SPL,21 Feb 2007,.53,.53,.51,.51,3000
SPL,27 Feb 2007,.5,.525,.47,.515,820709
SPL,28 Feb 2007,.475,.485,.455,.465,147249
SPL,12 Mar 2007,.465,.465,.465,.465,0
SPL,13 Mar 2007,.46,.46,.42,.435,219000
SPL,15 Mar 2007,.43,.44,.425,.44,70295
SPL,20 Mar 2007,.425,.44,.425,.43,30000
SPL,26 Mar 2007,.425,.435,.425,.435,33403
SPL,28 Mar 2007,.44,.44,.44,.44,62000
SPL,05 Apr 2007,.425,.425,.415,.415,40250
SPL,16 Apr 2007,.415,.415,.41,.41,173944
SPL,17 Apr 2007,.43,.45,.43,.45,113961
SPL,24 Apr 2007,.41,.41,.4,.41,148200
SPL,27 Apr 2007,.42,.42,.42,.42,61000
