Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
SRX,07 Mar 2006,2.35,2.35,2.35,2.35,13497
SRX,08 Mar 2006,2.35,2.35,2.3,2.3,17172
SRX,09 Mar 2006,2.3,2.33,2.25,2.26,19000
SRX,17 May 2006,2.42,2.42,2.4,2.42,10495
SRX,17 Apr 2007,3.7,3.7,3.56,3.56,3509
SRX,15 Aug 2007,3.25,3.25,3.2,3.21,24465
SRX,13 Aug 2007,3.34,3.36,3.27,3.33,24291
SRX,08 Aug 2007,3.46,3.57,3.3,3.3,26395
SRX,07 Aug 2007,3.6,3.6,3.45,3.45,3130
SRX,30 Jul 2007,3.8,3.8,3.75,3.75,2210
SRX,26 Jul 2007,3.8,4.05,3.8,4,3328
SRX,20 Jul 2007,3.99,3.99,3.77,3.77,22584
SRX,18 Jul 2007,4.02,4.1,4.01,4.05,48697
SRX,17 Jul 2007,3.9,4.08,3.9,4,115339
SRX,16 Jul 2007,3.75,3.9,3.7,3.9,42150
SRX,13 Jul 2007,3.68,3.75,3.68,3.75,10750
SRX,12 Jul 2007,3.71,3.72,3.65,3.72,8171
SRX,11 Jul 2007,3.65,3.7,3.6,3.7,17455
SRX,10 Jul 2007,3.51,3.55,3.51,3.55,3412
SRX,05 Jul 2007,3.51,3.51,3.45,3.47,12557
SRX,02 Jul 2007,3.44,3.59,3.4,3.48,19222
SRX,29 Jun 2007,3.45,3.46,3.4,3.44,139617
SRX,28 Jun 2007,3.5,3.65,3.45,3.45,17667
SRX,26 Jun 2007,3.52,3.54,3.52,3.54,9540
SRX,20 Jun 2007,3.43,3.5,3.43,3.5,13105
SRX,19 Jun 2007,3.37,3.46,3.37,3.45,16908
SRX,18 Jun 2007,3.41,3.46,3.4,3.4,23084
SRX,15 Jun 2007,3.41,3.5,3.41,3.46,14006
SRX,12 Jun 2007,3.4,3.5,3.35,3.35,25353
SRX,01 Jun 2007,3.62,3.62,3.6,3.62,19230
SRX,30 May 2007,3.63,3.63,3.61,3.63,16597
SRX,29 May 2007,3.66,3.66,3.63,3.63,121864
SRX,28 May 2007,3.67,3.67,3.67,3.67,45490
SRX,23 May 2007,3.75,3.75,3.66,3.66,64745
SRX,21 May 2007,3.66,3.8,3.66,3.77,199707
SRX,18 May 2007,3.63,3.68,3.63,3.63,24460
SRX,16 May 2007,3.8,3.8,3.65,3.65,12815
SRX,15 May 2007,3.75,3.75,3.65,3.65,20787
SRX,14 May 2007,3.76,3.76,3.75,3.75,6563
SRX,11 May 2007,3.75,3.75,3.75,3.75,500000
SRX,10 May 2007,3.72,3.75,3.72,3.75,530392
SRX,09 May 2007,3.75,3.77,3.75,3.75,509253
SRX,03 May 2007,3.75,3.83,3.75,3.76,81729
SRX,30 Apr 2007,3.63,3.69,3.6,3.69,34195
SRX,27 Apr 2007,3.65,3.65,3.5,3.5,19780
SRX,26 Apr 2007,3.64,3.69,3.64,3.66,29033
SRX,24 Apr 2007,3.55,3.65,3.5,3.64,14908
SRX,20 Apr 2007,3.45,3.5,3.4,3.5,244681
SRX,18 Apr 2007,3.57,3.68,3.56,3.56,12252
SRX,16 Apr 2007,3.61,3.7,3.61,3.7,4800
SRX,13 Apr 2007,3.6,3.68,3.6,3.68,22301
SRX,12 Apr 2007,3.47,3.54,3.47,3.54,24750
SRX,11 Apr 2007,3.45,3.49,3.45,3.45,15942
SRX,10 Apr 2007,3.48,3.48,3.48,3.48,1000
SRX,05 Apr 2007,3.42,3.45,3.42,3.45,9376
SRX,04 Apr 2007,3.4,3.45,3.4,3.4,27520
SRX,03 Apr 2007,3.27,3.45,3.27,3.4,50100
SRX,02 Apr 2007,3.4,3.4,3.32,3.4,13800
SRX,30 Mar 2007,3.49,3.49,3.42,3.42,16293
SRX,29 Mar 2007,3.42,3.5,3.37,3.5,68864
SRX,28 Mar 2007,3.36,3.36,3.3,3.3,15000
SRX,27 Mar 2007,3.3,3.36,3.3,3.36,8450
SRX,26 Mar 2007,3.45,3.45,3.33,3.33,9400
SRX,23 Mar 2007,3.45,3.47,3.45,3.47,7143
SRX,22 Mar 2007,3.45,3.5,3.4,3.45,27100
SRX,21 Mar 2007,3.3,3.45,3.3,3.45,29480
SRX,20 Mar 2007,3.35,3.43,3.33,3.33,32713
SRX,19 Mar 2007,3.27,3.35,3.26,3.35,63244
SRX,16 Mar 2007,3.25,3.25,3.25,3.25,1900
SRX,15 Mar 2007,3.26,3.31,3.26,3.3,17030
SRX,14 Mar 2007,3.28,3.28,3.26,3.26,17707
SRX,13 Mar 2007,3.27,3.3,3.27,3.3,25123
SRX,12 Mar 2007,3.26,3.33,3.26,3.26,14000
SRX,09 Mar 2007,3.3,3.3,3.3,3.3,12000
SRX,08 Mar 2007,3.3,3.33,3.3,3.32,9843
SRX,07 Mar 2007,3.3,3.34,3.3,3.34,24188
SRX,06 Mar 2007,3.2,3.3,3.16,3.3,90962
SRX,05 Mar 2007,3.37,3.37,3.2,3.25,76400
SRX,02 Mar 2007,3.42,3.45,3.23,3.38,16902
SRX,01 Mar 2007,3.17,3.42,3.17,3.42,27221
SRX,28 Feb 2007,3.42,3.42,3.13,3.39,30597
SRX,27 Feb 2007,3.57,3.58,3.44,3.44,36956
SRX,26 Feb 2007,3.6,3.6,3.55,3.57,23393
SRX,23 Feb 2007,3.5,3.6,3.49,3.59,46183
SRX,22 Feb 2007,3.45,3.5,3.4,3.5,17700
SRX,21 Feb 2007,3.52,3.55,3.5,3.51,25741
SRX,20 Feb 2007,3.33,3.52,3.27,3.52,23840
SRX,19 Feb 2007,3.3,3.33,3.25,3.33,16100
SRX,16 Feb 2007,3.3,3.35,3.26,3.33,202449
SRX,15 Feb 2007,3.3,3.3,3.26,3.3,22209
SRX,14 Feb 2007,3.26,3.35,3.26,3.33,17255
SRX,13 Feb 2007,3.26,3.26,3.24,3.25,26300
SRX,12 Feb 2007,3.26,3.37,3.26,3.27,31786
SRX,09 Feb 2007,3.3,3.35,3.26,3.26,71374
SRX,08 Feb 2007,3.75,3.77,3.1,3.25,164654
SRX,07 Feb 2007,3.85,3.9,3.72,3.72,85626
SRX,06 Feb 2007,3.64,3.77,3.63,3.77,110143
SRX,05 Feb 2007,3.49,3.63,3.45,3.6,85235
SRX,02 Feb 2007,3.45,3.49,3.45,3.45,62400
SRX,01 Feb 2007,3.44,3.49,3.44,3.45,38910
SRX,31 Jan 2007,3.42,3.42,3.39,3.4,71793
SRX,30 Jan 2007,3.5,3.5,3.38,3.39,76494
SRX,29 Jan 2007,3.17,3.49,3.15,3.49,126316
SRX,25 Jan 2007,3.11,3.18,3.11,3.18,14410
SRX,24 Jan 2007,3.05,3.1,3,3.1,30166
SRX,23 Jan 2007,3,3.05,3,3.05,31985
SRX,22 Jan 2007,2.94,3.07,2.94,3,103848
SRX,19 Jan 2007,2.93,2.94,2.93,2.94,6540
SRX,18 Jan 2007,2.92,2.92,2.91,2.91,5482
SRX,17 Jan 2007,2.85,2.95,2.83,2.94,17237
SRX,16 Jan 2007,2.87,2.9,2.84,2.85,242513
SRX,15 Jan 2007,2.87,2.96,2.85,2.85,114855
SRX,12 Jan 2007,2.8,2.9,2.8,2.86,43733
SRX,11 Jan 2007,2.83,2.83,2.75,2.75,12663
SRX,10 Jan 2007,2.75,2.83,2.74,2.83,41707
SRX,09 Jan 2007,2.75,2.75,2.75,2.75,10350
SRX,08 Jan 2007,2.8,2.83,2.75,2.75,16850
SRX,05 Jan 2007,2.71,2.71,2.71,2.71,1738
SRX,04 Jan 2007,2.7,2.75,2.7,2.75,6250
SRX,03 Jan 2007,2.71,2.71,2.7,2.7,1987
SRX,02 Jan 2007,2.71,2.71,2.71,2.71,3580
SRX,29 Dec 2006,2.75,2.75,2.7,2.7,6000
SRX,28 Dec 2006,2.8,2.8,2.8,2.8,1350
SRX,27 Dec 2006,2.7,2.83,2.7,2.83,16000
SRX,22 Dec 2006,2.8,2.83,2.8,2.83,55813
SRX,21 Dec 2006,2.8,2.8,2.8,2.8,109900
SRX,20 Dec 2006,2.8,2.84,2.76,2.8,58486
SRX,19 Dec 2006,2.83,2.85,2.8,2.85,122100
SRX,18 Dec 2006,2.65,2.8,2.65,2.8,9550
SRX,15 Dec 2006,2.77,2.77,2.65,2.65,16608
SRX,14 Dec 2006,2.75,2.8,2.75,2.8,14745
SRX,13 Dec 2006,2.76,2.77,2.72,2.72,11940
SRX,12 Dec 2006,2.77,2.77,2.76,2.76,5720
SRX,11 Dec 2006,2.8,2.8,2.75,2.75,29938
SRX,08 Dec 2006,2.8,2.84,2.8,2.84,5712
SRX,07 Dec 2006,2.82,2.82,2.8,2.8,4188
SRX,06 Dec 2006,2.8,2.85,2.8,2.85,8630
SRX,05 Dec 2006,2.86,2.86,2.79,2.79,2200
SRX,04 Dec 2006,2.84,2.84,2.78,2.8,10230
SRX,01 Dec 2006,2.84,2.84,2.82,2.84,12150
SRX,30 Nov 2006,2.78,2.84,2.78,2.84,2900
SRX,29 Nov 2006,2.8,2.82,2.8,2.82,10100
SRX,28 Nov 2006,2.71,2.73,2.7,2.73,8330
SRX,27 Nov 2006,2.72,2.99,2.7,2.71,25410
SRX,24 Nov 2006,2.7,2.7,2.65,2.65,26650
SRX,23 Nov 2006,2.75,2.75,2.63,2.73,20230
SRX,22 Nov 2006,2.81,2.81,2.63,2.8,37978
SRX,21 Nov 2006,2.92,2.92,2.82,2.82,15334
SRX,20 Nov 2006,2.95,2.95,2.92,2.95,9778
SRX,17 Nov 2006,2.97,2.97,2.89,2.95,18023
SRX,16 Nov 2006,3.09,3.09,3,3,30117
SRX,15 Nov 2006,3.14,3.14,3.1,3.13,35923
SRX,14 Nov 2006,3.08,3.15,3.08,3.15,4700
SRX,13 Nov 2006,3.09,3.12,3.07,3.07,24168
SRX,10 Nov 2006,3.1,3.1,3.08,3.08,7200
SRX,09 Nov 2006,3.11,3.11,3.06,3.06,7029
SRX,31 Mar 2008,3.32,3.32,3.3,3.3,6373
SRX,08 Nov 2006,3.25,3.25,3.1,3.13,30419
SRX,07 Nov 2006,3.15,3.25,3.15,3.23,23685
SRX,06 Nov 2006,2.99,3.25,2.99,3.13,64680
SRX,03 Nov 2006,2.96,2.96,2.96,2.96,0
SRX,02 Nov 2006,2.93,2.96,2.93,2.96,15000
SRX,01 Nov 2006,2.97,2.99,2.92,2.95,35524
SRX,31 Oct 2006,2.99,2.99,2.92,2.92,33275
SRX,30 Oct 2006,2.95,2.99,2.91,2.99,62445
SRX,27 Oct 2006,2.99,2.99,2.88,2.88,48560
SRX,26 Oct 2006,2.8,2.89,2.8,2.85,36399
SRX,25 Oct 2006,2.69,2.72,2.68,2.72,14438
SRX,24 Oct 2006,2.57,2.69,2.55,2.68,10400
SRX,23 Oct 2006,2.5,2.59,2.5,2.57,65215
SRX,20 Oct 2006,2.47,2.49,2.46,2.49,34087
SRX,19 Oct 2006,2.49,2.49,2.47,2.49,42020
SRX,18 Oct 2006,2.5,2.5,2.49,2.49,32800
SRX,17 Oct 2006,2.55,2.55,2.5,2.5,10850
SRX,16 Oct 2006,2.52,2.58,2.52,2.58,22051
SRX,13 Oct 2006,2.47,2.55,2.47,2.55,13000
SRX,12 Oct 2006,2.47,2.49,2.47,2.49,23140
SRX,11 Oct 2006,2.55,2.55,2.47,2.47,5750
SRX,10 Oct 2006,2.49,2.55,2.49,2.55,19894
SRX,09 Oct 2006,2.49,2.49,2.45,2.49,6475
SRX,06 Oct 2006,2.49,2.5,2.48,2.5,20500
SRX,05 Oct 2006,2.45,2.49,2.4,2.49,27405
SRX,04 Oct 2006,2.49,2.54,2.35,2.43,37390
SRX,03 Oct 2006,2.36,2.4,2.35,2.4,40391
SRX,02 Oct 2006,2.29,2.36,2.22,2.36,54800
