Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
STO,07 Mar 2006,11.23,11.23,11.02,11.02,2124532
STO,08 Mar 2006,11,11.06,10.9,10.97,1966414
STO,09 Mar 2006,10.9,10.9,10.8,10.86,2690321
STO,10 Mar 2006,10.81,11.18,10.8,11.05,1947845
STO,13 Mar 2006,11.17,11.28,11.04,11.28,1712693
STO,14 Mar 2006,11.37,11.53,11.35,11.35,1607926
STO,15 Mar 2006,11.54,11.55,11.3,11.3,2094620
STO,16 Mar 2006,11.37,11.38,11.14,11.2,3012612
STO,17 Mar 2006,11.25,11.34,11.08,11.15,2013341
STO,20 Mar 2006,11.18,11.24,11.12,11.2,1953773
STO,21 Mar 2006,11.13,11.13,11.01,11.1,1486087
STO,22 Mar 2006,11.18,11.26,11.07,11.24,2866515
STO,23 Mar 2006,11.3,11.39,11.26,11.33,1385837
STO,24 Mar 2006,11.39,11.41,11.13,11.14,1709340
STO,27 Mar 2006,11.2,11.27,10.93,11,3990790
STO,28 Mar 2006,10.99,11,10.82,10.92,2983873
STO,29 Mar 2006,11.12,11.13,10.99,11,2287159
STO,30 Mar 2006,11.1,11.16,11.03,11.07,2913344
STO,31 Mar 2006,11.2,11.4,11.13,11.38,6064635
STO,03 Apr 2006,11.24,11.66,11.24,11.64,2788791
STO,04 Apr 2006,11.74,11.79,11.5,11.5,3080808
STO,05 Apr 2006,11.51,11.78,11.51,11.78,3665821
STO,06 Apr 2006,11.95,12.13,11.89,12.08,5049234
STO,07 Apr 2006,12.09,12.2,11.86,11.98,2598854
STO,10 Apr 2006,11.88,11.94,11.71,11.85,1937760
STO,11 Apr 2006,12.02,12.14,12.02,12.06,3527458
STO,12 Apr 2006,12.15,12.16,11.87,11.95,4095618
STO,13 Apr 2006,12.05,12.05,11.8,11.85,686172
STO,18 Apr 2006,12.1,12.34,12.07,12.33,3302656
STO,19 Apr 2006,12.48,12.48,12.35,12.35,4688014
STO,20 Apr 2006,12.37,12.42,12.2,12.27,1803892
STO,21 Apr 2006,12.32,12.32,12,12.26,2331807
STO,24 Apr 2006,12.44,12.48,12.37,12.38,2085355
STO,26 Apr 2006,12.41,12.41,12.02,12.02,3255425
STO,27 Apr 2006,12.05,12.16,11.87,11.99,3638876
STO,01 May 2006,11.9,11.98,11.8,11.86,1573952
STO,02 May 2006,12.14,12.14,11.89,11.93,3707499
STO,03 May 2006,12.06,12.08,11.86,11.86,1215835
STO,11 May 2006,12.29,12.29,12.1,12.22,1602680
STO,17 May 2006,11.61,11.64,11.5,11.54,2301438
STO,18 May 2006,11.4,11.48,11.3,11.3,2078444
STO,22 May 2006,11.35,11.37,11.1,11.18,1661664
STO,29 May 2006,11.59,11.7,11.5,11.7,1254625
STO,30 May 2006,11.71,11.92,11.6,11.8,1626779
STO,31 May 2006,11.75,11.79,11.45,11.5,2695943
STO,02 Jun 2006,11.88,11.95,11.55,11.65,1820597
