Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
TWE,10 May 2011,3.21,3.36,3.14,3.36,53576271
TWE,11 May 2011,3.37,3.62,3.37,3.52,17755461
TWE,12 May 2011,3.44,3.48,3.37,3.39,18481377
TWE,16 May 2011,3.4,3.64,3.4,3.58,6125694
TWE,18 May 2011,3.57,3.6,3.52,3.55,8077401
TWE,19 May 2011,3.53,3.55,3.49,3.5,8861559
TWE,20 May 2011,3.51,3.51,3.4,3.42,3621543
TWE,23 May 2011,3.4,3.4,3.25,3.25,5640113
TWE,24 May 2011,3.14,3.27,3.13,3.21,18761173
TWE,25 May 2011,3.22,3.31,3.22,3.22,11143804
TWE,27 May 2011,3.27,3.42,3.27,3.39,8896535
TWE,31 May 2011,3.39,3.42,3.34,3.34,5223865
TWE,01 Jun 2011,3.32,3.39,3.32,3.38,3467584
TWE,02 Jun 2011,3.34,3.42,3.33,3.4,13881366
TWE,03 Jun 2011,3.43,3.47,3.43,3.46,13081982
TWE,07 Jun 2011,3.41,3.47,3.41,3.47,5024025
TWE,10 Jun 2011,3.53,3.55,3.47,3.49,8208979
TWE,14 Jun 2011,3.47,3.48,3.43,3.46,5775246
TWE,15 Jun 2011,3.4,3.46,3.4,3.43,8791773
TWE,16 Jun 2011,3.38,3.39,3.35,3.35,9386652
TWE,17 Jun 2011,3.32,3.37,3.27,3.3,5631850
TWE,21 Jun 2011,3.39,3.52,3.37,3.45,9444757
TWE,22 Jun 2011,3.5,3.5,3.43,3.44,9020060
TWE,29 Jun 2011,3.38,3.46,3.36,3.42,3882366
TWE,01 Jul 2011,3.36,3.39,3.31,3.37,2292354
TWE,04 Jul 2011,3.59,3.75,3.57,3.67,11475885
TWE,06 Jul 2011,3.55,3.58,3.47,3.5,7708742
TWE,08 Jul 2011,3.54,3.54,3.46,3.49,4669056
TWE,12 Jul 2011,3.33,3.42,3.33,3.39,3952450
TWE,14 Jul 2011,3.44,3.49,3.41,3.47,8629009
TWE,19 Jul 2011,3.34,3.39,3.34,3.36,2170818
TWE,20 Jul 2011,3.43,3.43,3.38,3.4,2610905
TWE,21 Jul 2011,3.44,3.46,3.4,3.44,4510584
TWE,22 Jul 2011,3.48,3.51,3.45,3.46,5827064
TWE,29 Jul 2011,3.46,3.48,3.41,3.44,4116223
TWE,02 Aug 2011,3.4,3.44,3.37,3.39,2814177
TWE,03 Aug 2011,3.32,3.38,3.28,3.3,3955227
TWE,04 Aug 2011,3.26,3.37,3.26,3.35,3594689
TWE,08 Aug 2011,3.19,3.22,3.03,3.04,3949854
TWE,09 Aug 2011,2.85,3.16,2.83,3.13,7238756
TWE,10 Aug 2011,3.05,3.18,3.05,3.12,4361255
TWE,11 Aug 2011,3.05,3.22,3.05,3.17,2951412
TWE,12 Aug 2011,3.15,3.25,3.15,3.19,5644600
TWE,16 Aug 2011,3.28,3.29,3.21,3.26,1659774
TWE,17 Aug 2011,3.3,3.32,3.28,3.3,2347101
TWE,18 Aug 2011,3.36,3.36,3.26,3.27,4012484
TWE,22 Aug 2011,3.17,3.24,3.1,3.17,3167493
TWE,24 Aug 2011,3.25,3.39,3.24,3.36,4600349
TWE,25 Aug 2011,3.4,3.41,3.35,3.39,3249277
TWE,26 Aug 2011,3.36,3.44,3.35,3.41,3095458
TWE,29 Aug 2011,3.42,3.44,3.35,3.43,2359202
TWE,31 Aug 2011,3.54,3.58,3.53,3.56,5950632
TWE,02 Sep 2011,3.38,3.39,3.3,3.35,3536434
TWE,06 Sep 2011,3.31,3.33,3.26,3.29,4054570
TWE,12 Sep 2011,3.29,3.37,3.29,3.34,2773485
TWE,13 Sep 2011,3.32,3.42,3.32,3.41,2322604
TWE,14 Sep 2011,3.33,3.42,3.31,3.32,3851549
TWE,15 Sep 2011,3.42,3.42,3.35,3.39,3803115
TWE,20 Sep 2011,3.35,3.36,3.3,3.32,3470503
TWE,22 Sep 2011,3.41,3.53,3.4,3.51,4905665
TWE,27 Sep 2011,3.68,3.75,3.64,3.75,2452148
TWE,04 Oct 2011,3.78,3.88,3.75,3.86,1736340
TWE,29 Nov 2011,3.75,3.88,3.71,3.88,1593139
TWE,30 Nov 2011,3.88,3.94,3.86,3.89,2913487
TWE,15 Dec 2011,3.71,3.73,3.7,3.72,3664625
TWE,19 Dec 2011,3.69,3.71,3.63,3.64,2950022
TWE,20 Dec 2011,3.65,3.67,3.64,3.65,1422349
TWE,21 Dec 2011,3.69,3.71,3.65,3.66,1346604
TWE,22 Dec 2011,3.65,3.71,3.65,3.7,1466471
TWE,23 Dec 2011,3.73,3.73,3.66,3.71,605526
TWE,28 Dec 2011,3.69,3.7,3.65,3.65,699684
TWE,29 Dec 2011,3.65,3.675,3.65,3.66,748029
TWE,30 Dec 2011,3.66,3.71,3.66,3.68,528695
TWE,03 Jan 2012,3.66,3.71,3.66,3.7,1043514
TWE,05 Jan 2012,3.65,3.71,3.64,3.65,2110182
TWE,06 Jan 2012,3.6,3.63,3.58,3.59,4368888
TWE,09 Jan 2012,3.56,3.59,3.51,3.56,2849098
TWE,12 Jan 2012,3.65,3.65,3.58,3.6,2228633
TWE,16 Jan 2012,3.57,3.62,3.55,3.59,1325291
TWE,17 Jan 2012,3.61,3.73,3.6,3.7,1295488
TWE,19 Jan 2012,3.74,3.77,3.63,3.63,1662910
TWE,20 Jan 2012,3.63,3.66,3.56,3.59,2860444
TWE,17 Sep 2012,4.84,4.88,4.8,4.84,2437443
TWE,12 Sep 2012,4.77,4.8,4.73,4.8,2121406
TWE,10 Sep 2012,4.83,4.83,4.74,4.74,1360448
TWE,15 Feb 2013,5,5.03,4.9,4.94,2360503
TWE,18 Feb 2013,4.97,5.03,4.91,5.03,2567045
TWE,19 Feb 2013,4.98,5.02,4.93,5,3297085
TWE,20 Feb 2013,5.01,5.04,4.99,5.01,1833241
TWE,21 Feb 2013,5.02,5.14,4.95,4.99,3731775
TWE,22 Feb 2013,5.04,5.05,4.96,4.97,2478201
TWE,25 Feb 2013,5,5.05,4.955,4.98,3773973
TWE,26 Feb 2013,4.96,5.05,4.825,4.85,2785005
TWE,27 Feb 2013,4.9,4.94,4.84,4.9,5420265
TWE,28 Feb 2013,5,5.33,4.97,5.3,15295810
TWE,01 Mar 2013,5.27,5.57,5.25,5.51,15559406
TWE,04 Mar 2013,5.52,5.56,5.45,5.52,3293540
TWE,05 Mar 2013,5.52,5.69,5.51,5.69,3550169
TWE,06 Mar 2013,5.64,5.75,5.62,5.73,5311639
TWE,07 Mar 2013,5.85,5.92,5.74,5.85,6271954
TWE,08 Mar 2013,5.83,5.85,5.69,5.79,3765407
TWE,11 Mar 2013,5.79,5.87,5.77,5.85,2282469
