Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
WES,17 Aug 2007,39.36,39.39,37.2,37.2,1208931
WES,16 Aug 2007,39.5,39.63,37.15,39.09,2162358
WES,15 Aug 2007,39.5,39.97,39.15,39.5,1407071
WES,14 Aug 2007,40.5,40.6,39.64,39.9,909606
WES,10 Aug 2007,40.9,41.21,39.25,39.25,1892811
WES,09 Aug 2007,40,41.44,40,41.38,1416819
WES,08 Aug 2007,39.6,39.97,39.12,39.97,1439349
WES,06 Aug 2007,38,38.2,37.6,38,828677
WES,03 Aug 2007,38.65,38.65,38,38.2,713637
WES,30 Jul 2007,38.49,38.86,38.2,38.58,1241425
WES,27 Jul 2007,39,39.49,38.52,38.52,2767379
WES,26 Jul 2007,40.4,40.4,39.74,39.85,1587317
WES,25 Jul 2007,40.25,40.35,39.96,40.23,1526610
WES,20 Jul 2007,41.24,41.24,40.51,40.7,1032298
WES,19 Jul 2007,41.35,41.38,40.72,41.01,1369382
WES,18 Jul 2007,41.59,41.65,41.4,41.5,1356398
WES,17 Jul 2007,41.82,41.89,41.42,41.42,779416
WES,16 Jul 2007,41.5,41.68,41.45,41.56,768680
WES,11 Jul 2007,40.85,41.1,40.6,40.6,1192800
WES,10 Jul 2007,41.4,41.79,41.18,41.18,1093668
WES,09 Jul 2007,41.35,41.56,41.2,41.35,1290557
WES,06 Jul 2007,41.99,41.99,40.82,41.05,2503489
WES,05 Jul 2007,42.59,42.59,41.84,41.89,2190869
WES,04 Jul 2007,42.54,42.95,42.2,42.51,3973148
WES,03 Jul 2007,44,44,42.55,42.6,6956610
WES,02 Jul 2007,45.73,45.73,45.73,45.73,0
WES,29 Jun 2007,45.06,45.9,45,45.73,4355421
WES,28 Jun 2007,44.24,45.14,44.14,44.8,1603734
WES,27 Jun 2007,44.14,44.58,43.48,43.48,1271959
WES,26 Jun 2007,44.27,44.45,43.83,43.83,1574381
WES,20 Jun 2007,43.12,44.4,42.46,44.28,1535825
WES,19 Jun 2007,43.4,43.4,42.8,43.1,1770008
WES,18 Jun 2007,43,44,42.75,43.5,2535699
WES,15 Jun 2007,41.17,42.39,41.17,42.39,2365947
WES,12 Jun 2007,38.88,39.08,38.71,38.9,1325854
WES,08 Jun 2007,38.65,38.7,38.08,38.37,1008124
WES,07 Jun 2007,38.8,39.17,38.5,39.1,946810
WES,06 Jun 2007,38.77,39,38.57,38.8,1681438
WES,05 Jun 2007,38.98,39.17,38.78,38.81,827929
WES,04 Jun 2007,38.72,39.05,38.6,38.99,846117
WES,01 Jun 2007,38.2,38.48,38.01,38.36,739997
