Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
WOR,10 Apr 2006,18.62,19.17,18.45,18.75,601951
WOR,11 Apr 2006,18.99,19.09,18.81,18.85,653963
WOR,18 Apr 2006,18.59,19.35,18.59,19.25,628184
WOR,19 Apr 2006,19.9,19.98,19.41,19.85,1174026
WOR,20 Apr 2006,20.01,20.21,19.62,20,755784
WOR,21 Apr 2006,19.89,19.89,19.33,19.33,712144
WOR,24 Apr 2006,19.72,19.94,19.61,19.61,540415
WOR,26 Apr 2006,19.7,19.9,19.54,19.6,619829
WOR,27 Apr 2006,19.6,19.96,19.6,19.92,758666
WOR,28 Apr 2006,19.9,19.9,19.34,19.5,737505
WOR,01 May 2006,19.4,19.4,18.9,19.09,603005
WOR,02 May 2006,19.45,19.8,19,19.26,755379
WOR,03 May 2006,19.1,19.2,18.75,19.19,462294
WOR,04 May 2006,19.15,19.15,18.35,18.41,439830
WOR,05 May 2006,18.49,19,18.49,18.88,559313
WOR,08 May 2006,19,19.12,18.95,19,519583
WOR,09 May 2006,19.3,19.36,19.04,19.19,539501
WOR,23 Nov 2006,19.05,19.5,19.02,19.5,451231
WOR,28 Feb 2007,26.94,28.08,26.85,27.4,1331941
WOR,01 Mar 2007,27.2,27.44,26.02,26.5,832074
WOR,02 Mar 2007,26.61,27.29,26.37,26.5,964117
WOR,12 Mar 2007,26.7,27.45,26.69,27.21,508937
WOR,13 Mar 2007,27.5,27.9,27.49,27.5,1178260
WOR,12 Apr 2007,27.38,27.38,26.68,26.68,380510
WOR,13 Apr 2007,26.9,27,26.61,26.66,188523
WOR,16 Apr 2007,26.99,27.45,26.81,27.25,347333
WOR,18 Apr 2007,27.21,27.73,27.13,27.5,633423
WOR,19 Apr 2007,27.61,27.62,26.91,26.95,588802
WOR,20 Apr 2007,27.51,27.52,26.93,26.96,251362
WOR,23 Apr 2007,27.22,27.3,26.66,27.09,352833
WOR,27 Apr 2007,27.94,27.94,26.78,26.81,534512
WOR,30 Apr 2007,27.28,27.54,27.13,27.5,633493
WOR,01 May 2007,27.25,27.35,26.79,26.95,349730
WOR,02 May 2007,26.96,27.5,26.96,27.5,478957
WOR,03 May 2007,27.22,27.59,27.13,27.39,316124
WOR,11 May 2007,29.9,29.9,28.89,29,467481
WOR,14 May 2007,29.96,29.96,29.16,29.3,538482
WOR,31 May 2007,28.95,30.1,28.95,29.78,833171
WOR,01 Jun 2007,29.98,30.99,29.78,30.75,746684
WOR,07 Jun 2007,28.91,29.98,28.9,29.9,371504
WOR,08 Jun 2007,29,29.28,28.58,29.01,594303
WOR,02 Jul 2007,33.96,34,33.17,33.3,774655
WOR,03 Jul 2007,33.73,33.91,33.18,33.23,752774
WOR,04 Jul 2007,33.64,33.8,33.36,33.53,628710
WOR,09 Jul 2007,34.6,36.33,34.6,36.12,762222
WOR,10 Jul 2007,36.1,36.15,35.21,35.63,576188
WOR,11 Jul 2007,35.63,35.87,35.6,35.73,399854
WOR,16 Jul 2007,36.7,37.5,36.16,36.25,506502
WOR,17 Jul 2007,36.31,36.53,36.18,36.35,573293
WOR,18 Jul 2007,36.09,36.16,35.11,35.11,1044432
WOR,19 Jul 2007,35.75,36.66,35.6,36,773586
WOR,01 Aug 2007,33.8,34.19,32.31,32.31,572684
WOR,02 Aug 2007,33.72,33.75,32.74,33.35,655917
WOR,06 Sep 2007,36.81,38.23,36.81,37.9,570565
