Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
WPL,07 Mar 2006,40.9,40.92,40.32,40.61,967946
WPL,08 Mar 2006,40,40.4,39.71,39.95,1875524
WPL,09 Mar 2006,39.53,40,39.21,39.8,1876327
WPL,10 Mar 2006,40.02,40.6,40.02,40.24,647312
WPL,10 Apr 2006,45.45,45.49,44.76,45.26,809948
WPL,11 Apr 2006,46,47.42,45.87,47.1,1744731
WPL,19 Apr 2006,49.8,49.8,48.7,49.09,2293146
WPL,20 Apr 2006,49.09,49.5,47.66,48.8,2057313
WPL,21 Apr 2006,47.6,48.45,47.5,47.9,2263459
WPL,27 Apr 2006,47.98,48.26,47.72,47.79,1105352
WPL,28 Apr 2006,47.4,47.4,46.03,46.8,4556081
WPL,02 May 2006,48.38,48.93,47.8,48.4,1562415
WPL,03 May 2006,48.89,48.9,48.48,48.61,812301
WPL,04 May 2006,47.85,47.91,47.05,47.05,1282961
WPL,05 May 2006,47.26,47.59,46.5,47.37,782512
WPL,28 Aug 2006,42.3,42.38,41.72,42.05,1606224
WPL,29 Aug 2006,41.6,41.84,41.51,41.78,2091846
WPL,29 Dec 2006,37.89,38.23,37.89,38.11,861427
WPL,02 Jan 2007,38.19,38.4,38.19,38.31,533468
WPL,03 Jan 2007,38.31,38.31,37.64,37.68,964016
WPL,15 Feb 2007,37.25,37.54,37.02,37.3,1285930
WPL,22 Feb 2007,38.05,38.3,38,38,3153560
WPL,23 Feb 2007,38.15,38.35,37.99,38.05,6037355
WPL,28 Feb 2007,37,37.79,36.92,37.26,3180640
WPL,01 Mar 2007,37.42,37.49,36.91,37.02,1476571
WPL,02 Mar 2007,36.95,37.09,36.54,36.7,1993720
WPL,12 Mar 2007,35.5,35.93,35.5,35.83,1629378
WPL,13 Mar 2007,35.75,36.36,35.75,36.03,2214203
WPL,12 Apr 2007,38.88,39.15,38.85,39.15,1080052
WPL,13 Apr 2007,39.43,40.03,39.37,39.8,2231750
WPL,16 Apr 2007,40.02,40.02,39.55,39.55,1987721
WPL,17 Apr 2007,39.55,39.79,38.78,38.94,2200812
WPL,19 Apr 2007,39.3,39.3,38.47,38.55,2140810
WPL,20 Apr 2007,38.72,39.2,38.48,39.12,1536367
