Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
XSJ,03 Apr 2006,6094.8,6199,6094.8,6185.2,0
XSJ,04 Apr 2006,6185.2,6208.5,6100.4,6100.4,0
XSJ,05 Apr 2006,6100.4,6145.3,6095.8,6145.3,0
XSJ,06 Apr 2006,6145.3,6191.9,6138.4,6179.7,0
XSJ,07 Apr 2006,6179.7,6195.6,6149.5,6190,0
XSJ,10 Apr 2006,6190,6190.4,6140.3,6172.5,0
XSJ,11 Apr 2006,6172.5,6221.6,6172.2,6217.8,0
XSJ,12 Apr 2006,6217.8,6217.8,6136.2,6175.3,0
XSJ,13 Apr 2006,6175.3,6177,6119,6142.3,0
XSJ,18 Apr 2006,6142.3,6218.7,6142.3,6211.1,0
XSJ,19 Apr 2006,6211.1,6227.4,6165.8,6172.8,0
XSJ,20 Apr 2006,6172.8,6173.9,6124.8,6147.9,0
XSJ,21 Apr 2006,6147.9,6188.6,6135.4,6173.2,0
XSJ,24 Apr 2006,6173.2,6196.1,6151.2,6187.5,0
XSJ,29 May 2006,6176.2,6176.2,6133.3,6171.8,0
XSJ,29 Jun 2006,6195.8,6289,6191.7,6267.7,0
XSJ,22 Jun 2006,6178.1,6277.8,6176.8,6247.7,0
XSJ,13 Jun 2006,6163.9,6193.2,6133.1,6135.6,0
XSJ,26 Apr 2006,6187.5,6273.9,6187.5,6253.1,0
XSJ,03 Aug 2006,5936.4,6002.7,5936.4,5998.4,0
XSJ,24 Jul 2006,6107.3,6116,6072.6,6105.1,0
XSJ,10 Jul 2006,6385,6441,6384.3,6412.8,0
XSJ,27 Jun 2006,6213.4,6272.7,6212.5,6213.9,0
XSJ,15 Jun 2006,6110.7,6131.9,6091,6123.3,0
XSJ,01 Jun 2006,6092.1,6158,6092.1,6158,0
XSJ,31 May 2006,6187,6187,6092.1,6092.1,0
XSJ,25 May 2006,6214.4,6218.9,6164.5,6166.2,0
XSJ,11 May 2006,6276.7,6317.8,6227.9,6253.9,0
XSJ,10 May 2006,6272.6,6342.2,6272.6,6276.7,0
XSJ,28 Apr 2006,6244.1,6245.4,6187.8,6224.3,0
XSJ,27 Apr 2006,6253.1,6309.8,6243.6,6244.1,0
XSJ,31 Jul 2006,6084.3,6132.5,6056.4,6089.2,0
XSJ,04 Jul 2006,6308.2,6392.1,6308.2,6355.9,0
XSJ,20 Jun 2006,6142.4,6152.1,6117.3,6146.9,0
XSJ,26 May 2006,6166.2,6200.4,6153.2,6176.2,0
XSJ,23 May 2006,6215.7,6272.4,6215.5,6258.3,0
XSJ,12 May 2006,6253.9,6264.9,6217,6236.3,0
XSJ,08 May 2006,6214.5,6296.5,6214.2,6234.5,0
XSJ,01 May 2006,6224.3,6286.6,6224.3,6268,0
XSJ,18 Jul 2006,6264.2,6297.1,6225.9,6234.2,0
XSJ,12 Jul 2006,6356.6,6380.2,6339.1,6339.5,0
XSJ,05 Jul 2006,6355.9,6380.9,6308.8,6312.3,0
XSJ,26 Jun 2006,6189.6,6235.3,6158.1,6213.4,0
XSJ,19 Jun 2006,6206.4,6209,6142.4,6142.4,0
