Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZNZ,19 Aug 2013,3.26,3.26,3.215,3.23,11680462
ZNZ,23 Aug 2013,3.3,3.31,3.25,3.25,411308
ZNZ,17 Sep 2013,3.28,3.28,3.25,3.26,73830
ZNZ,20 Sep 2013,3.37,3.4,3.37,3.37,281418
ZNZ,10 Oct 2013,3.55,3.55,3.53,3.55,2995
ZNZ,24 Oct 2013,3.39,3.44,3.38,3.39,550937
ZNZ,04 Nov 2013,3.37,3.38,3.35,3.36,165633
ZNZ,12 Nov 2013,3.33,3.33,3.31,3.32,36226
ZNZ,14 Nov 2013,3.37,3.37,3.37,3.37,150679
ZNZ,20 Nov 2013,3.3,3.37,3.28,3.28,510318
ZNZ,21 Nov 2013,3.295,3.295,3.29,3.29,304000
ZNZ,27 Nov 2013,3.4,3.4,3.39,3.4,13674
ZNZ,04 Dec 2013,3.29,3.29,3.26,3.27,42504
ZNZ,05 Dec 2013,3.26,3.29,3.24,3.25,7325
ZNZ,09 Dec 2013,3.24,3.24,3.22,3.23,1505
ZNZ,16 Dec 2013,3.16,3.25,3.16,3.25,3153
ZNZ,23 Dec 2013,3.27,3.33,3,3.28,181849
ZNZ,30 Dec 2013,3.35,3.5,3.35,3.5,672
ZNZ,08 Jan 2014,3.45,3.53,3.45,3.53,10321
ZNZ,10 Jan 2014,3.6,3.6,3.52,3.52,6715
ZNZ,14 Jan 2014,3.52,3.52,3.52,3.52,0
ZNZ,15 Jan 2014,3.52,3.52,3.52,3.52,11700
ZNZ,30 Jan 2014,3.45,3.46,3.45,3.46,829
ZNZ,03 Feb 2014,3.35,3.4,3.35,3.4,20561
ZNZ,11 Feb 2014,3.46,3.46,3.46,3.46,850
ZNZ,12 Feb 2014,3.46,3.46,3.46,3.46,0
ZNZ,13 Feb 2014,3.46,3.46,3.46,3.46,0
ZNZ,17 Feb 2014,3.45,3.45,3.4,3.4,27900
ZNZ,20 Feb 2014,0,0,0,0,0
ZNZ,25 Feb 2014,0,0,0,0,0
ZNZ,03 Mar 2014,3.57,3.57,3.57,3.57,38547
ZNZ,07 Mar 2014,3.57,3.57,3.57,3.57,0
ZNZ,10 Mar 2014,3.57,3.57,3.57,3.57,0
ZNZ,11 Mar 2014,3.61,3.61,3.61,3.61,62552
ZNZ,13 Mar 2014,3.68,3.68,3.68,3.68,0
ZNZ,17 Mar 2014,3.69,3.7,3.69,3.7,8300
ZNZ,07 Apr 2014,3.63,3.63,3.63,3.63,0
ZNZ,08 Apr 2014,3.55,3.55,3.55,3.55,1428
ZNZ,15 Apr 2014,3.6,3.6,3.6,3.6,0
ZNZ,16 Apr 2014,3.6,3.77,3.6,3.77,5760
ZNZ,23 Apr 2014,3.77,3.77,3.77,3.77,0
ZNZ,24 Apr 2014,3.77,3.77,3.77,3.77,0
ZNZ,29 Apr 2014,3.77,3.77,3.77,3.77,0
ZNZ,05 May 2014,3.7,3.7,3.7,3.7,0
